rank,project_slug,project_name,raw_score,adjusted_score,final_score,rationale
1,mysociety-datasets-and-apis,mySociety Datasets and APIs,65.9,70.9,70.9,C1=1 C2=9 C3=6 C4=7 C5=9 C6=9 C7=8 C8=6
2,civicrm,CiviCRM,65.9,68.9,68.9,C1=2 C2=9 C3=5 C4=7 C5=9 C6=9 C7=8 C8=6
3,ckan,CKAN,65.9,68.9,68.9,C1=2 C2=9 C3=5 C4=7 C5=9 C6=9 C7=8 C8=6
4,wikidata,Wikidata,64.7,67.7,67.7,C1=2 C2=9 C3=5 C4=6 C5=9 C6=9 C7=8 C8=6
5,open-data-editor-ode,Open Data Editor (ODE),64.7,67.7,67.7,C1=2 C2=9 C3=6 C4=7 C5=9 C6=9 C7=3 C8=6
6,matrix,Matrix,62.4,67.4,67.4,C1=2 C2=9 C3=6 C4=4 C5=9 C6=9 C7=8 C8=3
7,algorithmwatch,AlgorithmWatch,61.8,66.8,66.8,C1=2 C2=9 C3=8 C4=7 C5=5 C6=9 C7=3 C8=3
8,mastodon,Mastodon,61.2,66.2,66.2,C1=2 C2=9 C3=6 C4=4 C5=9 C6=9 C7=3 C8=6
9,numfocus,NumFOCUS,62.4,65.4,65.4,C1=2 C2=9 C3=5 C4=4 C5=9 C6=9 C7=8 C8=6
10,consul-democracy,CONSUL Democracy,62.4,65.4,65.4,C1=2 C2=9 C3=3 C4=7 C5=9 C6=9 C7=8 C8=6
11,odk-open-data-kit,ODK (Open Data Kit),64.7,64.7,64.7,C1=1 C2=9 C3=6 C4=6 C5=9 C6=9 C7=8 C8=6
12,diia,Diia,59.4,64.4,64.4,C1=2 C2=9 C3=6 C4=7 C5=9 C6=6 C7=3 C8=3
13,principles-for-public-participation-in-procurement-of-ai,Principles for Public Participation in Procurement of AI,58.2,63.2,63.2,C1=2 C2=9 C3=3 C4=6 C5=9 C6=9 C7=3 C8=6
14,tor-project,Tor Project,62.9,62.9,62.9,C1=1 C2=9 C3=6 C4=6 C5=9 C6=9 C7=8 C8=3
15,open-contracting-partnership,Open Contracting Partnership,57.6,62.6,62.6,C1=2 C2=8 C3=6 C4=4 C5=5 C6=9 C7=8 C8=6
16,aleph-occrp,Aleph (OCCRP),57.6,62.6,62.6,C1=2 C2=9 C3=3 C4=7 C5=9 C6=9 C7=3 C8=3
17,globaleaks,GlobaLeaks,62.4,62.4,62.4,C1=2 C2=6 C3=6 C4=7 C5=9 C6=9 C7=8 C8=6
18,framework-for-meaningful-engagement-2-0,Framework for Meaningful Engagement 2.0,59.4,62.4,62.4,C1=2 C2=9 C3=6 C4=4 C5=9 C6=9 C7=3 C8=3
19,mastodon-c,Mastodon C,57.1,62.1,62.1,C1=2 C2=9 C3=6 C4=4 C5=5 C6=7 C7=8 C8=6
20,polis,Polis,58.2,61.2,61.2,C1=2 C2=9 C3=3 C4=6 C5=9 C6=9 C7=3 C8=6
21,open-referral-uk,Open Referral UK,55.9,60.9,60.9,C1=2 C2=9 C3=3 C4=7 C5=9 C6=6 C7=3 C8=6
22,open-digital-planning,Open Digital Planning,55.9,60.9,60.9,C1=2 C2=9 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
23,huridocs,HURIDOCS,60.6,60.6,60.6,C1=2 C2=6 C3=5 C4=7 C5=9 C6=9 C7=8 C8=6
24,alaveteli,Alaveteli,60.6,60.6,60.6,C1=1 C2=9 C3=3 C4=7 C5=9 C6=9 C7=8 C8=6
25,opencrvs,OpenCRVS,56.5,59.5,59.5,C1=2 C2=8 C3=3 C4=6 C5=9 C6=9 C7=3 C8=6
26,open-supply-hub,Open Supply Hub,59.4,59.4,59.4,C1=1 C2=9 C3=6 C4=4 C5=9 C6=9 C7=3 C8=6
27,mapit,MapIt,59.4,59.4,59.4,C1=1 C2=8 C3=6 C4=7 C5=5 C6=9 C7=8 C8=6
28,awesome-uk-government-datasets,Awesome UK Government Datasets,54.1,59.1,59.1,C1=2 C2=9 C3=5 C4=4 C5=9 C6=6 C7=3 C8=3
29,fundaci-n-ciudadan-a-inteligente,Fundación Ciudadanía Inteligente,55.9,58.9,58.9,C1=2 C2=8 C3=3 C4=7 C5=5 C6=9 C7=8 C8=6
30,creative-commons,Creative Commons,55.9,58.9,58.9,C1=2 C2=9 C3=3 C4=7 C5=5 C6=9 C7=8 C8=3
31,adhocracy,adhocracy+,55.9,58.9,58.9,C1=2 C2=8 C3=3 C4=7 C5=9 C6=9 C7=3 C8=3
32,opensanctions,OpenSanctions,55.9,58.9,58.9,C1=1 C2=9 C3=6 C4=7 C5=5 C6=7 C7=3 C8=6
33,littlesis,LittleSis,58.8,58.8,58.8,C1=2 C2=6 C3=6 C4=4 C5=9 C6=9 C7=8 C8=6
34,public-ai-inference-utility,Public AI Inference Utility,58.2,58.2,58.2,C1=1 C2=6 C3=8 C4=6 C5=9 C6=9 C7=3 C8=3
35,democracy-club-developer-api,Democracy Club Developer API,58.2,58.2,58.2,C1=1 C2=8 C3=5 C4=6 C5=9 C6=9 C7=3 C8=6
36,the-government-says,The Government Says,58.2,58.2,58.2,C1=1 C2=8 C3=5 C4=6 C5=9 C6=9 C7=3 C8=6
37,campaign-tracker,Campaign Tracker,52.9,57.9,57.9,C1=2 C2=8 C3=5 C4=4 C5=5 C6=9 C7=3 C8=6
38,open-ownership,Open Ownership,54.7,57.7,57.7,C1=1 C2=9 C3=6 C4=4 C5=5 C6=9 C7=3 C8=6
39,turkopticon,Turkopticon,57.6,57.6,57.6,C1=1 C2=6 C3=6 C4=6 C5=9 C6=9 C7=8 C8=3
40,openprocurement,OpenProcurement,57.6,57.6,57.6,C1=1 C2=9 C3=6 C4=4 C5=9 C6=5 C7=8 C8=6
41,grim-global-risk-simulator,GRIM (Global Risk Simulator),57.6,57.6,57.6,C1=2 C2=6 C3=6 C4=7 C5=9 C6=9 C7=3 C8=3
42,gapminder-worldview-upgrader,Gapminder Worldview Upgrader,57.6,57.6,57.6,C1=1 C2=9 C3=3 C4=7 C5=9 C6=9 C7=3 C8=6
43,securedrop,SecureDrop,57.1,57.1,57.1,C1=1 C2=6 C3=6 C4=4 C5=9 C6=9 C7=8 C8=6
44,ushahidi,Ushahidi,54.1,57.1,57.1,C1=1 C2=8 C3=3 C4=7 C5=5 C6=9 C7=8 C8=6
45,abstract-wikipedia,Abstract Wikipedia,57.1,57.1,57.1,C1=1 C2=6 C3=5 C4=7 C5=9 C6=9 C7=8 C8=3
46,bellingcat-online-investigation-toolkit,Bellingcat Online Investigation Toolkit,57.1,57.1,57.1,C1=2 C2=6 C3=3 C4=7 C5=9 C6=9 C7=8 C8=6
47,your-priorities,Your Priorities,53.5,56.5,56.5,C1=1 C2=9 C3=3 C4=7 C5=5 C6=7 C7=8 C8=6
48,data-observation-toolkit-dot,Data Observation Toolkit (DOT),55.9,55.9,55.9,C1=1 C2=9 C3=5 C4=4 C5=9 C6=9 C7=3 C8=3
49,disarm-frameworks,DISARM Frameworks,55.9,55.9,55.9,C1=2 C2=6 C3=5 C4=7 C5=9 C6=9 C7=3 C8=3
50,security-first-umbrella,Security First / Umbrella,55.9,55.9,55.9,C1=2 C2=6 C3=5 C4=7 C5=9 C6=9 C7=3 C8=3
51,open-standards-for-data-guidebook,Open Standards for Data Guidebook,55.9,55.9,55.9,C1=1 C2=6 C3=5 C4=7 C5=9 C6=9 C7=3 C8=6
52,vtaiwan,vTaiwan,55.3,55.3,55.3,C1=1 C2=9 C3=5 C4=6 C5=9 C6=5 C7=3 C8=6
53,guardian-project,Guardian Project,55.3,55.3,55.3,C1=1 C2=6 C3=6 C4=4 C5=9 C6=9 C7=8 C8=3
54,open-council-network,Open Council Network,54.7,54.7,54.7,C1=1 C2=5 C3=6 C4=6 C5=9 C6=9 C7=3 C8=6
55,loomio,Loomio,54.7,54.7,54.7,C1=1 C2=9 C3=3 C4=4 C5=9 C6=7 C7=8 C8=6
56,give-food,Give Food,54.7,54.7,54.7,C1=1 C2=8 C3=5 C4=7 C5=5 C6=9 C7=3 C8=6
57,open-collective,Open Collective,54.7,54.7,54.7,C1=1 C2=6 C3=5 C4=6 C5=9 C6=9 C7=3 C8=6
58,coral,Coral,54.7,54.7,54.7,C1=2 C2=6 C3=3 C4=7 C5=9 C6=7 C7=8 C8=6
59,fairbnb-coop,Fairbnb.coop,51.2,54.2,54.2,C1=1 C2=9 C3=5 C4=6 C5=5 C6=7 C7=3 C8=3
60,openparliament-ca,openparliament.ca,54.1,54.1,54.1,C1=2 C2=6 C3=6 C4=4 C5=9 C6=5 C7=8 C8=6
61,one-project,One Project,54.1,54.1,54.1,C1=2 C2=6 C3=3 C4=7 C5=9 C6=9 C7=3 C8=6
62,decidim,Decidim,54.1,54.1,54.1,C1=1 C2=9 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
63,mozilla-data-collective,Mozilla Data Collective,54.1,54.1,54.1,C1=2 C2=6 C3=5 C4=4 C5=9 C6=9 C7=3 C8=6
64,orcid,ORCID,54.1,54.1,54.1,C1=1 C2=9 C3=5 C4=4 C5=5 C6=9 C7=8 C8=3
65,shareyourpaper-org,Shareyourpaper.org,54.1,54.1,54.1,C1=1 C2=6 C3=5 C4=7 C5=9 C6=9 C7=3 C8=3
66,grantnav,GrantNav,54.1,54.1,54.1,C1=1 C2=8 C3=5 C4=4 C5=5 C6=9 C7=8 C8=6
67,unpaywall-browser-extension,Unpaywall Browser Extension,53.5,53.5,53.5,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=8 C8=3
68,oa-works,OA.Works,53.5,53.5,53.5,C1=1 C2=6 C3=3 C4=7 C5=9 C6=9 C7=8 C8=3
69,privacy-badger,Privacy Badger,53.5,53.5,53.5,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=8 C8=3
70,teaching-public-service-in-the-digital-age,Teaching Public Service in the Digital Age,52.9,52.9,52.9,C1=1 C2=9 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
71,youtube-dl,youtube-dl,52.9,52.9,52.9,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=8 C8=3
72,communityrule,CommunityRule,52.9,52.9,52.9,C1=1 C2=9 C3=3 C4=7 C5=9 C6=5 C7=3 C8=6
73,bonfire,Bonfire,52.9,52.9,52.9,C1=2 C2=6 C3=6 C4=7 C5=9 C6=5 C7=3 C8=3
74,gov-uk-notify,GOV.UK Notify,52.4,52.4,52.4,C1=1 C2=8 C3=6 C4=4 C5=5 C6=6 C7=8 C8=6
75,political-advertising-transparency-data-standard,Political Advertising Transparency Data Standard,52.4,52.4,52.4,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=3 C8=6
76,whatgov,WhatGov,52.4,52.4,52.4,C1=1 C2=8 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
77,gov-uk-pay,GOV.UK Pay,52.4,52.4,52.4,C1=1 C2=8 C3=6 C4=4 C5=5 C6=6 C7=8 C8=6
78,the-engine-room-library,The Engine Room Library,52.4,52.4,52.4,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=3 C8=6
79,nym,Nym,52.4,52.4,52.4,C1=1 C2=6 C3=6 C4=6 C5=9 C6=7 C7=3 C8=3
80,arxiv,arXiv,51.8,51.8,51.8,C1=2 C2=6 C3=5 C4=9 C5=5 C6=5 C7=8 C8=3
81,climateaction-tech,ClimateAction.Tech,51.8,51.8,51.8,C1=1 C2=6 C3=5 C4=9 C5=9 C6=5 C7=3 C8=3
82,whatdotheyknow,WhatDoTheyKnow,51.8,51.8,51.8,C1=1 C2=3 C3=6 C4=4 C5=9 C6=9 C7=8 C8=6
83,go-vocal,Go Vocal,48.8,51.8,51.8,C1=2 C2=9 C3=3 C4=4 C5=5 C6=7 C7=3 C8=6
84,internet-archive-wayback-machine,Internet Archive Wayback Machine,51.8,51.8,51.8,C1=2 C2=6 C3=3 C4=4 C5=9 C6=9 C7=8 C8=3
85,cybersecurity-for-democracy,Cybersecurity for Democracy,51.2,51.2,51.2,C1=2 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=6
86,liquidfeedback,LiquidFeedback,51.2,51.2,51.2,C1=2 C2=6 C3=3 C4=7 C5=9 C6=4 C7=8 C8=6
87,contracts-for-data-collaboration,Contracts for Data Collaboration,51.2,51.2,51.2,C1=1 C2=9 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
88,frankenstein-bill,Frankenstein Bill,51.2,51.2,51.2,C1=1 C2=8 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
89,all-our-ideas,All Our Ideas,51.2,51.2,51.2,C1=1 C2=6 C3=3 C4=6 C5=9 C6=9 C7=3 C8=6
90,theyworkforyou,TheyWorkForYou,50.6,50.6,50.6,C1=1 C2=8 C3=3 C4=4 C5=5 C6=9 C7=8 C8=6
91,populate-tools,Populate Tools,50.6,50.6,50.6,C1=1 C2=8 C3=3 C4=4 C5=9 C6=9 C7=3 C8=3
92,cobudget,Cobudget,50.6,50.6,50.6,C1=2 C2=6 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
