rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
163,https://urbit.org,Urbit,47.8,47.8,0,0.83,LOW,LOW,criteria,
164,https://arxiv.org,arXiv,47.8,47.8,0,0.92,LOW,HIGH,criteria,
165,https://aragon.org,Aragon,46.9,38.9,8,0.83,LOW,LOW,criteria,
166,https://plunkett.my.site.com/keepitinthecommunity/s,Keep It In The Community,46.9,38.9,8,0.67,MEDIUM,LOW,criteria,
167,https://www.communitytech.network,Community Tech,46.7,46.7,0,0.92,LOW,LOW,criteria,
168,https://conservativepartyfunding.co.uk,Conservative Party Funding,46.7,46.7,0,0.83,LOW,LOW,criteria,
169,https://www.dfos.com,Democracy Fund Open Source,46.7,46.7,0,0.83,LOW,LOW,criteria,
170,https://gov.uk/find-local-consultations,Find local consultations,46.7,46.7,0,0.92,LOW,LOW,criteria,
171,https://granicus.com/uk,Granicus,46.7,46.7,0,0.92,LOW,LOW,criteria,
172,https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,46.7,46.7,0,0.92,LOW,LOW,criteria,
173,https://www.mpwatch.org,MP Watch,46.7,46.7,0,0.92,LOW,LOW,criteria,
174,https://numfocus.org,NumFOCUS,46.7,46.7,0,0.92,LOW,MEDIUM,criteria,
175,https://riseup.net,Riseup,46.7,46.7,0,0.83,LOW,MEDIUM,criteria,
176,https://github.com/mikekelly/policy-dojo,UK Policy Dojo,46.7,46.7,0,0.83,LOW,LOW,criteria,
177,https://arxiv.org/abs/2005.13701,Modular Politics,46.1,41.1,5,0.83,LOW,HIGH,criteria,
178,https://algorithmwatch.org,AlgorithmWatch,45.9,48.9,-3,1.0,LOW,LOW,criteria,
179,https://collaborative-data.theodi.org,Collaborative Data Patterns,45.6,45.6,0,0.75,LOW,LOW,criteria,
180,https://www.hotosm.org,Humanitarian OpenStreetMap Team (HOT),45.6,45.6,0,1.0,LOW,HIGH,criteria,
181,https://oa.works/,OA.Works,45.6,45.6,0,1.0,LOW,MEDIUM,criteria,
182,https://opendatacommunities.org,Open Data Communities,45.6,45.6,0,0.92,LOW,MEDIUM,criteria,
183,https://www.openownership.org,Open Ownership,45.6,45.6,0,1.0,LOW,LOW,criteria,
184,https://publicai.co/,Public AI Inference Utility,45.6,45.6,0,1.0,LOW,LOW,criteria,
185,https://thecircuit.cc,The Circuit,45.6,45.6,0,0.92,LOW,LOW,criteria,
186,https://onodi.co/bisect/,Theft Bisect,45.6,45.6,0,0.92,LOW,LOW,criteria,
187,https://github.com/blacksky-algorithms/rsky,rsky,45.6,45.6,0,0.83,LOW,LOW,criteria,
188,https://atlasofsurveillance.org,Atlas of Surveillance,45.3,53.3,-8,0.92,LOW,LOW,criteria,
189,https://nyaaya.org,Nyaaya,45.3,53.3,-8,0.83,LOW,LOW,criteria,
190,https://meta.wikimedia.org/wiki/abstract_wikipedia,Abstract Wikipedia,45,67.8,4,0.72,LOW,HIGH,procedural,
191,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,Agreement Engine,45,60.0,0,0.55,MEDIUM,NONE,procedural,
192,https://annas-archive.pm,Anna's Archive,45,67.8,0,0.55,MEDIUM,NONE,procedural,
193,https://www.crowdjustice.com,CrowdJustice,45,46.7,5,0.72,LOW,MEDIUM,procedural,
194,https://dunadyne.org,Dunadyne,45.0,40.0,5,0.75,LOW,LOW,criteria,
195,https://entitledto.co.uk,Entitledto,45,46.7,0,0.72,LOW,MEDIUM,procedural,
196,https://www.givefood.org.uk,Give Food,45,48.9,0,0.72,LOW,LOW,procedural,
197,https://hand-written-petition-scanner.streamlit.app,Hand-Written Petition Scanner,45,48.9,0,0.37999999999999995,HIGH,NONE,procedural,
198,https://membersinterests.org.uk,Members' Interests,45,54.4,0,0.72,LOW,MEDIUM,procedural,
199,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,Membership,45,50.0,5,0.37999999999999995,HIGH,NONE,procedural,
200,https://openaccess.transparency.org.uk,Open Access – Transparency International UK,45,45.6,0,0.72,LOW,LOW,procedural,
201,https://planit.org.uk,PlanIT,45,46.7,10,0.72,LOW,LOW,procedural,
