jury_rank,project,jury_score,const_score,jury_const_gap,pop_risk,models_scoring,note
1,LittleSis,85.0,61.8,51,medium,1,Single model
2,vTaiwan,80.0,84.5,2,high,1,Single model
3,HURIDOCS,80.0,78.5,2,medium,1,Single model
4,Rahvaalgatus,80.0,52.0,117,none,1,Single model
5,Polis,79.0,87.4,-3,high,2,
6,AlgorithmWatch,78.0,87.5,-5,high,3,
7,Open Supply Hub,78.0,60.9,50,none,1,Single model
8,OpenProcurement,75.0,76.6,-2,none,1,Single model
9,Decidim,75.0,76.5,-2,high,3,
10,Framework for Meaningful Engagement 2.0,75.0,68.8,9,none,3,
11,Aleph (OCCRP),75.0,65.7,23,medium,2,
12,ODK (Open Data Kit),75.0,64.9,25,medium,1,Single model
13,Open Referral UK,75.0,64.8,27,none,1,Single model
14,FarmerChat,75.0,45.2,157,none,1,Single model
15,Guardian Project,74.0,69.7,3,medium,1,Single model
16,Stanford Participatory Budgeting Platform,73.0,60.8,45,none,1,Single model
17,Cortico,72.5,70.9,-1,none,2,
18,Fundacion Ciudadania Inteligente,72.5,61.9,33,none,2,
19,Cybersecurity for Democracy,72.0,71.7,-5,low,3,
20,CONSUL Democracy,72.0,68.7,1,medium,3,
21,Political Advertising Transparency Data Standard,72.0,68.7,2,none,1,Single model
22,Data Observation Toolkit (DOT),72.0,65.8,10,none,1,Single model
23,Ethelo,72.0,53.9,82,none,1,Single model
24,CKAN,71.0,71.7,-11,high,2,
25,LiquidFeedback,70.0,71.6,-10,medium,1,Single model
26,mySociety Datasets and APIs,70.0,66.8,3,medium,3,
27,Alaveteli,70.0,64.8,11,medium,3,
28,OpenBudgets.eu,70.0,61.8,25,none,1,Single model
29,Nyaaya,70.0,60.8,31,none,1,Single model
30,Diia,70.0,59.8,35,low,2,
31,Open Council Network,70.0,57.9,41,none,1,Single model
32,Tactical Data Engagement,70.0,57.0,44,low,2,
33,Participa (Podemos),70.0,53.9,73,none,1,Single model
34,Interoperable Deliberative Tools,70.0,52.9,81,none,1,Single model
35,Atlas of Surveillance,70.0,52.0,82,low,3,
36,Entitledto,70.0,50.1,96,none,1,Single model
37,FixMyBlock,70.0,36.3,206,none,1,Single model
38,docs.plus,70.0,32.4,235,none,1,Single model
39,Humanitarian Data Exchange,69.0,63.9,5,low,2,
40,Open Collective,68.0,67.7,-14,medium,1,Single model
41,Constitute Project,68.0,57.9,29,low,3,
42,The Engine Room Library,68.0,54.0,60,none,1,Single model
43,Murmurations Protocol,68.0,53.0,67,none,1,Single model
