"project_url","project_name","criterion","evidence_field","evidence_value","interpretation","score","max_score","justification"
"https://www.workerinfoexchange.org","Worker Info Exchange","C1","political_relevance_summary","Worker Info Exchange addresses civic data access and transparency. Platform connecting workers with information about labor rights, workplace conditions, and employment resources.","Specific named mechanism; class-level power asymmetry clearly articulated; formal contestation apparatus identified","12","12","Strong power asymmetry framing. Worker Info Exchange addresses civic data access and transparency. Platform connecting workers with information about labor rights, workplace conditions, and employment resources."
"https://www.workerinfoexchange.org","Worker Info Exchange","C2","communities_served","workers; labor advocates; researchers; labor organizations","Named excluded population(s) with specific access mechanism; participatory design documented; disparity tracking present","16","20","Named excluded population with specific mechanisms. Served: workers; labor advocates; researchers; labor organizations"
"https://www.workerinfoexchange.org","Worker Info Exchange","C3","governance_model","foundation","Full lifecycle participation: scoping, design, implementation, evaluation all documented with evidence","10","12","Full participatory lifecycle evidenced. Governance: foundation"
"https://www.workerinfoexchange.org","Worker Info Exchange","C4","documented_limitations","Geographically limited to GDPR jurisdictions; Litigation process is slow and costly; Wins require ongoing enforcement to be effective","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","10","20","Generic limitations, output focus. Limitations: Geographically limited to GDPR jurisdictions; Litigation process is slow and costly; Wins require ongoing enforcement to be effective"
"https://www.workerinfoexchange.org","Worker Info Exchange","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","4","6","Moderate underdog features. True"
"https://www.workerinfoexchange.org","Worker Info Exchange","C6","governance_model","foundation","Consults community (IAP2 level 2); structured feedback mechanisms present","6","12","Consults level IAP2. Governance: foundation"
"https://www.workerinfoexchange.org","Worker Info Exchange","modifier_M1","modifier","M1","Worker/labour advocacy with documented legal wins","12","","Applied M1 (+12): Worker/labour advocacy with documented legal wins"
"https://www.workerinfoexchange.org","Worker Info Exchange","modifier_M3","modifier","M3","Grassroots collective with structural impact","7","","Applied M3 (+7): Grassroots collective with structural impact"
"https://www.workerinfoexchange.org","Worker Info Exchange","modifier_M7","modifier","M7","Legal precedent: Amsterdam court orders re algorithmic transparency","5","","Applied M7 (+5): Legal precedent: Amsterdam court orders re algorithmic transparency"
"https://www.organise.org.uk","Organise","C1","political_relevance_summary","Organise addresses gaps in democratic participation by providing tools or platforms that enable citizens and communities to engage more directly in governance and decision-making processes.","Specific named mechanism; class-level power asymmetry clearly articulated; formal contestation apparatus identified","10","12","Strong power asymmetry framing. Organise addresses gaps in democratic participation by providing tools or platforms that enable citizens and communities to engage more directly in governance and decision-making processes."
"https://www.organise.org.uk","Organise","C2","communities_served","workers; employees; self-employed individuals; gig economy workers","Excluded populations named; some mechanism specificity; limited participatory design evidence","14","20","Populations named with partial mechanism. Served: workers; employees; self-employed individuals; gig economy workers"
"https://www.organise.org.uk","Organise","C3","governance_model","LLC","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: LLC"
