"rank","name","url","score","criteria_score","modifier_adj","completeness","uncertainty","pop_risk","primary_driver","rationale"
"1","Worker Info Exchange","https://www.workerinfoexchange.org","94.7","58","24","0.7","LOW","NONE","criteria+modifier","This is the clearest case in the batch of a project that names a specific power asymmetry (algorithmic management of gig workers), builds formal legal mechanisms to contest it (GDPR Data Subject Access Requests, strategic litigation), and has documented wins: Amsterdam courts ordering Uber and Ola Cabs to disclose algorithmic data. The intra-class dynamics are also present — it is not just workers vs. platforms, but the specific complicity of trade secret exemptions used to deny workers visibility into decisions made about them."
"2","Organise","https://www.organise.org.uk","79.3","47","22","0.65","LOW","NONE","modifier","Workers' collective action with documented structural wins — equal pay for G4S night shift workers, influence on the Employment Rights Bill banning zero-hours contracts — demonstrates exactly the kind of power asymmetry correction I value: not just transparency, but formal policy change arising from collective organizing infrastructure. The limitation is reach: primarily digitally-connected workers, which means the most precarious gig workers may be systematically underrepresented in the platform's user base."
"3","Humanitarian OpenStreetMap Team (HOT)","https://www.hotosm.org","75.7","44","22","0.7","LOW","MEDIUM","modifier","HOT addresses geographic invisibility as a specific mechanism of humanitarian exclusion — communities not on maps are not in disaster response plans. The multi-stage engagement (community mapping, volunteer networks, disparity tracking) is documented, and the adoption of HOT maps by UN humanitarian protocols represents genuine structural impact. I flag that popularity risk is medium here: this is a widely-known project with strong institutional backing, and the dossier richness may overstate its grassroots character."
"4","OpenCRVS","https://www.opencrvs.org","75.0","50","14","0.65","LOW","NONE","modifier","Legal identity is the most fundamental exclusion mechanism: without birth registration, populations cannot access healthcare, education, or legal rights. OpenCRVS targets precisely this — people excluded from civil registration systems by infrastructure failure, not individual choice. I apply M4 at moderate magnitude because government data infrastructure deployments carry inherent surveillance risks even with good intent, and the documented limitations acknowledge data security concerns in low-resource settings without fully resolving the governance question."
"5","Ushahidi","https://www.ushahidi.com","73.7","44","20","0.65","LOW","MEDIUM","modifier","Ushahidi's crowdsourcing model directly addresses geographic and social exclusion from official crisis documentation — the founding case (2007 Kenyan election violence) established the pattern of communities whose experiences were absent from state records. The Global South focus, multi-stage community engagement, and documentation of digital divide limitations all score well. I flag medium popularity risk: this is a mature, well-funded platform, and the dossier may underplay the structural tensions in verification and platform sustainability."
"6","ОПОРА (Opora)","https://www.oporaua.org","70.9","45","16","0.6","MEDIUM","NONE","modifier","Operating civic monitoring infrastructure during active armed conflict is the definition of structural underdog — Opora documents electoral integrity and civic participation while facing security constraints and access limitations. The mechanism is specific: war disrupts electoral processes in ways that disproportionately disenfranchise diaspora communities and conflict-affected populations, and Opora is building the infrastructure to document and contest this. Uncertainty is medium because conflict conditions limit what the dossier can capture."
"7","Tor Project","https://www.torproject.org","70.7","44","17","0.6","LOW","HIGH","modifier","Tor addresses a named power asymmetry — state and corporate surveillance restricting political expression and journalistic freedom — with technical infrastructure that genuinely empowers journalists, dissidents, and activists. I flag high popularity risk: this is one of the best-known projects in the batch, with a rich dossier and strong institutional reputation, and the score reflects the genuine mechanism quality rather than documentation richness. The limitation is that design-level self-examination of whether anonymization fully resolves the asymmetry is limited in the dossier."
"8","Tracka","https://yourtracka.org","70.0","41","20","0.55","MEDIUM","NONE","modifier","Government project abandonment as a mechanism of community exclusion is precisely named — the dossier documents a specific health centre in Ningo, Akwanga LGA completed after 7+ years of abandonment following Tracka monitoring. Community-based monitoring with government feedback loops represents multi-stage engagement. The Nigerian context scores well on C5 (structural underdog) and the accountability mechanism is formal rather than merely informational."
"9","Martus","https://www.martus.org","68.4","43","16","0.5","MEDIUM","NONE","modifier","Secure documentation infrastructure for human rights activists addresses a specific exclusion mechanism: lack of secure storage preventing evidence preservation and ultimately legal accountability. The end-of-life status (no longer receiving security updates) is an honest limitation that scores well on C4 — the project does not overclaim — and increases C5 (a discontinued but valuable tool is itself evidence of the funding and infrastructure gaps affecting human rights tech). The critical self-examination could be deeper on whether documenting abuses translates into redress."
"10","GlobaLeaks","https://www.globaleaks.org","67.2","42","16","0.6","MEDIUM","NONE","modifier","Whistleblowing infrastructure addresses the employer-employee power asymmetry where retaliation risk structurally prevents accountability. GlobaLeaks' EU Directive compliance and open-source model are genuine structural signals. What keeps this below the top tier is the absence of documented evidence that deploying organizations used the platform in ways that shifted power rather than simply reframed existing disclosure processes — the dossier relies on self-reported outcomes from deploying organizations without independent verification."
"11","Open Contracting Partnership","https://www.open-contracting.org","64.8","40","16","0.7","LOW","LOW","modifier","US$2 trillion in public procurement is a meaningful power asymmetry — opacity in contracting enables corruption and excludes civil society from accountability. The mix of government adoption tracking, policy analysis, and disparity tracking (women-owned business participation, geographic disparities) shows methodological sophistication. The limitation I note is attribution: the dossier acknowledges that isolating OCP's contribution from concurrent reforms is difficult, which is good methodological honesty but also limits the strength of causal claims."
"12","Marks Out Of Tenancy","https://www.marksoutoftenancy.com","60.9","36","17","0.45","MEDIUM","NONE","modifier","This directly inverts the algorithmic tenant-ranking system that I have researched — instead of landlords and referencing companies ranking tenants, tenants rank landlords and letting agencies. The intra-class dynamics are present: not just tenants as excluded, but the specific mechanisms through which landlords benefit from information asymmetry. What limits the score is the absence of any verification methodology for reviews and no published rating calculation methodology — this is the same legitimacy gap I examine in the ordinal tenant research, here showing up in the platform's own design."
