rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
1,CONSUL Democracy,https://consulproject.org,84.7,72.9,11.8,0.82,LOW,HIGH,c3,21,24,28,8,4,14,6,CONSUL Democracy: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C3 at 28/30 pts.
2,Polis,https://github.com/compdemocracy/polis,84.7,74.3,10.4,0.64,LOW,LOW,c3,21,24,28,10,4,14,6,Polis: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C3 at 28/30 pts.
3,LiquidFeedback,https://liquidfeedback.com,84.0,72.2,11.8,0.82,LOW,HIGH,c3,21,24,28,6,5,14,6,LiquidFeedback: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C3 at 28/30 pts.
4,Decidim,https://decidim.org,81.9,68.8,13.2,0.73,LOW,LOW,c2,17,30,23,4,4,15,6,Decidim: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C2 at 30/30 pts.
5,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,80.6,70.8,9.7,0.82,LOW,HIGH,c2,21,27,19,6,5,18,6,Open Data Editor (ODE): implementation-first scoring; primary driver is C2 at 27/30 pts; deployment modifier M_IMPL=6.
6,mySociety Datasets and APIs,https://data.mysociety.org,78.5,68.8,9.7,0.82,LOW,HIGH,c3,17,24,25,6,4,18,5,mySociety Datasets and APIs: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C3 at 25/30 pts.
7,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,77.8,67.4,10.4,0.73,LOW,LOW,c3,19,23,28,6,5,14,2,vTaiwan: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C3 at 28/30 pts.
8,Open Digital Planning,https://opendigitalplanning.org/,76.4,68.8,7.6,0.82,LOW,HIGH,c3,14,20,28,8,5,22,2,Open Digital Planning: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=6.
9,Alaveteli,https://alaveteli.org,75.0,71.5,3.5,0.73,LOW,LOW,c3,20,27,28,6,4,14,4,Alaveteli: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
10,Cobudget,https://cobudget.com,73.6,67.4,6.2,0.82,LOW,HIGH,c2,21,26,23,4,4,14,5,Cobudget: implementation-first scoring; primary driver is C2 at 26/30 pts; deployment modifier M_IMPL=0.
11,adhocracy+,https://adhocracy.plus,72.9,69.4,3.5,0.82,LOW,HIGH,c3,17,24,28,10,4,14,3,adhocracy+: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
12,Guardian Project,https://guardianproject.info,72.9,62.5,10.4,0.73,LOW,LOW,c2,21,24,13,4,4,18,6,Guardian Project: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C2 at 24/30 pts.
13,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,72.9,63.2,9.7,0.73,LOW,LOW,c1,21,19,19,4,5,18,5,Political Advertising Transparency Data Standard: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=6.
14,Bonfire,https://bonfirenetworks.org/,71.5,70.8,0.7,0.73,LOW,LOW,c2,21,30,23,8,2,14,4,Bonfire: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 30/30 pts is the criteria driver.
15,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,71.5,59.7,11.8,0.73,LOW,LOW,c2,14,20,20,8,5,14,5,Cybersecurity for Democracy: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C2 at 20/30 pts.
16,OA.Works,https://oa.works/,71.5,59.0,12.5,0.73,LOW,LOW,c2,14,23,16,8,4,15,5,OA.Works: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C2 at 23/30 pts.
17,Open Standards for Data Guidebook,https://standards.theodi.org,71.5,68.1,3.5,0.82,LOW,HIGH,c2,14,23,23,6,4,22,6,Open Standards for Data Guidebook: implementation-first scoring; primary driver is C2 at 23/30 pts; deployment modifier M_IMPL=0.
18,Open Supply Hub,https://opensupplyhub.org,71.5,67.4,4.2,0.73,LOW,LOW,c3,17,20,23,4,5,22,6,Open Supply Hub: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=6.
19,GlobaLeaks,https://www.globaleaks.org,70.8,61.1,9.7,0.82,LOW,HIGH,c2,14,30,16,6,4,14,4,GlobaLeaks: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C2 at 30/30 pts.
20,HURIDOCS,https://github.com/huridocs,70.8,63.2,7.6,0.82,LOW,HIGH,c3,17,20,23,4,4,18,5,HURIDOCS: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=6.
21,Open Referral UK,https://openreferraluk.org,70.8,56.9,13.9,0.82,LOW,HIGH,c2,18,19,16,8,5,14,2,Open Referral UK: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C2 at 19/30 pts.
22,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,70.8,66.0,4.9,0.64,LOW,LOW,c3,21,20,28,4,3,14,5,RxC Quadratic Voting: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=4.
23,Your Priorities,https://yrpri.org,70.8,59.0,11.8,0.91,LOW,HIGH,c3,15,11,28,6,5,14,6,Your Priorities: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C3 at 28/30 pts.
24,Citizen OS,https://citizenos.com/platform/,70.1,64.6,5.6,0.73,LOW,LOW,c2,21,24,23,4,5,14,2,Citizen OS: implementation-first scoring; primary driver is C2 at 24/30 pts; deployment modifier M_IMPL=0.
25,CommunityRule,https://communityrule.info,70.1,66.7,3.5,0.73,LOW,LOW,c2,17,24,23,8,5,14,5,CommunityRule: implementation-first scoring; primary driver is C2 at 24/30 pts; deployment modifier M_IMPL=0.
26,Constitute Project,https://constituteproject.org,70.1,68.1,2.1,0.73,LOW,LOW,c3,21,20,28,4,5,14,6,Constitute Project: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
27,Internet Archive Wayback Machine,https://web.archive.org,70.1,66.0,4.2,0.82,LOW,HIGH,c1,23,20,19,4,5,18,6,Internet Archive Wayback Machine: implementation-first scoring; primary driver is C1 at 23/30 pts; deployment modifier M_IMPL=6.
28,Loomio,https://www.loomio.org,70.1,66.0,4.2,0.73,LOW,LOW,c2,14,30,23,4,4,15,5,Loomio: implementation-first scoring; primary driver is C2 at 30/30 pts; deployment modifier M_IMPL=0.
29,OpenSanctions,https://www.opensanctions.org,70.1,64.6,5.6,0.91,LOW,HIGH,c3,19,21,23,4,4,18,4,OpenSanctions: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
