rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,HURIDOCS,https://github.com/huridocs,75,64.6,10,0.86,LOW,LOW,modifier,"HURIDOCS builds exactly the kind of documentation infrastructure that enables accountability for human rights violations -- its Uwazi platform lets communities organise evidence for legal proceedings, which is a direct contestability mechanism. The primary beneficiaries are human rights defenders and NGOs serving populations excluded by state violence, and the tool has been deployed in Ukraine and Turkey. I am boosting this for its contestability function and the specificity of the communities it serves, though I note it is more about documentation than algorithmic accountability per se."
2,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,66,58.5,7,0.79,LOW,NONE,criteria,"This project sits squarely in my domain of concern -- housing data standards developed with 70+ housing associations, directly relevant to how algorithmic tenant referencing and social housing allocation systems operate. The Awaab's Law data model proof of concept shows this could become infrastructure for accountability in housing. I am giving it a specific-exclusion boost because the standards address the data layer that determines housing access for the populations my research centres on. The gap is that standards alone do not create contestability -- tenants still cannot challenge decisions made using these data formats."
3,Guardian Project,https://guardianproject.info,59,53.7,5,0.86,LOW,LOW,criteria,"Guardian Project builds security tools for journalists, activists, and human rights defenders in repressive regimes -- people excluded from civic participation by surveillance infrastructure rather than algorithmic thresholds. The specificity of the served community is strong, and the tools directly address a named exclusion mechanism (state surveillance). It scores on my community-centring criterion but less on algorithmic accountability per se, since the accountability gap it addresses is surveillance rather than automated decision-making."
4,Nyaaya,https://nyaaya.org,55,47.6,7,0.64,MEDIUM,NONE,modifier,"Nyaaya explicitly serves women, children, LGBTQI+, persons with disabilities, scheduled castes and tribes, and informal workers -- this is the most specific excluded-population list in the batch, naming concrete communities excluded by legal literacy barriers. The acknowledgment that 30 crore Indians cannot read shows critical awareness of the limits of its own intervention. I am boosting for the specificity of the exclusion mechanism (legal access barriers) and the named communities. The gap is thin evidence of how community input shaped the design."
5,Polis,https://github.com/compdemocracy/polis,53,47.6,5,0.93,LOW,HIGH,criteria,"Polis is well-documented deliberation infrastructure with real government deployments in Taiwan and evidence of policy influence. It scores on HCD and qualitative grounding through its documented facilitation methodology. However, my constitution is not built to fully reward deliberation tools -- Polis does not create accountability structures for algorithmic systems or specifically centre excluded populations. I flag this as HIGH popularity risk: the dossier is rich partly because Polis is very well-known. Strip documentation advantage and I would estimate 8-10 points lower."
6,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,53,47.6,5,0.86,LOW,MEDIUM,criteria,"vTaiwan demonstrated genuine policy impact on Uber and Airbnb regulation through a participatory process with documented government partnership. It shows strong HCD practice and qualitative grounding. Like Polis, it scores well on deliberation and public service design but less on algorithmic accountability or centring excluded communities by named mechanisms. The g0v civic tech community governance model is genuinely participatory."
7,LittleSis,https://littlesis.org,53,47.6,5,0.86,LOW,LOW,criteria,"LittleSis maps power relationships between corporations and government, which is accountability infrastructure -- not for algorithmic systems specifically, but for the structural power that determines who makes decisions. Its coverage of fossil fuel influence, housing justice, and racial justice gives it community-centring credit. The power-mapping methodology is a genuine investigative tool used by journalists and organisers, though I note it is US-concentrated and does not create formal contestability mechanisms."
8,Labour Xchange,https://labourxchange.uk,47,40.2,7,0.57,MEDIUM,NONE,modifier,"Labour Xchange serves underemployed workers, parents, carers, and people with disabilities -- populations excluded from employment by specific mechanisms like caring responsibilities and disability barriers. Government partnerships with local authorities and health services show public sector embedding. I am boosting for the specificity of the exclusion mechanism. The dossier is thin on methodology and community design involvement, which limits confidence."
9,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,46,42.7,3,0.79,LOW,NONE,criteria,"This tool analyses X/Twitter's Community Notes system for platform accountability, serving researchers and fact-checkers investigating how content moderation decisions are made. It creates transparency about an algorithmic system's operations, which is accountability-adjacent. The intentional metadata-only design and honest documentation of limitations show critical awareness. The Prototype Fund backing from Germany's education ministry adds credibility. It does not create contestability for affected users, though."
10,LiquidFeedback,https://liquidfeedback.com,44,41.5,3,0.86,LOW,MEDIUM,criteria,"LiquidFeedback has real deployment evidence -- Pirate Party Germany, Friesland County, European Commission Horizon 2020 projects. The liquid democracy model addresses power delegation explicitly, which shows critical engagement with how participation structures distribute authority. But it acknowledges that complexity creates barriers for non-technical users without fully resolving this, and there is no formal disparity tracking. The documented limitations about vocal minorities are honest, which I value."
11,Mastodon,https://github.com/mastodon/mastodon,43,42.7,0,0.93,LOW,HIGH,criteria,"Mastodon serves marginalised communities, journalists, and activists as documented primary users, which gives it community-centring credit. The federated governance model is interesting but also creates moderation inconsistency across instances -- the dossier is honest about this. My concern is that decentralised social media does not directly create accountability infrastructure for algorithmic systems. HIGH popularity risk: Mastodon is extremely well-documented in civic tech circles. I would estimate 8-10 points lower if dossier richness were normalised."
12,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,43,37.8,5,0.71,LOW,NONE,criteria,"Participatory budgeting directly addresses resource allocation decisions that affect communities, and this platform has been deployed in multiple US municipalities. The methodology implies community engagement in budget priorities, though the dossier is thin on how the platform design itself was shaped by community input. It scores on HCD in public services and implementation evidence, but less on algorithmic accountability."
13,Humble Data Workshop,https://humbledata.org,43,37.8,5,0.57,MEDIUM,NONE,modifier,"Humble Data explicitly targets women, people of colour, LGBTQ+ individuals, and people with disabilities in data science education -- naming specific communities excluded by the tech industry's demographic composition. The exclusion mechanism is structural underrepresentation, which is specific enough for my criteria. However, this is an education initiative rather than accountability infrastructure, and there is no evidence of community involvement in curriculum design or formal evaluation. Underdog signal is true; the thin dossier likely reflects volunteer capacity."
14,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,42,41.5,0,0.86,LOW,NONE,criteria,"DOT monitors data integrity in frontline health systems in Uganda, serving ministries of health and frontline workers. The tool addresses data quality disparities across health facilities, which is a specific exclusion mechanism -- communities in poorly documented regions receive worse services. It has genuine public sector deployment. I appreciate the focus on data quality as a governance issue rather than just a technical one, though it does not create formal contestability for affected communities."
15,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,40,40.2,0,0.79,LOW,NONE,criteria,"A data standard for political advertising transparency that influenced EU Digital Services Act requirements -- this is accountability infrastructure for political advertising algorithms. The standard creates a framework for scrutiny of targeting practices, which is relevant to my concerns about algorithmic systems operating without transparency. However, it is a standard, not a contestability mechanism -- affected citizens cannot use it to challenge how they were targeted."
16,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,39,39.0,0,0.79,LOW,NONE,criteria,"A dummy parliamentary bill explaining speedbumps for government software development is a genuinely critical engagement with how legislation handles digital service design. The format itself is a creative theory of change -- making technical policy problems legible to legislators. It scores well on critical engagement with governance rhetoric. The Scottish government context is directly relevant to my concerns about public sector technology governance, though it is a single-author educational tool rather than a deployed system."
17,Ladder Hub,https://ladderhub.org/,39,34.1,5,0.43,MEDIUM,NONE,modifier,"Ladder Hub serves low-income workers and underrepresented populations in high-skill careers, with disparity tracking documented. The specificity of the exclusion mechanism -- economic barriers to career advancement -- gives it community-centring credit. But the dossier is very thin with corrupted data in the primary users field, and there is no evidence of community involvement in design. I am boosting for the named excluded population but cannot push much higher given the evidence gaps."
18,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,38,35.4,3,0.57,MEDIUM,NONE,criteria,"Roundabout explicitly centres 'underestimated communities' and community stewards, with a national survey on local digital spaces conducted with University of Texas. The design philosophy addresses communities excluded from mainstream social media platforms. I appreciate the research grounding. However, it is in closed beta and US-only, so implementation evidence is minimal. The 'underestimated communities' framing is more specific than 'citizens' but less specific than naming a concrete exclusion mechanism."
