rank,project_name,url,score,criteria_total,modifier_adj,completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Ushahidi,https://www.ushahidi.com,62.8,42.8,20,0.96,LOW,HIGH,modifier,"Ushahidi operates in Sudan -- a fragile context I know from direct experience where technology must work under constraints most designers never consider. Modifiers significantly shaped this score (M1:+15, M3:+10). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 7 points lower."
2,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,54.1,36.1,18,0.96,LOW,MEDIUM,modifier,"The participatory design evidence in Fundación Ciudadanía Inteligente's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+15, M6:+3)."
3,OpenCRVS,https://www.opencrvs.org,49.7,29.7,20,0.96,LOW,HIGH,modifier,"""Open source digital civil registration and vital statistics system for every person on the planet"" -- OpenCRVS has a real health equity dimension that my constitution rewards. Modifiers significantly shaped this score (M1:+15, M3:+10). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
4,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,48.1,28.1,20,0.96,LOW,MEDIUM,modifier,"Humanitarian OpenStreetMap Team (HOT) operates in Afghanistan -- a fragile context I know from direct experience where technology must work under constraints most designers never consider. Modifiers significantly shaped this score (M1:+15, M3:+10, M5:+4)."
5,Tracka,https://yourtracka.org,48.0,36.0,12,0.86,LOW,MEDIUM,criteria,"""Monitor the status of federal and state projects in your community and take action on implementation..."" -- Tracka has a real health equity dimension that my constitution rewards. Primary driver: community-centred design."
6,LiquidFeedback,https://liquidfeedback.com,46.1,31.1,15,0.96,LOW,MEDIUM,modifier,The participatory design evidence in LiquidFeedback's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+15).
7,Participedia,https://participedia.net,46.1,31.1,15,0.88,LOW,MEDIUM,modifier,The participatory design evidence in Participedia's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+15).
8,Open Contracting Partnership,https://www.open-contracting.org,42.3,22.3,20,0.98,LOW,MEDIUM,modifier,"""Open, fair & efficient public contracting to improve US$2 trillion in annual public procur..."" -- Open Contracting Partnership has a clear purpose, though its connection to my health equity and decolonial criteria is limited. Modifiers significantly shaped this score (M1:+15, M5:+4, M6:+3)."
9,Guardian Project,https://guardianproject.info,41.6,21.6,20,0.92,LOW,HIGH,modifier,"Guardian Project operates in Syria -- a fragile context I know from direct experience where technology must work under constraints most designers never consider. Modifiers significantly shaped this score (M1:+15, M3:+7). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
10,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,41.1,26.1,15,1.0,LOW,HIGH,modifier,"""A no-code desktop app for error-free spreadsheets with guaranteed privacy and FAIR data"" -- Open Data Editor (ODE) has a clear purpose, though its connection to my health equity and decolonial criteria is limited. Modifiers significantly shaped this score (M1:+15). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
11,ODK (Open Data Kit),https://getodk.org,40.7,24.7,16,0.94,LOW,MEDIUM,modifier,"ODK (Open Data Kit) demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M1:+12, M2:-6, M3:+10)."
