url,name,median_composite,jurors_count,D1,D2,D3,D4,D5,D6,D7,D8,D9,controversial
"https://activisthandbook.org/","Activist Handbook",2.4,1,3,2,2,3,2,1,4,3,3,"D2"
"https://adhocracy.plus","adhocracy+",2.8,1,3,4,2,3,3,2,4,3,3,""
"https://aisafety.info","AISafety.info",1.85,1,2,1,2,2,1,1,3,3,3,"D1"
"https://alaveteli.org","Alaveteli",3,1,2,2,3,4,3,3,4,3,3,""
"https://aleph.occrp.org","Aleph (OCCRP)",3.35,1,5,1,4,3,4,5,4,2,4,""
"https://algorithmwatch.org","AlgorithmWatch",3.1,1,4,2,3,3,2,3,3,3,4,""
"https://all-our-ideas.citizens.is","All Our Ideas",2.5,1,2,3,3,2,2,2,4,3,3,""
"https://alltechishuman.org/responsible-tech-guide-2025","Responsible Tech Guide 2025",1.85,1,2,1,1,3,1,1,2,3,3,""
"https://annas-archive.pm","Anna's Archive",2.95,1,4,1,4,4,3,2,4,4,2,"D3"
"https://antievictionmappingproject.github.io/landlordtech","Landlord Tech Watch",2.8,1,4,2,3,2,2,2,4,4,3,""
"https://aragon.org","Aragon",2.8,1,3.5,4.5,3.5,4,3.5,2,3,2,2,"D4"
"https://arxiv.org","arXiv",3.3,1,3,1,4,5,5,2,4,3,4,"D1"
"https://arxiv.org/abs/2005.13701","Modular Politics",2.8,1,3,4,3,1,2,1,3,4,3,"D7;D8"
"https://atlasofsurveillance.org","Atlas of Surveillance",2.95,1,4,2,3,3,2,3,3,3,3,""
"https://bellingcat.gitbook.io/toolkit","Bellingcat Online Investigation Toolkit",3.45,1,4,1,3,3,3,4,4,3,4,"D4;D6"
"https://benefits-calculator.turn2us.org.uk","Turn2us Benefits Calculator",2.3,1,2,1,2,4,1,2,2,3,3,""
"https://blog.kagi.com/slopstop","Kagi SlopStop",1.95,1,2,2,2,2,1,1,2,3,3,"D1;D3"
"https://bonfirenetworks.org/","Bonfire",2.8,1,3,4,3,2,3,1,5,4,3,""
"https://bsky.app","Bluesky",2.75,1,3,2,3,4,3,2,3,2,3,""
"https://channel.org","Channel.org",2.05,1,2,3,2,2,2,1,4,3,2,"D2"
"https://charitydigitalskills.co.uk","Charity Digital Skills Report",2.15,1,1,1,2,2,1,2,2,3,3,"D4"
"https://charmverse.io/","CharmVerse",2.05,1,2,3,2,2,2,1,3,2,2,""
"https://choosealicense.com","Choose a License",2.45,1,2,1,2,4,3,1,4,3,3,""
"https://citizenos.com/platform/","Citizen OS",2.8,1,3,4,3,2,2,2,4,3,3,""
"https://ciudadaniai.org","Fundación Ciudadanía Inteligente",2.9,1,3,3,3,3,2,3,3,3,3,""
"https://civiclick.com","CiviClick",2,1,2,2,2,3,1,2,1,2,2,""
"https://civicmatch.app","CivicMatch",1.65,1,2,2,2,1,1,1,1,3,2,""
"https://civicpress.io/","CivicPress",1.8,1,2,1,2,1,1,1,3,4,3,""
"https://civicrm.org","CiviCRM",2.65,1,2,2,3,4,3,2,4,3,3,""
"https://civictech.guide","Civic Tech Field Guide",2.35,1,1,1,2,3,3,2,2,3,3,"D4;D5"
"https://ckan.org","CKAN",3.25,1,2,1,4,5,4,3,4,3,4,""
"https://climateaction.tech","ClimateAction.Tech",2.8,1,3,3,2,3,2,2,4,4,3,""
"https://cobudget.com","Cobudget",3,1,3,4,3,2,2,2,4,4,3,""
"https://collab.land","Collab.Land",1.55,1,1,1,2,3,2,1,1,2,2,""
"https://collaborative-data.theodi.org","Collaborative Data Patterns",2,1,2,2,2,1,2,1,3,3,3,""
"https://commonslibrary.org","The Commons Social Change Library",2.05,1,2,1,2,3,1,1,2,3,3,""
"https://communities.sunlightfoundation.com/methodology","Tactical Data Engagement",2.45,1,3,3,2,3,2,2,2,3,3,""
"https://communityrule.info","CommunityRule",2.3,1,2,3,2,2,2,1,4,3,3,""
"https://conservativepartyfunding.co.uk","Conservative Party Funding",2.2,1,3,1,3,1,1,2,1,5,3,""
"https://constituteproject.org","Constitute Project",2.6,1,2,1,3,3,3,3,4,3,4,""
"https://consulproject.org","CONSUL Democracy",3.5,1,3,4,4,4,4,3,5,3,4,""
"https://contractsfordatacollaboration.org","Contracts for Data Collaboration",2.4,1,2,2,2,2,3,2,4,3,3,""
"https://coops.tech","CoTech",2.65,1,3,4,2,2,2,1,4,3,3,"D1;D2"
"https://coralproject.net","Coral",2.4,1,2,2,2,4,2,2,4,3,3,""
"https://cortico.ai/platform","Cortico",2.45,1,2,3,2,3,2,2,2,3,3,""
"https://cotsi.org/","COTSI (Cyber Operational Threat Situational Intelligence)",2.35,1,3,1,4,3,2,2,2,3,3,""
"https://creativecommons.org","Creative Commons",3.95,1,5,2,5,5,5,4,4,3,4,"D2;D6;D8"
"https://cybersecurityfordemocracy.org","Cybersecurity for Democracy",3.25,1,4,2,3,3,3,3,4,3,4,""
"https://data.humdata.org","Humanitarian Data Exchange",2.55,1,2,1,3,4,3,3,3,2,3,""
