rank,url,score,votes,dossier_completeness,popularity_risk,rationale
1,https://decidim.org,87.5,4,0.0,low,"Decidim takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A free/libre, open and safe digital platform for citizen participation. Reprogramming democracy is n. Governance model: cooperative. Strongest on participatory governance (C2: 13.9). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
2,https://www.open-contracting.org,85.0,4,0.0,low,"Open Contracting Partnership scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open, fair & efficient public contracting to improve US$2 trillion in annual public procurement spen. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
3,https://consulproject.org,82.5,6,0.0,low,"CONSUL Democracy takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: The most complete citizen participation tool for an open, transparent and democratic government.. Governance model: foundation. Strongest on participatory governance (C2: 13.9). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
4,https://expo.diia.gov.ua,82.0,4,0.0,low,"Diia serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Ukraine's digital government ecosystem: mobile app, portal, and digital transformation projects. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Modifiers: M4:+4. Operates national."
5,https://www.globaleaks.org,81.0,4,0.0,low,"GlobaLeaks serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Free and open-source whistleblowing software enabling secure anonymous reporting platforms. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 8). Operates international."
6,https://liquidfeedback.com,80.5,4,0.0,low,"LiquidFeedback takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Liquid democracy software for transparent proposal development and collective decision-making. Governance model: open-source published by Public Software Group e.V.; commerc. Strongest on participatory governance (C2: 13.0). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
7,https://p4ai.net,79.5,4,0.0,low,"Principles for Public Participation in Procurement of AI serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Framework for public participation in AI procurement decisions. Governance model: collaborative multi-stakeholder. Strongest on institutional infrastructure (C4: 10.0). Operates international."
8,https://openprocurement.io,78.6,5,0.0,low,OpenProcurement has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Open source e-procurement toolkit powering transparent public procurement systems.. Governance model: Open source toolkit maintained by Quintagroup; ProZorro depl. Strongest on cross-jurisdictional applicability (C5: 9). Operates Ukraine; international deployments.
9,https://github.com/g0v/vue.vtaiwan.tw,78.5,4,0.0,low,vTaiwan has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Taiwan's open digital democracy platform for collaborative online public consultation on legislation. Governance model: g0v civic tech community with government partnership. Strongest on institutional infrastructure (C4: 8.0). Operates Taiwan.
10,https://parti.xyz,77.2,5,0.0,low,"Parti has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: 함께 만드는 워킹그룹, 빠띠 카누 (Together Making Working Groups, Parti Canu) - A platform for connecting people w. Governance model: foundation. Strongest on participatory governance (C2: 10.0). Operates national."
11,https://github.com/compdemocracy/polis,76.5,4,0.0,low,"Polis scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open-source AI-powered platform for large-scale open-ended public feedback and deliberation. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
12,https://ciudadaniai.org,76.0,5,0.0,low,"Fundación Ciudadanía Inteligente takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Latin American organization fighting for the transformation of democracies through civic technology . Governance model: foundation. Strongest on participatory governance (C2: 12.1). Operates regional."
13,https://riseup.net,75.7,3,0.0,low,Riseup has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Secure online communication tools for people and groups working on liberatory social change. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international.
14,https://opendigitalplanning.org,75.6,5,0.0,low,No rationale available.
15,https://creativecommons.org,75.2,4,0.0,low,"Creative Commons scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: CC empowers individuals and communities around the world through technical, legal, and policy soluti. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
16,https://www.openownership.org,75.2,5,0.0,low,"Open Ownership scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Driving global shift towards transparency and accountability in corporate ownership and control. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
17,https://bonfirenetworks.org,74.4,5,0.0,low,No rationale available.
