rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://nymtech.net,Nym,51.1,45.1,6,0.75,LOW,LOW,criteria,"Nym is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6."
2,https://oa.report,OA.Report,42.3,37.3,5,0.92,LOW,LOW,criteria,"OA.Report directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M1:+6, M3:+3."
3,https://oa.works/,OA.Works,55.0,49.0,6,1.0,LOW,MEDIUM,criteria,OA.Works engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+6.
4,https://objector.ai,Objector.ai,35.4,29.4,6,0.92,LOW,LOW,criteria,Objector.ai engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6.
5,https://okfn.org/en/projects/open-data-editor/,Open Data Editor (ODE),82.7,63.7,19,1.0,LOW,LOW,modifier,"Open Data Editor (ODE) builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+6."
6,https://oneproject.org/,One Project,40.3,37.3,3,0.75,LOW,LOW,criteria,One Project engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+3.
7,https://onodi.co/bisect/,Theft Bisect,52.2,40.2,12,0.92,LOW,LOW,modifier,"Theft Bisect engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
8,https://openaccess.transparency.org.uk,Open Access – Transparency International UK,45,50.0,6,0.72,LOW,LOW,procedural,"Open Access – Transparency International UK builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6."
9,https://openaudience.org,OpenAudience,23.5,27.5,-4,0.75,LOW,LOW,criteria,OpenAudience engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
10,https://openbudgets.eu,OpenBudgets.eu,61.9,54.9,7,1.0,LOW,LOW,criteria,"OpenBudgets.eu builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M6:+7."
11,https://opencollective.com,Open Collective,54.0,48.0,6,0.75,LOW,LOW,criteria,"Open Collective is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6."
12,https://opencouncil.network,Open Council Network,69.8,57.8,12,1.0,LOW,LOW,criteria,"Open Council Network builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+6."
13,https://opencouncildata.co.uk,Open Council Data UK,33.4,31.4,2,0.83,LOW,LOW,criteria,"Open Council Data UK engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
14,https://opendatacommunities.org,Open Data Communities,59.0,52.0,7,0.92,LOW,MEDIUM,criteria,"Open Data Communities builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M6:+7."
15,https://opendigitalplanning.org/,Open Digital Planning,69.9,53.9,16,1.0,LOW,LOW,modifier,"Open Digital Planning is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M3:+3, M5:+6."
16,https://openheartmind.org,Open Heart Mind (OHM),39.3,33.3,6,0.83,LOW,LOW,criteria,Open Heart Mind (OHM) engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+6.
17,https://openletter.earth,Open Letter,31.3,35.3,-4,0.92,LOW,LOW,criteria,Open Letter engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
18,https://openparliament.ca/,openparliament.ca,64.0,49.0,15,0.75,LOW,MEDIUM,modifier,"openparliament.ca directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M1:+6, M3:+3."
19,https://openprocurement.io,OpenProcurement,68.0,49.0,19,1.0,LOW,MEDIUM,modifier,"OpenProcurement is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
20,https://openreferraluk.org,Open Referral UK,67.0,48.0,19,1.0,LOW,LOW,modifier,"Open Referral UK is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
21,https://opensupplyhub.org,Open Supply Hub,73.7,64.7,9,1.0,LOW,LOW,criteria,"Open Supply Hub builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M3:+3, M5:+6."
22,https://orcid.org,ORCID,55.9,55.9,0,0.92,LOW,MEDIUM,criteria,"ORCID builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery."
23,https://osf.io,Open Science Framework,74.7,65.7,9,0.92,LOW,MEDIUM,criteria,"Open Science Framework builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M3:+3, M5:+6."
24,https://osintframework.com,OSINT Framework,57.1,45.1,12,0.75,LOW,LOW,modifier,"OSINT Framework is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
25,https://overton.io,Overton,36.3,36.3,0,0.83,LOW,LOW,criteria,"Overton engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4, M6:+4."
26,https://p4ai.net,Principles for Public Participation in Procurement of AI,58.0,48.0,10,0.83,LOW,LOW,criteria,"Principles for Public Participation in Procurement of AI engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+3, M6:+7."
27,https://pageviews.wmcloud.org,Pageviews Analysis,51.2,39.2,12,0.75,LOW,LOW,modifier,"Pageviews Analysis is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
28,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,Unknown Academic Paper (SSRN 5351275),28,18.6,-6,0.1,HIGH,NONE,underdog-protection,"Unknown Academic Paper (SSRN 5351275) engages with relevant domains but the score is limited by thin dossier evidence. modifiers apply: M4:-6. underdog protection applies — I'm not penalising this project for being underdocumented, but cannot rank it high without more evidence."
29,https://parliamentwatch.ug/,Parliament Watch Uganda,40.3,35.3,5,0.75,LOW,LOW,criteria,"Parliament Watch Uganda directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M1:+6, M3:+3."
30,https://parsethebill.com,Parse The Bill,41.3,36.3,5,0.75,LOW,LOW,criteria,"Parse The Bill engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M3:+3."
31,https://parti.xyz,Parti,65.0,52.0,13,1.0,LOW,LOW,criteria,"Parti builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M6:+7."
32,https://participedia.net,Participedia,55.1,46.1,9,0.92,LOW,MEDIUM,criteria,"Participedia engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M3:+3, M5:+6."
33,https://planit.org.uk,PlanIT,45,47.1,2,0.72,LOW,LOW,procedural,"PlanIT builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:-4."
34,https://plausible.io,Plausible Analytics,39.3,33.3,6,0.75,LOW,LOW,criteria,Plausible Analytics engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6.
35,https://plunkett.my.site.com/keepitinthecommunity/s,Keep It In The Community,22.5,26.5,-4,0.58,MEDIUM,NONE,criteria,Keep It In The Community engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
36,https://policyengine.org/uk,PolicyEngine,73.7,64.7,9,1.0,LOW,LOW,criteria,"PolicyEngine builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M3:+3, M5:+6."
37,https://policykit.org,PolicyKit,45,46.1,6,0.6299999999999999,MEDIUM,LOW,procedural,"PolicyKit is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6."
38,https://policymogul.com,PolicyMogul,28.4,32.4,-4,0.67,MEDIUM,LOW,criteria,PolicyMogul engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
39,https://postbug.com,PostBug,19.5,25.5,-6,0.75,LOW,LOW,modifier,PostBug engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M4:-6.
40,https://privacybadger.org,Privacy Badger,60.0,48.0,12,0.92,LOW,MEDIUM,criteria,"Privacy Badger is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
41,https://programs.clearerthinking.org/understanding-your-morality/,Understanding Your Morality,23.5,27.5,-4,0.75,LOW,LOW,criteria,Understanding Your Morality engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
42,https://public.tableau.com/app/profile/citizensadvice/vizzes,Citizens Advice Tableau Public Profile,40.2,40.2,0,0.58,MEDIUM,NONE,criteria,"Citizens Advice Tableau Public Profile builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+4."
43,https://publicaccountability.org,The Accountability Project,36.4,31.4,5,0.75,LOW,LOW,criteria,"The Accountability Project engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M3:+3."
44,https://publicai.co/,Public AI Inference Utility,57.0,48.0,9,0.92,LOW,LOW,criteria,"Public AI Inference Utility engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
45,https://publicmediastack.com,Public Media Stack,24.4,28.4,-4,0.75,LOW,LOW,criteria,Public Media Stack engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
46,https://pursuanceproject.org,Pursuance Project,50.2,38.2,12,0.75,LOW,LOW,modifier,"Pursuance Project is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
47,https://quadraticvote.radicalxchange.org,RxC Quadratic Voting,55.1,43.1,12,0.92,LOW,LOW,modifier,"RxC Quadratic Voting is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
48,https://radicle.xyz,Radicle,50.2,38.2,12,0.75,LOW,LOW,modifier,"Radicle is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
49,https://relationaltechproject.org,Relational Tech Project,46.3,37.3,9,0.58,MEDIUM,NONE,criteria,"Relational Tech Project engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
50,https://remembertovote.org.uk,Remember to Vote,26.5,24.5,2,0.67,MEDIUM,LOW,criteria,"Remember to Vote engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
51,https://research.localgov.digital,User Research Library,49.1,46.1,3,0.83,LOW,LOW,criteria,"User Research Library builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+7."
52,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,Beckton,40.4,31.4,9,0.75,LOW,LOW,modifier,"Beckton engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
53,https://right-to-know.org,Right To Know,33.4,31.4,2,0.92,LOW,LOW,criteria,"Right To Know engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
