jury_rank,name,url,jury_score,const_score,const_rank,gap,pop_risk,completeness,std_dev,grok_median
1,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,82.0,76.8,4,-3,HIGH,1.0,13.8,50.4
2,Open Digital Planning,https://opendigitalplanning.org/,80.5,78.1,1,1,MEDIUM,1.0,14.5,45.0
3,mySociety Datasets and APIs,https://data.mysociety.org,80.5,77.7,3,0,HIGH,0.93,11.8,57.9
4,ODK (Open Data Kit),https://getodk.org,78.2,77.8,2,2,HIGH,0.93,10.1,55.4
5,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,77.9,72.8,9,-4,LOW,0.93,8.8,65.9
6,OpenCRVS,https://www.opencrvs.org,75.6,75.8,5,1,HIGH,0.93,11.8,56.1
7,AlgorithmWatch,https://algorithmwatch.org,75.1,73.9,6,1,LOW,1.0,8.6,61.9
8,OSINT Framework,https://osintframework.com,75.1,73.3,7,1,HIGH,0.93,6.7,67.7
9,Nym,https://nymtech.net,74.2,72.9,8,1,MEDIUM,0.93,10.8,52.0
10,OpenSanctions,https://www.opensanctions.org,74.2,69.9,14,-4,MEDIUM,0.93,10.7,69.0
11,Aleph (OCCRP),https://aleph.occrp.org,74.1,69.4,16,-5,MEDIUM,1.0,10.2,58.1
12,SecureDrop,https://securedrop.org,72.7,71.4,10,2,HIGH,0.93,9.2,58.8
13,LiquidFeedback,https://liquidfeedback.com,72.6,70.9,11,2,LOW,0.93,8.6,68.8
14,The Government Says,https://thegovernmentsays.com,72.6,65.5,36,-22,LOW,0.93,10.4,62.6
15,oTree,https://www.otree.org,71.9,70.5,12,3,MEDIUM,0.93,8.7,63.3
16,Tor Project,https://www.torproject.org,71.9,67.4,25,-9,HIGH,0.93,9.0,52.6
17,WhatDoTheyKnow,https://www.whatdotheyknow.com,71.3,68.8,18,-1,MEDIUM,0.93,10.8,63.9
18,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,71.1,69.9,13,5,LOW,0.93,6.6,62.4
19,Unpaywall Browser Extension,https://unpaywall.org/products/extension,71.1,69.8,15,4,MEDIUM,0.93,10.8,54.2
20,Open Referral UK,https://openreferraluk.org,71.1,67.0,27,-7,LOW,0.93,7.3,59.4
21,Creative Commons,https://creativecommons.org,70.3,68.9,17,4,HIGH,1.0,9.2,57.3
22,Open Science Framework,https://osf.io,69.6,67.2,26,-4,MEDIUM,0.93,11.6,46.5
23,Loomio,https://www.loomio.org,69.3,68.3,20,3,HIGH,0.93,9.8,50.4
24,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,69.3,66.2,30,-6,LOW,0.87,10.3,52.0
25,youtube-dl,https://github.com/ytdl-org/youtube-dl,68.8,68.0,22,3,HIGH,0.93,9.9,48.8
26,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,68.7,68.5,19,7,HIGH,0.93,12.2,68.1
27,NumFOCUS,https://numfocus.org,68.7,66.0,31,-4,MEDIUM,1.0,11.3,56.5
28,The Circuit,https://thecircuit.cc,68.6,67.8,23,5,LOW,1.0,9.5,52.2
29,Channel.org,https://channel.org,68.5,68.0,21,8,LOW,0.93,8.7,64.0
30,Open Standards for Data Guidebook,https://standards.theodi.org,67.8,64.2,44,-14,LOW,0.93,7.1,58.7
31,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,67.8,64.1,45,-14,LOW,0.93,11.5,48.0
32,Coral,https://coralproject.net,67.7,66.5,29,3,MEDIUM,0.93,9.0,49.7
33,Guardian Project,https://guardianproject.info,67.7,65.3,37,-4,HIGH,0.93,10.2,44.8
34,Open Contracting Partnership,https://www.open-contracting.org,67.6,65.0,39,-5,LOW,1.0,5.8,63.5
35,Polis,https://github.com/compdemocracy/polis,67.2,61.0,63,-28,HIGH,0.93,7.7,54.2
36,Alaveteli,https://alaveteli.org,67.1,65.5,35,1,MEDIUM,0.93,7.5,54.7
37,OA.Works,https://oa.works/,66.8,67.6,24,13,LOW,0.93,11.0,55.4
38,Pageviews Analysis,https://pageviews.wmcloud.org,66.4,66.0,33,5,LOW,0.93,7.8,58.7
39,HURIDOCS,https://github.com/huridocs,66.3,63.3,55,-16,LOW,0.93,8.0,51.2
40,Matrix,https://matrix.org,66.2,63.4,53,-13,HIGH,1.0,13.9,31.0
41,Participedia,https://participedia.net,66.1,65.9,34,7,LOW,1.0,7.5,58.7
42,OpenBudgets.eu,https://openbudgets.eu,65.9,64.0,47,-5,LOW,0.93,8.2,65.9
43,CommunityRule,https://communityrule.info,65.9,63.5,51,-8,LOW,1.0,7.5,55.9
44,OpenProcurement,https://openprocurement.io,65.8,66.0,32,12,LOW,0.93,12.4,39.9
45,Bluesky,https://bsky.app,65.6,66.6,28,17,HIGH,0.93,10.9,56.7
46,Granicus,https://granicus.com/uk,65.0,63.7,50,-4,LOW,0.87,10.2,41.8
47,CONSUL Democracy,https://consulproject.org,65.0,62.0,59,-12,HIGH,1.0,8.3,53.0
48,Open Council Network,https://opencouncil.network,64.7,64.3,43,5,LOW,0.93,7.5,53.3
49,Martus,https://www.martus.org,64.6,58.6,88,-39,LOW,0.93,9.6,43.6
50,Pastecal,https://github.com/kazad/pastecal,64.5,62.1,58,-8,LOW,0.93,10.5,46.7
51,Granitt,https://granitt.io,64.5,58.7,86,-35,LOW,0.93,5.5,55.8
52,PolicyEngine,https://policyengine.org/uk,64.4,64.9,40,12,MEDIUM,0.93,10.6,48.2
53,Logos,https://logos.co/,64.4,61.1,62,-9,LOW,0.93,8.6,46.7
54,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,64.3,64.1,46,8,LOW,1.0,8.0,56.5
55,sourceAFRICA,https://sourceafrica.net,64.3,62.4,56,-1,LOW,0.93,7.7,59.2
56,One Project,https://oneproject.org/,64.1,61.6,60,-4,LOW,0.93,7.3,63.3
57,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,63.9,59.0,81,-24,LOW,0.93,9.8,51.2
58,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,63.8,63.9,49,9,LOW,0.93,6.6,61.6
59,OpenOrigins,https://www.openorigins.com,63.8,59.1,78,-19,LOW,0.87,6.4,62.0
60,Privacy Badger,https://privacybadger.org,63.7,63.4,54,6,MEDIUM,1.0,11.8,48.4
61,Pursuance Project,https://pursuanceproject.org,63.7,60.1,71,-10,LOW,0.93,5.9,59.3
62,Open Heart Mind (OHM),https://openheartmind.org,63.6,64.6,41,21,LOW,0.93,10.0,51.2
63,GlobaLeaks,https://www.globaleaks.org,63.4,65.0,38,25,MEDIUM,0.93,10.6,53.4
64,All Our Ideas,https://all-our-ideas.citizens.is,63.3,63.9,48,16,LOW,1.0,11.3,42.1
65,Ushahidi,https://www.ushahidi.com,63.3,58.1,92,-27,HIGH,0.93,8.6,45.2
66,Open Ownership,https://www.openownership.org,63.2,64.4,42,24,LOW,0.93,10.3,53.5
67,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,63.2,61.0,64,3,LOW,0.93,7.4,60.3
68,Your Priorities,https://yrpri.org,63.1,63.5,52,16,LOW,0.93,10.1,53.5
69,Decidim,https://decidim.org,63.0,60.0,72,-3,HIGH,0.93,8.5,47.7
70,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,62.5,59.0,82,-12,LOW,1.0,8.5,54.2
71,EDGAR,https://github.com/bellingcat/edgar,62.2,58.1,90,-19,LOW,0.93,9.6,57.7
72,openparliament.ca,https://openparliament.ca/,62.1,60.4,69,3,LOW,0.93,8.5,54.8
73,Journal of Open Source Software,https://joss.theoj.org,62.1,60.1,70,3,MEDIUM,1.0,11.9,40.1
74,Filmot,https://filmot.com,62.1,57.8,93,-19,LOW,0.87,5.9,55.6
75,Populate Tools,https://github.com/populatetools,61.7,60.0,73,2,LOW,0.93,7.8,54.5
76,Open Letter,https://openletter.earth,61.3,58.7,87,-11,LOW,0.8,12.2,43.2
77,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,61.1,61.4,61,16,LOW,0.93,7.8,56.9
78,Open Collective,https://opencollective.com,61.0,60.7,65,13,HIGH,0.93,8.1,52.4
79,Parallel Parliament,https://www.parallelparliament.co.uk,61.0,57.2,98,-19,LOW,0.93,9.1,47.3
80,Interoperable Deliberative Tools,https://metagov.org/projects/interop,61.0,56.1,108,-28,LOW,0.93,7.0,59.8
81,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,60.9,58.7,85,-4,LOW,0.93,10.7,46.2
82,Open Data Communities,https://opendatacommunities.org,60.9,56.2,106,-24,LOW,0.87,10.1,45.9
83,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,60.8,60.5,66,17,LOW,1.0,6.7,59.2
84,Open Supply Hub,https://opensupplyhub.org,60.8,56.2,107,-23,LOW,1.0,9.5,46.3
85,Security First / Umbrella,https://secfirst.org,60.7,60.0,75,10,LOW,1.0,7.9,57.6
86,adhocracy+,https://adhocracy.plus,60.5,57.1,99,-13,LOW,0.93,5.7,52.6
87,Principles for Public Participation in Procurement of AI,https://p4ai.net,60.4,60.0,74,13,LOW,0.87,8.9,49.0
88,WhatGov,https://www.whatgov.co.uk,60.4,56.1,109,-21,LOW,1.0,10.3,44.3
89,CiviCRM,https://civicrm.org,60.2,59.0,79,10,LOW,0.93,10.6,46.7
90,LittleSis,https://littlesis.org,59.9,60.4,68,22,LOW,1.0,8.6,50.5
91,Cobudget,https://cobudget.com,59.9,59.0,80,11,LOW,0.93,9.2,56.6
92,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,59.8,58.2,89,3,LOW,0.93,7.9,58.2
93,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,59.6,55.5,116,-23,LOW,0.93,9.1,42.4
94,Wikidata,https://www.wikidata.org,59.5,59.6,77,17,HIGH,0.93,12.8,31.9
95,Journalist Studio,https://journaliststudio.google.com,59.5,56.6,103,-8,MEDIUM,0.93,11.8,38.3
96,Modular Politics,https://arxiv.org/abs/2005.13701,59.5,54.5,123,-27,LOW,0.87,10.2,39.4
97,PlaceCal,https://github.com/geeksforsocialchange/placecal,59.1,59.7,76,21,LOW,0.93,6.0,59.1
98,semanticClimate,https://semanticclimate.github.io,59.1,57.7,94,4,LOW,0.93,8.8,45.3
99,VFRAME,https://vframe.io,59.1,56.7,101,-2,MEDIUM,0.93,12.2,38.0
100,Diia,https://expo.diia.gov.ua,59.1,55.7,111,-11,MEDIUM,1.0,8.4,41.6
101,The Engine Room Library,https://library.theengineroom.org,59.0,57.1,100,1,LOW,0.93,8.8,45.9
102,Participa (Podemos),https://github.com/podemos-info/participa,58.8,60.4,67,35,LOW,0.93,9.8,46.3
103,PatCit,https://github.com/cverluise/patcit,58.8,57.6,95,8,LOW,0.93,9.9,46.2
104,Open Council Data UK,https://opencouncildata.co.uk,58.6,57.5,96,8,LOW,0.87,14.2,29.6
105,RxC Voice,https://github.com/radicalxchange/rxc-voice,58.6,56.6,102,3,LOW,0.93,5.7,56.9
106,Mastodon C,https://www.mastodonc.com,58.1,58.1,91,15,HIGH,0.93,12.2,37.8
107,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,58.0,55.7,114,-7,LOW,0.93,10.2,34.3
108,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,57.9,55.7,112,-4,MEDIUM,0.87,9.7,36.0
109,Choose a License,https://choosealicense.com,57.8,62.1,57,52,MEDIUM,0.93,7.8,49.9
110,Full Fact AI,https://fullfact.org/ai,57.7,58.8,83,27,LOW,0.87,12.7,35.2
111,FarmerChat,https://farmerchat.digitalgreen.org,57.4,58.7,84,27,LOW,0.87,7.1,54.0
112,Mastodon,https://github.com/mastodon/mastodon,57.0,55.5,115,-3,HIGH,0.93,8.9,44.3
113,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,57.0,51.1,144,-31,LOW,0.93,7.4,57.2
114,Esper,https://esper.com/product,56.7,56.2,105,9,LOW,0.87,8.8,56.4
115,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,56.6,55.1,121,-6,MEDIUM,0.93,12.2,37.7
116,CKAN,https://ckan.org,56.5,55.1,120,-4,HIGH,0.93,11.0,36.5
117,Nyaaya,https://nyaaya.org,56.4,55.4,117,0,MEDIUM,1.0,6.7,49.5
118,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,56.4,55.1,122,-4,HIGH,0.93,11.9,33.0
119,Nestr,https://nestr.io,56.1,52.9,134,-15,LOW,0.87,6.7,50.4
120,The Accountability Project,https://publicaccountability.org,56.0,56.5,104,16,LOW,0.87,6.8,54.7
121,Constitute Project,https://constituteproject.org,55.9,56.0,110,11,LOW,1.0,9.5,43.5
122,DoNotPay,https://www.donotpay.com,55.9,54.2,125,-3,LOW,0.93,8.6,44.5
123,Bonfire,https://bonfirenetworks.org/,55.9,53.1,132,-9,LOW,0.93,10.3,38.1
124,Ethelo,https://ethelo.com,55.9,52.1,138,-14,LOW,0.93,6.9,41.7
125,Parti,https://parti.xyz,55.5,54.3,124,1,LOW,1.0,9.2,53.4
126,Overton,https://overton.io,55.4,55.2,118,8,LOW,0.87,8.5,41.0
127,Civic Tech Field Guide,https://civictech.guide,55.3,55.1,119,8,HIGH,0.87,8.6,45.5
128,django-collaborative,https://github.com/propublica/django-collaborative,55.2,54.1,126,2,LOW,0.93,9.9,34.4
129,Internet Archive Wayback Machine,https://web.archive.org,54.8,51.2,143,-14,LOW,1.0,7.6,41.8
130,deliberAIde,https://www.deliberaide.com,54.7,57.2,97,33,LOW,0.93,7.4,49.6
131,CharmVerse,https://charmverse.io/,54.6,50.2,155,-24,LOW,0.93,11.3,30.2
132,Service Manual,https://www.gov.uk/service-manual,54.5,52.1,139,-7,LOW,1.0,10.0,43.5
133,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,54.3,53.2,130,3,HIGH,0.87,13.4,24.8
134,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,54.2,53.1,133,1,LOW,0.93,8.6,37.8
