rank,project_name,url,score,criteria_score,mod_adj,completeness,c1,c2,c3,c4,c5,c6,c7,rationale
81,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,59.7,59.7,0,0.67,6,22,21,2,4,25,6,V3 implementation-first. Top driver: community tech infra.
82,Open Contracting Partnership,https://www.open-contracting.org,59.3,49.3,10,0.92,6,21,16,2,5,15,6,V3 implementation-first. Top driver: open source/governance. M_IMPL boost: government adoption at scale (3 partners).
83,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,59.3,49.3,10,0.83,3,22,12,2,5,21,6,V3 implementation-first. Top driver: open source/governance. M_IMPL boost: government adoption at scale (4 partners).
84,Martus,https://www.martus.org,59.0,59.0,0,0.75,11,20,13,2,4,29,6,V3 implementation-first. Top driver: community tech infra.
85,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,58.8,52.8,6,0.83,11,27,12,2,3,17,4,V3 implementation-first. Top driver: open source/governance. M_IMPL: 1 government partner(s) boost.
86,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,58.8,52.8,6,0.92,3,21,22,4,5,15,6,V3 implementation-first. Top driver: gov legibility. M_IMPL: 2 government partner(s) boost.
87,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,58.6,48.6,10,0.75,16,2,25,2,3,18,4,V3 implementation-first. Top driver: gov legibility. M_IMPL boost: government adoption at scale (1 partners).
88,Humble Data Workshop,https://humbledata.org,58.3,58.3,0,0.67,18,22,12,4,2,20,6,V3 implementation-first. Top driver: open source/governance.
89,Talk to the City,https://talktothecity.org,58.1,52.1,6,0.92,11,14,21,2,5,16,6,V3 implementation-first. Top driver: gov legibility. M_IMPL: 2 government partner(s) boost.
90,Land Explorer,https://landexplorer.coop,58.0,41.0,17,0.67,11,2,21,2,2,18,3,V3 implementation-first. Top driver: gov legibility. M_IMPL boost: government adoption at scale (1 partners).
91,Plausible Analytics,https://plausible.io,57.6,57.6,0,0.83,13,21,13,2,4,27,3,V3 implementation-first. Top driver: community tech infra.
92,LittleSis,https://littlesis.org,57.6,57.6,0,0.83,4,25,26,2,5,17,4,V3 implementation-first. Top driver: gov legibility.
