rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,"Worker Info Exchange","https://www.workerinfoexchange.org",94.7,58,24,0.7,LOW,NONE,"criteria+modifier","This is the clearest case in the batch of a project that names a specific power asymmetry (algorithmic management of gig workers), builds formal legal mechanisms to contest it (GDPR Data Subject Access Requests, strategic litigation), and has documented wins: Amsterdam courts ordering Uber and Ola Cabs to disclose algorithmic data. The intra-class dynamics are also present — it is not just workers vs. platforms, but the specific complicity of trade secret exemptions used to deny workers visibility into decisions made about them."
2,"Landlord Tech Watch","https://antievictionmappingproject.github.io/landlordtech",88.5,57,19,0.80,LOW,NONE,modifier,"Specific named population (social housing tenants/tower block residents) with specific named mechanism (landlord proptech algorithmic systems); community-produced by AEMP; disparity tracking; M1+M3+M7 all triggered — strongest C2 in batch"
3,"Turkopticon","https://turkopticon.ucsd.edu",86.6,53,22,0.7,MEDIUM,NONE,criteria,"Turkopticon is exactly what this constitution rewards: a cooperative worker-led platform that names the specific mechanism of exclusion (Amazon's platform labour conditions stripping gig workers of ordinary employment protections) and builds infrastructure for affected workers to document, share, and act collectively. What limits a perfect score is the bounded domain and Amazon's practical ability to ignore advocacy without commensurate enforcement mechanisms."
4,"vTaiwan","https://github.com/g0v/vue.vtaiwan.tw",80.6,53,16,0.85,LOW,NONE,criteria,"Formal legislative consultation with documented policy outcomes; multi-stage g0v community engagement; highest C1+C6 in batch"
5,"Organise","https://www.organise.org.uk",79.3,47,22,0.65,LOW,NONE,modifier,"Workers' collective action with documented structural wins — equal pay for G4S night shift workers, influence on the Employment Rights Bill banning zero-hours contracts — demonstrates exactly the kind of power asymmetry correction I value: not just transparency, but formal policy change arising from collective organizing infrastructure. The limitation is reach: primarily digitally-connected workers, which means the most precarious gig workers may be systematically underrepresented in the platform's user base."
6,"Guardian Project","https://guardianproject.info",78.2,51,16,0.85,LOW,NONE,modifier,"Structural correction of surveillance power asymmetry for people in repressive regimes; named populations with named repression mechanisms; strong M1+M3"
7,"Humanitarian OpenStreetMap Team (HOT)","https://www.hotosm.org",75.7,44,22,0.7,LOW,MEDIUM,modifier,"HOT addresses geographic invisibility as a specific mechanism of humanitarian exclusion — communities not on maps are not in disaster response plans. The multi-stage engagement (community mapping, volunteer networks, disparity tracking) is documented, and the adoption of HOT maps by UN humanitarian protocols represents genuine structural impact. I flag that popularity risk is medium here: this is a widely-known project with strong institutional backing, and the dossier richness may overstate its grassroots character."
8,"OpenCRVS","https://www.opencrvs.org",75.0,50,14,0.65,LOW,NONE,modifier,"Legal identity is the most fundamental exclusion mechanism: without birth registration, populations cannot access healthcare, education, or legal rights. OpenCRVS targets precisely this — people excluded from civil registration systems by infrastructure failure, not individual choice. I apply M4 at moderate magnitude because government data infrastructure deployments carry inherent surveillance risks even with good intent, and the documented limitations acknowledge data security concerns in low-resource settings without fully resolving the governance question."
9,"Ushahidi","https://www.ushahidi.com",73.7,44,20,0.65,LOW,MEDIUM,modifier,"Ushahidi's crowdsourcing model directly addresses geographic and social exclusion from official crisis documentation — the founding case (2007 Kenyan election violence) established the pattern of communities whose experiences were absent from state records. The Global South focus, multi-stage community engagement, and documentation of digital divide limitations all score well. I flag medium popularity risk: this is a mature, well-funded platform, and the dossier may underplay the structural tensions in verification and platform sustainability."
10,"Data Trusts Initiative","https://datatrusts.uk",72.5,48,14,0.75,LOW,NONE,modifier,"NHS patients/coastal communities/birth cohort participants = specific named populations with specific named mechanism (data rights holders without formal governance); formal pilot mechanisms; M1+M3 both triggered"
