rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
161,https://privacybadger.org,Privacy Badger,55.0,49.0,6,0.92,LOW,MEDIUM,criteria,"Privacy Badger has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
162,https://data.humdata.org,Humanitarian Data Exchange,54.9,52.9,2,0.92,LOW,MEDIUM,criteria,"Humanitarian Data Exchange has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
163,https://fullfact.org/ai,Full Fact AI,54.9,54.9,0,1.0,LOW,HIGH,criteria,"Full Fact AI does the transparency work that actually matters — making institutional processes legible to people who aren't specialists. modifiers: M5:+6, M6:-6. popularity-risk flag — Full Fact AI is widely known and well-documented; stripping dossier richness advantage I'd estimate roughly 8-12 points lower."
164,https://numfocus.org,NumFOCUS,54.9,52.9,2,0.83,LOW,MEDIUM,criteria,"NumFOCUS has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
165,https://orcid.org,ORCID,54.9,52.9,2,0.92,LOW,MEDIUM,criteria,"ORCID has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
166,https://decelerator.org.uk,The Decelerator,54.1,45.1,9,0.75,LOW,LOW,criteria,What draws me most to The Decelerator is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+9.
167,https://securedrop.org,SecureDrop,54.1,43.1,11,0.92,LOW,MEDIUM,modifier,"SecureDrop has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+9, M4:-4."
168,https://societyforhopefultechnologists.org,Society for Hopeful Technologists,54.1,45.1,9,0.75,LOW,LOW,criteria,What draws me most to Society for Hopeful Technologists is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+9.
169,https://www.demnext.org/projects/delibtech-network,Deliberation & Technology (DelibTech) Network,54.1,45.1,9,0.75,LOW,LOW,criteria,"Deliberation & Technology (DelibTech) Network has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+9, M5:+6."
170,https://fairbnb.coop,Fairbnb.coop,54.0,48.0,6,0.83,LOW,LOW,criteria,"Fairbnb.coop has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
171,https://github.com/datakind/data-observation-toolkit,Data Observation Toolkit (DOT),54.0,48.0,6,1.0,LOW,LOW,criteria,"Data Observation Toolkit (DOT) has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
172,https://github.com/openpolitics/groupthink,Groupthink (OpenPolitics Votebot),54.0,50.0,4,0.92,LOW,LOW,criteria,Groupthink (OpenPolitics Votebot) addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M5:+4.
173,https://newpublic.substack.com/p/introducing-roundabout-built-for,New_ Public Roundabout,54.0,51.0,3,0.75,LOW,LOW,criteria,"New_ Public Roundabout has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M3:+5, M5:+4."
174,https://pageviews.wmcloud.org,Pageviews Analysis,54.0,52.0,2,0.75,LOW,LOW,criteria,"Pageviews Analysis has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
175,https://upgrader.gapminder.org,Gapminder Worldview Upgrader,54.0,48.0,6,1.0,LOW,LOW,criteria,"Gapminder Worldview Upgrader has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
176,https://wardwatch.uk,WardWatch,54.0,51.0,3,0.75,LOW,LOW,criteria,"WardWatch addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M1:+9, M6:-6."
177,https://www.payments.service.gov.uk,GOV.UK Pay,54.0,50.0,4,1.0,LOW,MEDIUM,criteria,GOV.UK Pay addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M5:+4.
178,https://localinsight.org,Local Insight,53.9,53.9,0,0.83,LOW,LOW,criteria,Local Insight addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them.
179,https://www.dfos.com,Democracy Fund Open Source,53.9,53.9,0,0.75,LOW,LOW,criteria,"Democracy Fund Open Source addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M4:-4, M5:+4."
180,https://www.whatgov.co.uk,WhatGov,53.9,53.9,0,0.83,LOW,LOW,criteria,WhatGov addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them.
181,https://yourtracka.org,Tracka,53.9,53.9,0,1.0,LOW,MEDIUM,criteria,Tracka does the transparency work that actually matters — making institutional processes legible to people who aren't specialists.
182,https://all-our-ideas.citizens.is,All Our Ideas,53.1,47.1,6,0.75,LOW,LOW,criteria,All Our Ideas addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M5:+6.
183,https://www.discourse.org,Discourse,53.1,47.1,6,0.75,LOW,MEDIUM,criteria,"Discourse has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
184,https://www.opencrvs.org,OpenCRVS,53.1,47.1,6,1.0,LOW,LOW,criteria,"OpenCRVS has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
185,https://coralproject.net,Coral,53.0,51.0,2,0.92,LOW,MEDIUM,criteria,"Coral has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
186,https://cybersecurityfordemocracy.org,Cybersecurity for Democracy,53.0,51.0,2,1.0,LOW,LOW,criteria,"Cybersecurity for Democracy has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
187,https://spacetu.be,Spacetube,52.3,37.3,15,0.67,MEDIUM,LOW,modifier,"Spacetube has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+9, M5:+6."
188,https://nyaaya.org,Nyaaya,52.1,44.1,8,0.83,LOW,LOW,criteria,"Nyaaya has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+8."
189,https://dgc-cgn.org/product/can-dgsi-127/,CAN/DGSI 127 - Age Assurance Technologies Standard,52.0,52.0,0,0.83,LOW,LOW,criteria,"CAN/DGSI 127 - Age Assurance Technologies Standard addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M4:-4, M5:+4."
190,https://p4ai.net,Principles for Public Participation in Procurement of AI,52.0,50.0,2,0.83,LOW,LOW,criteria,"Principles for Public Participation in Procurement of AI has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
191,https://www.papertree.earth,Papertree,52.0,50.0,2,0.58,MEDIUM,NONE,criteria,"Papertree does the transparency work that actually matters — making institutional processes legible to people who aren't specialists. modifiers: M4:-4, M5:+6."
192,https://onodi.co/bisect/,Theft Bisect,51.2,42.2,9,0.92,LOW,LOW,criteria,"Theft Bisect has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+9."
193,https://expo.diia.gov.ua,Diia,51.1,47.1,4,1.0,LOW,LOW,criteria,"Diia has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+4."
194,https://joss.theoj.org,Journal of Open Source Software,51.1,45.1,6,0.75,LOW,LOW,criteria,"Journal of Open Source Software has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6."
