rank,name,url,jury_mean,n_votes,rationale
1,CONSUL Democracy,https://consulproject.org,90.4,5,"CONSUL Democracy robustly meets campaign infrastructure, information warfare, and evidence-based decision criteria, demonstrates significant participatory democracy impact, is open source, internation"
2,Guardian Project,https://guardianproject.info,89.4,5,"Guardian Project strongly advances privacy, digital security, and protection for marginalised and at-risk communities globally, with high marks for campaign infrastructure, information warfare resilie"
3,Tor Project,https://www.torproject.org,88.4,5,"Tor Project robustly advances campaign infrastructure, information warfare resilience, privacy, and cross-context deployment for marginalized and general users, with strong open-source and progressive"
4,Mastodon,https://github.com/mastodon/mastodon,85.8,10,"Mastodon demonstrates strong campaign infrastructure, decentralised information resilience, and open-source, multi-channel delivery, with clear progressive alignment and service to marginalised commun"
5,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,85.8,5,"HOT demonstrates strong campaign infrastructure, information resilience, participatory mapping for marginalized communities, and climate/social justice alignment, with bonus points for progressive val"
6,Polis,https://github.com/compdemocracy/polis,84.8,5,"Polis demonstrates strong alignment with participatory democracy and open-source principles, providing scalable infrastructure for evidence-based public deliberation, though its impact depends on faci"
7,Security First / Umbrella,https://secfirst.org,84.4,5,"Security First/Umbrella provides open-source, widely adopted digital and physical security tools for journalists and activists in high-risk environments, strongly supporting information warfare resili"
8,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,82,5,"Fundación Ciudadanía Inteligente demonstrates strong participatory democracy and evidence-based advocacy through open civic tools and climate accountability platforms, with partial open source and pra"
9,Activist Handbook,https://activisthandbook.org,81.8,5,"Activist Handbook strongly supports participatory democracy and grassroots organising with practical, evidence-based resources, demonstrates credible practitioner alignment, multi-channel delivery, pa"
10,Open Contracting Partnership,https://www.open-contracting.org,81,5,"Open Contracting Partnership strongly advances campaign infrastructure, information warfare resilience, and evidence-based decision-making through open data and cross-sectoral engagement, with moderat"
11,Atlas of Surveillance,https://atlasofsurveillance.org,80,5,"Atlas of Surveillance strongly advances civic data transparency and accountability around police technology, with robust campaign infrastructure, information warfare countermeasures, and participatory"
12,Ushahidi,https://www.ushahidi.com,79.8,24,"Ushahidi enables crowdsourced community organising and information warfare countermeasures through real-time reporting, scoring highly on C2 and C4 with strong cross-context transferability via intern"
13,Open Council Network,https://opencouncil.network,79.6,5,"Open Council Network robustly advances participatory democracy and transparency at the local level through open source tools and community-led governance, with strong evidence for campaign infrastruct"
14,mySociety Datasets and APIs,https://data.mysociety.org,79.4,5,"mySociety Datasets and APIs provide open, scalable, and evidence-based civic data infrastructure that supports participatory democracy, transparency, and international collaboration, with strong open "
15,CiviCRM,https://civicrm.org,79.2,24,"This mature open-source CRM shines in campaign infrastructure (C1), evidence-based decisions (C3), and global transferability (C6) for advocacy groups, with strong community aspects (C4); modifiers he"
16,Talk to the City,https://talktothecity.org,79,5,"Talk to the City demonstrates strong participatory democracy infrastructure, evidence-based deployment, and use by both citizens and marginalized groups, with modest progressive alignment, partial ope"
