rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
163,AlgorithmWatch,https://algorithmwatch.org,35.2,39.2,-4,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
164,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,35.2,39.2,-4,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
165,OA.Report,https://oa.report,35.2,41.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
166,Who Targets Me Trends,https://trends.whotargets.me,35.2,41.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
167,FixMyBlock,https://fixmyblock.org,34.5,27.5,7,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The explicit focus on communities excluded from traditional financial and governance systems earns a meaningful boost.
168,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,34.4,32.4,2,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
169,CiviClick,https://civiclick.com,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
170,CivicPress,https://civicpress.io/,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
171,Collaborative Data Patterns,https://collaborative-data.theodi.org,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
172,Granicus,https://granicus.com/uk,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
