rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
161,Fission Codes,https://github.com/fission-codes/fission-codes,40.4,28.4,12,0.75,LOW,LOW,modifier,"Fission Codes applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The on-chain or cryptographically verifiable component gets a meaningful boost from me — this is the rare case where 'programmable governance' isn't just a marketing claim."
162,arXiv,https://arxiv.org,40.2,40.2,0,0.83,LOW,HIGH,criteria,"arXiv covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: arXiv is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
163,Channel.org,https://channel.org,40.2,40.2,0,0.75,LOW,LOW,criteria,"Channel.org scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
164,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,40.2,40.2,0,1.0,LOW,LOW,criteria,Contracts for Data Collaboration covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
165,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,40.2,40.2,0,0.75,LOW,LOW,criteria,Consent-O-Matic covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
166,Journal of Open Source Software,https://joss.theoj.org,40.2,40.2,0,0.75,LOW,MEDIUM,criteria,Journal of Open Source Software covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
167,Mapped,https://mapped.commonknowledge.coop,40.2,40.2,0,0.75,LOW,LOW,criteria,"Mapped scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
168,OA.Works,https://oa.works/,40.2,40.2,0,1.0,LOW,MEDIUM,criteria,OA.Works covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
169,OpenBudgets.eu,https://openbudgets.eu,40.2,40.2,0,1.0,LOW,MEDIUM,criteria,"There's genuine transparency infrastructure in OpenBudgets.eu — the core function is making financial or resource flows visible and actionable, which aligns with my central conviction that budget transparency is a precondition for legitimate decision-making."
170,OSINT Framework,https://osintframework.com,40.2,40.2,0,0.75,LOW,MEDIUM,criteria,OSINT Framework covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
