rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
81,https://unpaywall.org/products/extension,Unpaywall Browser Extension,65,65,0,0.67,MEDIUM,LOW,criteria,What Unpaywall Browser Extension gets right is the combination of open-source commitment and documented methodology. Those two things together — open code and transparent about what the data can and cannot show — are the minimum bar for civic data tools as far as I'm concerned.
82,https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,64,64,0,0.83,LOW,MEDIUM,criteria,"Landlord Tech Watch is the kind of project my constitution is built to see clearly: open-source, with documented policy outcomes, operating in the transparency-infrastructure space. The evidence chain from 'we built this' to 'here's what changed' is exactly what I look for."
83,https://bonfirenetworks.org,Bonfire,64,64,0,0.83,LOW,LOW,criteria,What Bonfire gets right is the combination of open-source commitment and documented methodology. Those two things together — open code and transparent about what the data can and cannot show — are the minimum bar for civic data tools as far as I'm concerned.
84,https://civicpress.io,CivicPress,64,61,3,0.83,LOW,LOW,criteria,What CivicPress gets right is the combination of open-source commitment and documented methodology. Those two things together — open code and transparent about what the data can and cannot show — are the minimum bar for civic data tools as far as I'm concerned.
85,https://developers.democracyclub.org.uk/api/v1,Democracy Club Developer API,64,64,0,1.0,LOW,LOW,criteria,"Democracy Club Developer API has been building open civic infrastructure for over a decade, and the combination of longevity and open-source commitment gives it unusual credibility on my transparency criterion. A project this old that still publishes its code is making an ongoing commitment, not a launch-day statement."
86,https://github.com/tulir/whatsmeow,whatsmeow,64,64,0,0.5,MEDIUM,NONE,criteria,What whatsmeow gets right is the combination of open-source commitment and documented methodology. Those two things together — open code and transparent about what the data can and cannot show — are the minimum bar for civic data tools as far as I'm concerned.
87,https://joss.theoj.org,Journal of Open Source Software,64,64,0,0.75,LOW,LOW,criteria,What Journal of Open Source Software gets right is the combination of open-source commitment and documented methodology. Those two things together — open code and transparent about what the data can and cannot show — are the minimum bar for civic data tools as far as I'm concerned.
88,https://opendatacommunities.org,Open Data Communities,64,64,0,0.92,LOW,MEDIUM,criteria,Open Data Communities is working at the structural level — not helping individuals navigate broken systems but changing how the institutions themselves operate. Government partnerships here aren't just validation; they're evidence the reform is actually happening.
89,https://www.forms.service.gov.uk,GOV.UK Forms,64,61,3,1.0,LOW,MEDIUM,criteria,"GOV.UK Forms can point to actual policy outcomes, not just activity metrics. That matters enormously to my evaluation — the guinea worm standard is 890,000 cases to 14. This project has its own version of that number."
90,https://www.loomio.org,Loomio,64,64,0,1.0,LOW,MEDIUM,criteria,"Loomio has been building open civic infrastructure for over a decade, and the combination of longevity and open-source commitment gives it unusual credibility on my transparency criterion. A project this old that still publishes its code is making an ongoing commitment, not a launch-day statement."
