Rank,Project,URL,Score,Criteria,Mod Adj,Completeness,Uncertainty,Pop Risk,Primary Driver,Rationale
1,mySociety Datasets and APIs,https://data.mysociety.org,63.9,55.9,8,0.9,LOW,HIGH,modifier,"mySociety Datasets and APIs scores well on my criteria — particularly in civic engagement and open infrastructure — but I need to flag that its high score partly reflects excellent documentation. It is thoroughly documented in the dossier, which gives it a scoring advantage over equally worthy but less visible projects."
2,Open Council Network,https://opencouncil.network,61.9,53.9,8,0.9,LOW,MEDIUM,modifier,What I value about Open Council Network is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
3,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,58.9,55.9,3,1.0,LOW,HIGH,criteria,"Open Data Editor (ODE) scores well on my criteria — particularly in civic engagement and open infrastructure — but I need to flag that its high score partly reflects excellent documentation. It is thoroughly documented in the dossier, which gives it a scoring advantage over equally worthy but less visible projects."
4,PlaceCal,https://github.com/geeksforsocialchange/placecal,58.0,50.0,8,0.95,LOW,MEDIUM,modifier,What I value about PlaceCal is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
5,Alaveteli,https://alaveteli.org,57.9,53.9,4,0.9,LOW,MEDIUM,criteria,What I value about Alaveteli is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
6,CONSUL Democracy,https://consulproject.org,57.0,49.0,8,0.95,LOW,HIGH,modifier,"CONSUL Democracy scores well on my criteria — particularly in civic engagement and open infrastructure — but I need to flag that its high score partly reflects excellent documentation. It is thoroughly documented in the dossier, which gives it a scoring advantage over equally worthy but less visible projects."
7,adhocracy+,https://adhocracy.plus,56.0,48.0,8,0.95,LOW,MEDIUM,modifier,What I value about adhocracy+ is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
8,Citizen OS,https://citizenos.com/platform,56.0,52.0,4,0.9,LOW,MEDIUM,criteria,What I value about Citizen OS is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
9,Tech Coops List,https://tech-coops.xyz,56.0,48.0,8,0.95,LOW,MEDIUM,modifier,What I value about Tech Coops List is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
10,WhatGov,https://www.whatgov.co.uk,56.0,48.0,8,0.95,LOW,MEDIUM,modifier,What I value about WhatGov is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
11,CiviCRM,https://civicrm.org,55.1,47.1,8,0.9,LOW,MEDIUM,modifier,What I value about CiviCRM is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
12,Strike Map,https://strikemap.org,55.1,44.1,11,0.75,LOW,MEDIUM,modifier,What I value about Strike Map is its direct focus on enabling citizen participation. The dossier shows it working at the level where actual democratic decisions happen — not just talking about democracy but building tools people can use to practice it.
13,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,54.1,43.1,11,0.95,LOW,MEDIUM,modifier,Sugartrail gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
14,Polis,https://github.com/compdemocracy/polis,53.1,45.1,8,0.9,LOW,HIGH,modifier,Polis gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
15,Populate Tools,https://github.com/populatetools,53.1,45.1,8,0.95,LOW,MEDIUM,modifier,Populate Tools gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
16,LiquidFeedback,https://liquidfeedback.com,53.1,45.1,8,0.9,LOW,MEDIUM,modifier,LiquidFeedback gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
17,PolicyEngine,https://policyengine.org/uk,53.1,45.1,8,0.9,LOW,MEDIUM,modifier,PolicyEngine gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
18,Mastodon C,https://www.mastodonc.com,53.1,45.1,8,0.9,LOW,HIGH,modifier,Mastodon C gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
19,Decidim,https://decidim.org,52.1,44.1,8,0.95,LOW,HIGH,modifier,Decidim gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
20,ОПОРА (Opora),https://www.oporaua.org,51.3,37.3,14,0.9,LOW,MEDIUM,modifier,ОПОРА (Opora) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
21,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,51.1,47.1,4,0.9,LOW,HIGH,criteria,Stanford Participatory Budgeting Platform gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
