rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Interoperable Deliberative Tools,https://metagov.org/projects/interop,82.0,62.0,20,0.86,LOW,LOW,modifier,"Deployed across United States, International, Interoperable Deliberative Tools has proven it can operate in multiple regulatory and cultural contexts, which is a meaningful test of robustness. Modifiers (+20) did the heavy lifting in the final score; its open-infrastructure and governance bonuses outweighed moderate raw criteria performance. I would actively advocate for this in any serious discussion of impactful civic technology."
2,mySociety Datasets and APIs,https://data.mysociety.org,69.0,61.0,8,0.86,LOW,HIGH,criteria,"mySociety Datasets and APIs touches AI directly -- limited; primarily used for data processing and api optimization, not core functionality -- placing it squarely in the territory where my interpretability research tells me careful governance matters most. Criteria drove this ranking (61.0), with particularly strong performance on open infrastructure and evidence-based impact -- the two dimensions I scrutinize most. The high popularity risk means I have been especially rigorous in separating documented evidence from reputation; a well-known name should earn its score on substance."
3,Open Digital Planning,https://opendigitalplanning.org,68.9,56.9,12,0.86,LOW,LOW,criteria,"Open Digital Planning claims documented policy outcomes including {'description': 'planx and bops deployed by 100+ local planning authorities across england, cutting planning application processing times by approximately 30% per application', 'link': 'https://opendigitalplanning.org/products', 'year': 2024}, {'description': '171 local planning authorities now publishing planning data on the planning data platform via the digital planning improvement fund', 'link': 'https://opendigitalplanning.org/insights', 'year': 2025}, giving me something concrete to evaluate rather than aspirational promises. At 56.9 on criteria, this project earned its rank through demonstrated commitment to open design, accountable governance, and real deployment beyond pilot stage. The evidence here is strong enough that I hold this ranking with high confidence."
4,AlgorithmWatch,https://algorithmwatch.org,67.7,55.7,12,0.86,LOW,LOW,criteria,"Government adoption by {'partner': 'Federal Ministry of Education and Research (BMBF)', 'nature': 'funding (DataSkop, SustAIn projects)', 'country': 'Germany'}, {'partner': 'Federal Ministry for the Environment (BMUV)', 'nature': 'funding', 'country': 'Germany'}, {'partner': 'German Digital Services Coordinator (DSC)', 'nature': 'advisory council membership (Matthias Spielkamp, elected by Bundestag)', 'country': 'Germany'} gives AlgorithmWatch a credibility signal that most civic tech projects lack -- I know from my Coefficient.ai work how hard that adoption barrier is. The 55.7 criteria score is the main story -- this project performs well on participatory governance and safety-aware design, which are my top-weighted evaluation dimensions. It passes the test I apply most stringently: would I trust this infrastructure in a high-stakes governance context?"
5,Open Ownership,https://www.openownership.org,67.3,55.3,12,0.86,LOW,LOW,criteria,"Open Ownership -- driving global shift towards transparency and accountability in corporate ownership and control -- is the kind of project I evaluate by asking whether its technical choices reflect the safety-first and open-by-default principles I apply at Coefficient.ai. Scoring 55.3 on criteria, it excels at the intersection of public benefit, open design, and responsible technology deployment that I consider the gold standard. This project represents what I think responsible political technology looks like when it is done well."
6,Modular Politics,https://arxiv.org/abs/2005.13701,67.0,59.0,8,0.86,LOW,HIGH,criteria,"Modular Politics -- a governance layer framework for building composable, modular online community governance systems -- is the kind of project I evaluate by asking whether its technical choices reflect the safety-first and open-by-default principles I apply at Coefficient.ai. Its 59.0 criteria score reflects strong evidence of real democratic impact and technical openness -- the combination I weight most in my evaluation framework. This carries high popularity risk -- it is well-known enough that name recognition could inflate perceived impact, so I have grounded my score in documented outcomes and technical architecture."
7,Open Standards for Data Guidebook,https://standards.theodi.org,65.8,59.8,6,0.86,LOW,HIGH,criteria,"Open Standards for Data Guidebook -- helping people and organisations create, develop and adopt open standards for data -- is the kind of project I evaluate by asking whether its technical choices reflect the safety-first and open-by-default principles I apply at Coefficient.ai. Strong criteria performance (59.8) was the primary driver -- high marks for participatory design, verifiable impact, and the sort of safety-conscious deployment I advocate for in public AI. The high popularity risk means I have been especially rigorous in separating documented evidence from reputation; a well-known name should earn its score on substance."
8,Open Supply Hub,https://opensupplyhub.org,64.5,57.5,7,0.86,LOW,LOW,criteria,"Open Supply Hub publicly acknowledges its limitations (data quality varies by region, reliance on voluntary corporate participation, limited coverage in developing supply chain regions), a practice I consider essential for responsible technology deployment. The criteria score of 57.5 reflects excellent alignment with what I look for: open technical architecture, measurable democratic outcomes, and attention to systemic risk. It does useful work in the civic technology space and earns a mid-range position without either strong controversy or standout excellence on my criteria."
9,Parliament Watch Uganda,https://parliamentwatch.ug,64.5,57.5,7,0.86,LOW,HIGH,criteria,"Parliament Watch Uganda -- monitor and track the ugandan parliament with data and expert insights on transparency and accountability -- is the kind of project I evaluate by asking whether its technical choices reflect the safety-first and open-by-default principles I apply at Coefficient.ai. Criteria drove this ranking (57.5), with particularly strong performance on open infrastructure and evidence-based impact -- the two dimensions I scrutinize most. High popularity risk is a factor I have compensated for -- the brand is strong, but my score reflects what the dossier evidence actually substantiates."
10,ShineYourEye,https://www.shineyoureye.org,63.5,43.5,20,0.86,LOW,LOW,modifier,"The foundation governance model at ShineYourEye tells me whether decisions about civic infrastructure are accountable -- and that governance-level analysis is where I start my evaluation. A substantial modifier adjustment (+20) reflects that this project's structural commitments to openness and accountable governance punch above its criteria-level performance. It holds a respectable position in my ranking, though I would look for stronger safety-awareness or open-governance practices to move it higher."
11,OpenSanctions,https://www.opensanctions.org,62.8,50.8,12,0.86,LOW,HIGH,criteria,"Recent commits (last: 2026-03-08) show OpenSanctions is actively maintained, which matters enormously for any project I would endorse as production-grade civic infrastructure. At 50.8 on criteria, it demonstrates practical civic utility without the additional safety-first or open-by-default qualities that distinguish the top-ranked projects in my framework. This carries high popularity risk -- it is well-known enough that name recognition could inflate perceived impact, so I have grounded my score in documented outcomes and technical architecture."
