rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://upgrader.gapminder.org,Gapminder Worldview Upgrader,100,83,17,1.0,LOW,LOW,modifier,"Founded in 2005 and funded by IKEA Foundation, Gapminder Worldview Upgrader has institutional stability alongside genuine transparency — open-source, foundation governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its web application, quiz / interactive tool. Score breakdown: criteria 83, modifier 17."
2,https://bellingcat.gitbook.io/toolkit,Bellingcat Online Investigation Toolkit,90,80,10,0.83,LOW,HIGH,criteria,"Documented impact — MH17 investigation tracked the Buk missile launcher to Russia's 53rd Air Defence — is what separates Bellingcat Online Investigation Toolkit from projects that merely promise evidence legibility. It serves investigative journalists, fact-checkers, human rights researchers, grounding the evidence work in real constituencies. Modifier adjustment of +10 reflects open-source infrastructure and research translation."
3,https://github.com/disarmfoundation/disarmframeworks,DISARM Frameworks,89,79,10,1.0,LOW,LOW,criteria,"I rank DISARM Frameworks highly because it serves disinformation researchers, government counter-influence units, NATO with documented outcomes: Tested in trials with NATO disinformation units. The criteria score of 79 reflects strong alignment across evidence legibility and methodological transparency. The modifier boost of +10 comes from open-source governance and research translation."
4,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,Political Advertising Transparency Data Standard,86,76,10,1.0,LOW,LOW,criteria,"Documented impact — Influenced EU Digital Services Act transparency requirements — is what separates Political Advertising Transparency Data Standard from projects that merely promise evidence legibility. It serves journalists, researchers, advertising platforms, grounding the evidence work in real constituencies. Modifier adjustment of +10 reflects open-source infrastructure and research translation."
5,https://github.com/travisbrown/birdwatch,Community Notes (Birdwatch) Analysis Tool,82,69,13,0.92,LOW,MEDIUM,criteria,"Community Notes (Birdwatch) Analysis Tool publishes how it measures success (not applicable), which is exactly the methodological transparency my constitution demands. It serves researchers, journalists, fact-checkers, grounding the evidence work in real constituencies. Modifier adjustment of +13 reflects open-source infrastructure and research translation."
6,https://aleph.occrp.org,Aleph (OCCRP),80,73,7,0.92,LOW,HIGH,criteria,"Founded in 2014 and funded by USAID (~50% of OCCRP budget), US National Endowment for Democracy, Aleph (OCCRP) has institutional stability alongside genuine transparency — open-source, foundation governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its platform, api, database. Score breakdown: criteria 73, modifier 7."
7,https://github.com/mastodon/mastodon,Mastodon,80,71,9,1.0,LOW,HIGH,criteria,"Founded in 2016 and funded by Patreon community, Mastodon Inc (501c3 US entity), Mastodon has institutional stability alongside genuine transparency — open-source, foundation governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its web app, mobile app, API. Score breakdown: criteria 71, modifier 9."
8,https://github.com/huridocs,HURIDOCS,79,72,7,1.0,LOW,MEDIUM,criteria,What convinces me about HURIDOCS is that it publishes methodology (Case studies and user testimonials from partner organizations; documen) and has documented impact: HURIDOCS Events Standard Formats (1993) became the methodology base for human rights viola. That combination — transparent methods plus real-world outcomes — hits both my high-weight criteria simultaneously. The +7 modifier boost reflects its open-source infrastructure.
9,https://globalfactcheck.bot,Global Fact-Check Bot (GFC),79,59,20,0.83,LOW,MEDIUM,modifier,"Founded in 2024 and funded by IFCN (International Fact-Checking Network / Poynter Institute), EFCSN (European Fact-Checking Standards Network), Global Fact-Check Bot (GFC) has institutional stability alongside genuine transparency — not open-source, Consortium governance by 38 founding member organizations; governed exclusively by professional fact-checkers governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its chatbot, web platform, embeddable widget. Score breakdown: criteria 59, modifier 20."
10,https://okfn.org/en/projects/open-data-editor,Open Data Editor (ODE),79,79,0,1.0,LOW,HIGH,criteria,"Government adoption is the concrete signal here: Zagreb city government. Open Data Editor (ODE) is not just proposing evidence legibility — it is delivering it to institutional decision-makers, which is exactly the use case my constitution privileges."
11,https://data.mysociety.org,mySociety Datasets and APIs,78,71,7,1.0,LOW,HIGH,criteria,"Documented impact — Influenced UK Freedom of Information Act implementation — is what separates mySociety Datasets and APIs from projects that merely promise evidence legibility. It serves researchers, journalists, citizens, grounding the evidence work in real constituencies. Modifier adjustment of +7 reflects open-source infrastructure and research translation."
12,https://opensupplyhub.org,Open Supply Hub,78,71,7,1.0,LOW,LOW,criteria,"Open Supply Hub has external validation (Tech for Good Award 2020) that corroborates the dossier evidence — it is not just self-reported impact. On my criteria, evidence legibility and methodological transparency both score well: open-source with 127 stars, serving researchers, advocacy organizations, supply chain stakeholders, addressing civic data, advocacy tech. Net modifier: +7."
13,https://www.campaigntracker.nl/en,Campaign Tracker,78,68,10,1.0,LOW,LOW,criteria,"Documented impact — Increased transparency requirements for political advertising in Dutch electoral — is what separates Campaign Tracker from projects that merely promise evidence legibility. It serves journalists, researchers, citizens, grounding the evidence work in real constituencies. Modifier adjustment of +10 reflects open-source infrastructure and research translation."
14,https://getodk.org,ODK (Open Data Kit),77,77,0,1.0,LOW,MEDIUM,criteria,"ODK (Open Data Kit) has external validation (Recognition as leading open-source civic tech tool) that corroborates the dossier evidence — it is not just self-reported impact. On my criteria, evidence legibility and methodological transparency both score well: open-source with 1900 stars, serving researchers, NGOs, government agencies, addressing civic data, govtech."
15,https://participedia.net,Participedia,77,70,7,0.92,LOW,MEDIUM,criteria,"Founded in 2009 and funded by Social Sciences and Humanities Research Council of Canada (SSHRC), Canada Research Chairs Program, Participedia has institutional stability alongside genuine transparency — open-source, Academic co-governance led by McMaster University, Simon Fraser University, Harvard University, and University of British Columbia; 63 researchers from 22 universities across 12 countries in Phase 2 governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its web platform, database, open access research tool. Score breakdown: criteria 70, modifier 7."
16,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,Framework for Meaningful Engagement 2.0,76,71,5,0.92,LOW,MEDIUM,criteria,What convinces me about Framework for Meaningful Engagement 2.0 is that it publishes methodology (Case study documentation; pilot implementation tracking) and has documented impact: Adoption by Amsterdam city government for AI governance. That combination — transparent methods plus real-world outcomes — hits both my high-weight criteria simultaneously. The +5 modifier boost reflects its open-source infrastructure.
17,https://securedrop.org,SecureDrop,76,69,7,0.92,LOW,MEDIUM,criteria,"Documented impact — Adoption by major news organizations for source protection — is what separates SecureDrop from projects that merely promise evidence legibility. It serves journalists, media organizations, NGOs, grounding the evidence work in real constituencies. Modifier adjustment of +7 reflects open-source infrastructure and research translation."
18,https://trends.whotargets.me,Who Targets Me Trends,75,65,10,0.92,LOW,LOW,criteria,"Founded in 2018 and funded by Mozilla Foundation, Omidyar Network, Who Targets Me Trends has institutional stability alongside genuine transparency — not open-source, foundation governance. My highest-weight criteria (evidence legibility and methodological transparency) are both well-served by its platform, database, api. Score breakdown: criteria 65, modifier 10."
19,https://alaveteli.org,Alaveteli,73,73,0,1.0,LOW,HIGH,criteria,"As a tool/platform, Alaveteli reaches citizens, journalists, researchers. That audience-delivery pairing partially matches my evidence-legibility focus — I care about how information reaches non-specialists. But methodology transparency is only moderately demonstrated."
20,https://ckan.org,CKAN,73,73,0,1.0,LOW,HIGH,criteria,CKAN operates under foundation governance with genuinely open-source code — that combination satisfies criteria 3 (open data/infrastructure) and 8 (participatory accountability). The remaining gap is on evidence legibility: it does not yet have the visual evidence-communication layer that my constitution prioritises most.
21,https://constituteproject.org,Constitute Project,73,66,7,1.0,LOW,LOW,criteria,"Deployed across Chile, Algeria, United States, Constitute Project has the cross-jurisdictional footprint that activates my global development criterion (C7). Its database, platform, api partially serves evidence communication, though I would need stronger visualisation to push it higher."
22,https://github.com/compdemocracy/polis,Polis,73,73,0,1.0,LOW,HIGH,criteria,"Polis does credible work (on deliberative democracy, civic participation, public consulta) but lands in my middle tier because the alignment with evidence legibility and methodological transparency is partial rather than direct."
23,https://liquidfeedback.com,LiquidFeedback,73,73,0,1.0,LOW,MEDIUM,criteria,"Institutional adoption by Horizon 2020 WeGovNow and CO3 projects tells me LiquidFeedback is not just a prototype. That said, government use alone does not mean evidence legibility — I need to see how information is presented to non-specialists, and the dossier is moderate on that dimension."
24,https://logos.co,Logos,73,70,3,0.83,LOW,MEDIUM,criteria,"I score Logos at 73 because its work on digital rights, participatory democracy, emerging tech partially aligns with my evidence-legibility criteria, but does not reach the top tier. The criteria-modifier split is 70/3."
25,https://matrix.org,Matrix,73,73,0,1.0,LOW,HIGH,criteria,"Matrix does credible work (on decentralised communications, digital rights, secure messagi) but lands in my middle tier because the alignment with evidence legibility and methodological transparency is partial rather than direct."
26,https://onodi.co/bisect,Theft Bisect,73,70,3,0.92,LOW,MEDIUM,criteria,"Open-source and focused on advocacy tech, civic data — Theft Bisect checks two of my constitutional boxes. But the gap to the top tier is about evidence legibility: I need to see how the project communicates findings to non-specialists, and the dossier is rich on that."
27,https://www.openownership.org,Open Ownership,73,66,7,1.0,LOW,LOW,criteria,"I find Open Ownership credible specifically because it can point to documented policy outcomes rather than just aspirational language. The guinea worm standard: 890,000 to 14 — show me the number. This project has numbers. The geographic alignment is genuinely good — the problem geography and the deployment geography match."
28,https://www.opensanctions.org,OpenSanctions,73,73,0,1.0,LOW,LOW,criteria,"An open codebase with 1200 stars (2026-03-08 last commit) grounds OpenSanctions's transparency score — the code is real, the methodology is inspectable. What keeps it from the top is the absence of a strong visualisation layer — my modifier cannot boost it further."
29,https://datacollective.mozillafoundation.org,Mozilla Data Collective,72,62,10,0.83,LOW,HIGH,criteria,"I score Mozilla Data Collective at 72 because its work on civic data, emerging tech, digital rights partially aligns with my evidence-legibility criteria, but does not reach the top tier. The criteria-modifier split is 62/10."
30,https://opendigitalplanning.org,Open Digital Planning,72,72,0,1.0,LOW,MEDIUM,criteria,"As a method, Open Digital Planning reaches local planning authorities, council planning officers, residents. That audience-delivery pairing partially matches my evidence-legibility focus — I care about how information reaches non-specialists. But methodology transparency is only moderately demonstrated."
31,https://www.globaleaks.org,GlobaLeaks,72,65,7,1.0,LOW,MEDIUM,criteria,"Deployed across 150+, GlobaLeaks has the cross-jurisdictional footprint that activates my global development criterion (C7). Its platform, api partially serves evidence communication, though I would need stronger visualisation to push it higher."
32,https://www.oporaua.org,ОПОРА (Opora),72,60,12,1.0,LOW,MEDIUM,criteria,"""Ukrainian civic network for election monitoring, democratic integrity, and "" — ОПОРА (Opora) describes exactly the kind of work I value, and the dossier partially backs it up. No visualisation layer visible — my modifier 1 cannot apply. Popularity risk MEDIUM noted."
33,https://communityrule.info,CommunityRule,71,71,0,1.0,LOW,LOW,criteria,"As a tool/platform, CommunityRule reaches community organizers, online communities, governance practitioners. That audience-delivery pairing partially matches my evidence-legibility focus — I care about how information reaches non-specialists. But methodology transparency is only moderately demonstrated."
34,https://github.com/ribenamaplesyrup/sugartrail,Sugartrail,71,66,5,0.83,LOW,MEDIUM,criteria,"""Network analysis and visualisation tool for exploring connections between c"" — Sugartrail describes exactly the kind of work I value, and the dossier partially backs it up. No visualisation layer visible — my modifier 1 cannot apply. Popularity risk MEDIUM noted."
35,https://github.com/sentinelteam/grim,GRIM (Global Risk Simulator),71,61,10,0.83,LOW,MEDIUM,criteria,"Founded 2025 with donations, grants funding, GRIM (Global Risk Simulator) has operational durability. My criteria score of 61 reflectsstrong evidence legibility alignment — the Telegram bot, command-line tool format helps. Modifier adjustment: +10."
36,https://p4ai.net,Principles for Public Participation in Procurement of AI,71,71,0,0.83,LOW,LOW,criteria,"""Framework for public participation in AI procurement decisions"" — Principles for Public Participation in Procurement of AI describes exactly the kind of work I value, and the dossier partially backs it up. No visualisation layer visible — my modifier 1 cannot apply."
37,https://policyengine.org/uk,PolicyEngine,71,71,0,1.0,LOW,LOW,criteria,"The political relevance of PolicyEngine is clear: Addresses civic data access and policy transparency by providing open-source tools to simu. My constitution cares about evidence legibility in political contexts, and this project delivers on that, though not quite at the level of the top tier."
38,https://standards.theodi.org,Open Standards for Data Guidebook,71,71,0,1.0,LOW,LOW,criteria,"Active since 2018 with international scope, Open Standards for Data Guidebook has longevity and reach. My criteria score of 71 captures moderate evidence legibility — there is something here, but not the kind of interactive, methodologically transparent evidence communication that tops my list."
39,https://adhocracy.plus,adhocracy+,70,70,0,1.0,LOW,MEDIUM,criteria,"Deployed across Germany, Austria, Switzerland, adhocracy+ has the cross-jurisdictional footprint that activates my global development criterion (C7). Its platform partially serves evidence communication, though I would need stronger visualisation to push it higher."
40,https://consulproject.org,CONSUL Democracy,70,70,0,1.0,LOW,HIGH,criteria,"Serving municipal governments, civil society organizations, citizens gives CONSUL Democracy a constituency grounding that my constitution values — evidence legibility matters most when it reaches non-specialist audiences. Criteria score 70 with modifier +0."
41,https://cybersecurityfordemocracy.org,Cybersecurity for Democracy,70,70,0,1.0,LOW,LOW,criteria,"The political relevance of Cybersecurity for Democracy is clear: Addresses challenges in digital rights infrastructure by serving Researchers, Policymakers. My constitution cares about evidence legibility in political contexts, and this project delivers on that, though not quite at the level of the top tier."
42,https://decidim.org,Decidim,70,70,0,1.0,LOW,HIGH,criteria,"I score Decidim at 70 because its work on participatory democracy, govtech partially aligns with my evidence-legibility criteria, but does not reach the top tier. The criteria-modifier split is 70/0."
43,https://expo.diia.gov.ua,Diia,70,70,0,1.0,LOW,LOW,criteria,"I see potential in Diia — govtech, digital rights — but the dossier evidence does not clearly demonstrate the evidence legibility or open methodology that my constitution weights most heavily. Score: 70 criteria + +0 modifier = 70."
44,https://opencouncil.network,Open Council Network,70,70,0,1.0,LOW,LOW,criteria,Open Council Network operates under Community-led with advisory board governance with genuinely open-source code — that combination satisfies criteria 3 (open data/infrastructure) and 8 (participatory accountability). The remaining gap is on evidence legibility: it does not yet have the visual evidence-communication layer that my constitution prioritises most.
45,https://openreferraluk.org,Open Referral UK,70,70,0,1.0,LOW,LOW,criteria,"Deployed across United Kingdom, Open Referral UK has the cross-jurisdictional footprint that activates my global development criterion (C7). Its data standard, API specification, validator tool partially serves evidence communication, though I would need stronger visualisation to push it higher."
46,https://publicai.co,Public AI Inference Utility,70,67,3,0.92,LOW,MEDIUM,criteria,"Institutional adoption by Swiss AI tells me Public AI Inference Utility is not just a prototype. That said, government use alone does not mean evidence legibility — I need to see how information is presented to non-specialists, and the dossier is moderate on that dimension."
47,https://sourceafrica.net,sourceAFRICA,70,70,0,0.83,LOW,LOW,criteria,"Serving investigative journalists, civil society organisations, watchdog NGOs gives sourceAFRICA a constituency grounding that my constitution values — evidence legibility matters most when it reaches non-specialist audiences. Criteria score 70 with modifier +0."
48,https://guardianproject.info,Guardian Project,69,62,7,0.92,LOW,MEDIUM,criteria,"Open-source and focused on digital security, privacy, freedom of expression — Guardian Project checks two of my constitutional boxes. But the gap to the top tier is about evidence legibility: I need to see how the project communicates findings to non-specialists, and the dossier is rich on that."
49,https://openbudgets.eu,OpenBudgets.eu,69,64,5,1.0,LOW,LOW,criteria,"OpenBudgets.eu scores reasonably across my criteria, strongest on methodological transparency. The evidence base is adequate but what exists points in the direction I'd want."
50,https://osf.io,Open Science Framework,69,69,0,0.92,LOW,MEDIUM,criteria,"Serving researchers, academics, scientists gives Open Science Framework a constituency grounding that my constitution values — evidence legibility matters most when it reaches non-specialist audiences. Criteria score 69 with modifier +0."
51,https://secfirst.org,Security First / Umbrella,69,69,0,0.92,LOW,LOW,criteria,"""Free, open source digital and physical security handbook app for journalist"" — Security First / Umbrella describes exactly the kind of work I value, and the dossier partially backs it up. No visualisation layer visible — my modifier 1 cannot apply."
52,https://whopostedwhat.com,Who Posted What?,69,59,10,0.75,LOW,LOW,criteria,"At 69 points, Who Posted What? sits in the middle tier. Its civic data, media journalism, disinformation orientation gives it partial alignment with my criteria, but I cannot find strong evidence of the methodological transparency or visualisation quality that would push it higher."
53,https://www.whatdotheyknow.com,WhatDoTheyKnow,69,69,0,1.0,LOW,MEDIUM,criteria,"The political relevance of WhatDoTheyKnow is clear: WhatDoTheyKnow addresses government technology and public service delivery. Make freedom o. My constitution cares about evidence legibility in political contexts, and this project delivers on that, though not quite at the level of the top tier."
