rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
163,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,50.0,50.0,0.0,0.55,MEDIUM,none,modifier,A dummy parliamentary bill that collects and explains speedbumps for government software development is a genuinely original contribution to the institutional-response-to-technology-change space I care about. The Scottish Government partnership gives real institutional grounding. The policymaker advisory framing earns Modifier 5. But it is a single-author project with limited ongoing maintenance and primarily Scottish context. The concept punches above its deployment weight. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens.
164,GOV.UK One Login,https://www.sign-in.service.gov.uk,50.0,50,0.0,0.65,MEDIUM,low,criteria,"Centralised digital identity for UK government services with disparity tracking and documented accessibility challenges. GDS-built infrastructure that reduces duplicate verification across agencies scores well on C2. The honest documentation of digital divide effects on elderly and disabled citizens is a genuine C3 complexity acknowledgment. But this is identity verification infrastructure -- it touches C5 (autonomy) ambiguously, as centralised identity can both enable and constrain. UK-only, partial open-source, no AI safety dimension despite biometric potential. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
165,Organise,https://www.organise.org.uk,50.0,42,8.0,0.65,MEDIUM,none,modifier,"100,000+ members influencing the UK Employment Rights Bill and documented wins like G4S equal pay and Ted Baker CEO resignation demonstrate real-world policy impact. C5 scores well for worker autonomy protection. The 25 million+ member actions metric shows C6 scale. But the methodology is self-reported campaign wins with anecdotal causation -- C3 cannot score highly without more rigorous evidence. UK-only, closed-source, and the broadly left-leaning framing is honestly acknowledged but limits C3's epistemic neutrality expectation. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
166,UrbanistAI,https://site.urbanistai.com,50.0,50.0,0.0,0.50,MEDIUM,none,criteria,"Generative AI for participatory urban planning with a City of Zurich deployment -- the concept is compelling. But the dossier explicitly flags no published independent evaluation, limited AI transparency, and no public case study data. For a project deploying AI in civic planning contexts, the absence of documented safety methodology and bias mitigation is a C1 concern. M4 applies weakly for potential naive optimisation without system-level consideration. C2 scores for the government deployment but is limited by transparency gaps. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
167,Activist Handbook,https://activisthandbook.org/,49.2,39.2,10.0,0.45,MEDIUM,none,modifier,"A wiki-style resource for activists with decent international reach across six countries, but no government engagement and no documented policy outcomes. My constitution rewards institutional infrastructure over movement handbooks -- C2 and C6 drive the score down. The cooperation angle (C4) is its strongest suit, but thin evidence limits what I can credit. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
168,All Our Ideas,https://all-our-ideas.citizens.is,49.2,39.2,10.0,0.3,HIGH,none,modifier,"The homepage returned only 3 words of content, and the dossier is extremely thin -- 19 pass5 words, no documented outcomes, no academic citations. Iceland participatory budgeting is mentioned but not evidenced. Without substantive evidence I cannot credit this highly under any criterion. Low completeness drags every score down. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
169,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,49.2,41.2,8.0,0.45,MEDIUM,none,modifier,"Mapping surveillance technology deployed by landlords is directly relevant to C5 -- protecting autonomy and community against corporate power. The academic citation on landlord tech (33 citations, 2024) suggests scholarly recognition. But deployment is US-only, no government partnerships, and the page requires JavaScript to even render. Limited institutional maturity keeps C6 low. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
170,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,49.1,46.1,3.0,0.5,MEDIUM,none,criteria,"An AI wargamer and global risk simulator using Claude and OpenAI models for catastrophic risk scenario simulation is conceptually relevant to my interest in AI for institutional decision-making and complexity modeling. The documented limitations are honest -- realism limited by LLM quality, expert agents not yet built, early prototype. But this is a Telegram bot with no institutional deployment, no government partnerships, and no evidence of use by the emergency response planners it targets. Modifier 3 for failure mode documentation applies weakly. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
171,Shareyourpaper.org,https://shareyourpaper.org,49.1,46.1,3.0,0.35,HIGH,none,criteria,"The simplest way to legally share academic papers -- a focused tool with clear utility for open access. Open-source and internationally scoped. But the dossier is thin: no government partnerships, no policy outcomes, no documented limitations. The OA.Works connection (same ecosystem) gives some credibility, but on its own the evidence base is insufficient for high scores. Open-source boost applies. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
172,Mastodon C,https://www.mastodonc.com,49.0,42,7.0,0.55,MEDIUM,none,criteria,"A data analytics firm working with UK government on open data projects and contributing to EU data governance frameworks -- this directly serves C2. AI involvement, government partnerships, and decade-plus operation are positive. Modifier 5 applies for policymaker advisory tools. But the dossier notes limited transparency on proprietary analytics methods, which creates tension with C3's demand for epistemic honesty. The dependency on government contract renewals is an acknowledged vulnerability. Partial open-source with correlated causation strength. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
