project_url,project_name,criterion,evidence_field,evidence_value,interpretation,score,max_score,justification
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C1,movement_building_utility,direct_organizer_tool; scraped_description names proptech disempowering tenants,Names specific power asymmetry (landlord tech vs tenants) and provides tools for contestation — formal mechanism for challenging landlord power,10,12,Explicitly names and documents the power mechanism (proptech) disempowering tenants; enables formal contestation; high C1 but no legislative mechanism keeps from max
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C2,communities_served,tenants; housing advocates; disparity_tracking=true; primary_users include social housing tenants,Specific named populations (social housing tenants/tower block residents) with specific named exclusion mechanism (landlord/proptech algorithmic systems) — highest C2 band,18,20,Two requirements for top band met: specific named populations + named exclusion mechanism; community-produced documentation maps exact harm mechanism
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C3,community_ownership,true; Anti-Eviction Mapping Project = community-produced; policy_outcomes include tenant action plan,Community-produced tool with documented deployment and policy outcomes — one strong stage genuinely engaged,7,12,Community-owned production by AEMP is genuine participatory engagement; policy outcomes (tenant action plan) document use; limited evidence of multi-stage co-design process
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C4,disparity_tracking,true; systemic_issue_area=housing justice; examines landlord tech surveillance impacts on tenants,Examines power relations in subject matter with disparity tracking — upper-medium C4; explicit analysis of how technology reproduces housing power asymmetry,12,20,Disparity tracking + detailed power analysis of landlord tech = strong C4; does not fully examine own design for power reproduction but subject matter analysis is substantive
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C5,underdog_signal,true; community_ownership=true; thin dossier relative to impact; no major foundation backing named,Grassroots community project with underdog signal and limited institutional capacity — medium-high C5,5,6,Anti-Eviction Mapping Project is community-based; underdog_signal=true; strong C5 but some institutional support reduces from max
https://antievictionmappingproject.github.io/landlordtech,Landlord Tech Watch,C6,governance_model,community_ownership=true; policy_outcomes=tenant action plan + deployment map; direct organizer tool,Enables tenant organizing and advocacy; community-owned tool = involves level of IAP2 spectrum,5,12,Enables communities to organise and challenge landlords = "involves/consults"; not binding governance mechanism so C6 is moderate
https://datatrusts.uk,Data Trusts Initiative,C1,governance_model,data trusts as formal mechanism for community data governance; pilot programs documented,Formal mechanism for structural redistribution of data governance power to communities — high C1,8,12,Data trusts provide formal legal mechanism for communities to control data; substantively redistributes decision-making authority; pilots documented with real communities
https://datatrusts.uk,Data Trusts Initiative,C2,communities_served,NHS patients; coastal communities; birth cohort participants; data rights holders,Highly specific named populations with specific named exclusion mechanism (lack of formal data governance) — near-highest C2 band,13,20,Named populations are specific (not generic "citizens") and named exclusion mechanism (data rights holders without governance framework) is identified; strong but not maximal specificity of mechanism
https://datatrusts.uk,Data Trusts Initiative,C3,contributor_governance,pilot programs with specific communities; academic partnership; communities involved in pilot design,Documented community engagement in pilot design phase — one to two genuine lifecycle stages,7,12,Pilot programs with specific named communities (NHS patients etc.) document genuine participatory engagement; limited evidence of multi-stage full lifecycle co-design
https://datatrusts.uk,Data Trusts Initiative,C4,documented_limitations,legal frameworks underspecified; small-scale pilots; developed economies focus acknowledged,Honest limitation documentation including scale and scope — medium-high C4,9,20,Documents limitations honestly including legal underspecification and scale constraints; some self-examination of power dynamics in data governance; does not fully examine own institutional power reproduction
https://datatrusts.uk,Data Trusts Initiative,C5,known_funders,Patrick McGovern Foundation; Cambridge academic hosting,Academic/foundation backing — moderate C5; not grassroots but Cambridge academic project is not major institutional power broker,3,6,Cambridge University/Patrick McGovern = established academic-foundation context; not grassroots but not major government or corporate backing
