rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
1,Organise,https://www.organise.org.uk,42.4,47.9,-5.6,0.55,MEDIUM,LOW,c3,18,6,23,4,2,14,2,Organise: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
2,RightDD,https://www.rightsdd.com,42.4,45.8,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,18,5,RightDD: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
3,User Research Library,https://research.localgov.digital,42.4,42.4,0.0,0.64,LOW,LOW,c3,15,2,19,4,4,14,3,User Research Library: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
4,Viewpoints,https://viewpoints.xyz,42.4,45.8,-3.5,0.64,LOW,LOW,c3,19,2,20,4,2,14,5,Viewpoints: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
5,DoNotPay,https://www.donotpay.com,41.7,47.2,-5.6,0.73,LOW,LOW,c6,15,10,16,4,2,18,3,DoNotPay: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
6,Kialo,https://kialo.com,41.0,46.5,-5.6,0.55,MEDIUM,LOW,c3,15,6,20,4,2,14,6,Kialo: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
7,Plausible Analytics,https://plausible.io,41.0,44.4,-3.5,0.82,LOW,HIGH,c1,16,15,10,4,2,14,3,Plausible Analytics: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
8,Turbo Phonebank,https://turbophonebank.com,41.0,44.4,-3.5,0.55,MEDIUM,LOW,c3,19,2,20,4,2,14,3,Turbo Phonebank: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
9,CiviClick,https://civiclick.com,40.3,45.8,-5.6,0.55,MEDIUM,LOW,c3,18,2,23,4,2,15,2,CiviClick: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
10,MyActionCenter,https://www.myaction.center,40.3,43.8,-3.5,0.55,MEDIUM,LOW,c3,16,2,20,4,2,14,5,MyActionCenter: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
11,Nestr,https://nestr.io,40.3,43.8,-3.5,0.45,MEDIUM,LOW,c3,16,2,20,4,2,14,5,Nestr: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
12,Nyaaya,https://nyaaya.org,40.3,45.8,-5.6,0.82,LOW,HIGH,c1,18,11,13,4,3,14,3,Nyaaya: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 18/30 pts is the criteria driver.
13,Open Letter,https://openletter.earth,40.3,45.8,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,14,6,Open Letter: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
14,Right To Know,https://right-to-know.org,40.3,43.8,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,18,2,Right To Know: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
15,CrowdJustice,https://www.crowdjustice.com,39.6,45.1,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,15,4,CrowdJustice: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
16,Fatebook,https://fatebook.io,39.6,45.1,-5.6,0.82,LOW,HIGH,c6,12,11,13,4,2,18,5,Fatebook: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
17,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,39.6,43.1,-3.5,0.73,LOW,LOW,c3,16,2,20,4,2,14,4,Hand-Written Petition Scanner: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
18,Missing Numbers,https://missingnumbers.org,39.6,43.1,-3.5,0.55,MEDIUM,LOW,c1,19,2,19,4,2,14,2,Missing Numbers: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
19,Moral Machine,https://moralmachine.net,39.6,45.1,-5.6,0.82,LOW,HIGH,c1,15,11,13,6,2,14,4,Moral Machine: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
20,Who Posted What?,https://whopostedwhat.com,39.6,43.1,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,15,4,Who Posted What?: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
21,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,38.9,42.4,-3.5,0.55,MEDIUM,LOW,c1,16,6,16,4,2,14,3,Digital Account Management Toolkit: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
22,Dovetail,https://dovetail.network,38.9,42.4,-3.5,0.55,MEDIUM,LOW,c6,16,6,13,4,2,18,2,Dovetail: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
23,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,38.9,42.4,-3.5,0.64,LOW,LOW,c3,17,2,20,4,2,14,2,Empurrando Juntas (EJ): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
24,Spartacus,https://spartacus.app,38.9,44.4,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,14,4,Spartacus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
25,Urbit,https://urbit.org,38.9,41.0,-2.1,0.64,LOW,LOW,c6,12,11,10,4,2,14,6,Urbit: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
26,Atlas of Surveillance,https://atlasofsurveillance.org,38.2,47.2,-9.0,0.82,LOW,HIGH,c1,15,15,13,6,3,14,2,Atlas of Surveillance: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
27,GreenPT,https://greenpt.ai/,38.2,36.1,2.1,0.73,LOW,LOW,c1,16,2,10,4,4,14,2,GreenPT: implementation-first scoring; primary driver is C1 at 16/30 pts; deployment modifier M_IMPL=0.
28,Local Insight,https://localinsight.org,38.2,38.2,0.0,0.64,LOW,LOW,c6,12,2,13,4,4,18,2,Local Insight: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
29,Overton,https://overton.io,38.2,43.8,-5.6,0.64,LOW,LOW,c3,12,2,23,4,2,18,2,Overton: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
30,Plinth,https://www.plinth.org.uk,38.2,38.2,0.0,0.73,LOW,LOW,c6,12,2,13,4,4,18,2,Plinth: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
31,Privacy Badger,https://privacybadger.org,38.2,48.6,-10.4,0.64,LOW,LOW,c2,18,24,10,4,2,8,4,Privacy Badger: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
32,Prolific,https://www.prolific.com,38.2,43.8,-5.6,0.64,LOW,LOW,c6,12,2,16,8,2,18,5,Prolific: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
33,Labour Xchange,https://labourxchange.uk,37.5,37.5,0.0,0.64,LOW,LOW,c1,15,2,13,4,4,14,2,Labour Xchange: implementation-first scoring; primary driver is C1 at 15/30 pts; deployment modifier M_IMPL=0.
34,Mapping.kids,https://mapping.kids,37.5,41.0,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,15,4,Mapping.kids: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
35,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,37.5,37.5,0.0,0.55,MEDIUM,LOW,c1,19,2,10,4,2,15,2,Society for Hopeful Technologists: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
36,DemTech Navigator,https://navigator.oii.ox.ac.uk,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,4,DemTech Navigator: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
37,Filmot,https://filmot.com,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,4,Filmot: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
38,Sci-Hub,https://sci-hub.se,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,19,2,13,4,2,14,4,Sci-Hub: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
39,AISafety.info,https://aisafety.info,36.1,41.7,-5.6,0.82,LOW,LOW,c6,12,10,13,4,2,14,5,AISafety.info: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
40,Journalist Studio,https://journaliststudio.google.com,36.1,41.7,-5.6,0.73,LOW,LOW,c6,12,11,10,4,3,14,6,Journalist Studio: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
41,PoliMonitor,https://www.polimonitor.com,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,15,2,PoliMonitor: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
42,The List,https://the-list.uk,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,3,The List: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
43,Whoisology,https://whoisology.com,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c6,14,2,13,4,2,18,4,Whoisology: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
44,Conservative Party Funding,https://conservativepartyfunding.co.uk,35.4,38.9,-3.5,0.55,MEDIUM,LOW,c1,19,2,13,4,2,14,2,Conservative Party Funding: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
45,Idealist,https://idealist.org,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,12,2,20,4,2,15,4,Idealist: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
46,PostBug,https://postbug.com,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,15,2,20,4,2,14,2,PostBug: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
47,Public Editor,https://www.publiceditor.io,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,5,Public Editor: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
48,Public Media Stack,https://publicmediastack.com,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,5,Public Media Stack: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
49,The Decelerator,https://decelerator.org.uk,35.4,38.9,-3.5,0.55,MEDIUM,LOW,c3,14,2,16,4,2,15,3,The Decelerator: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
50,We Live It,https://www.welivedit.ai,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,12,6,16,4,2,14,5,We Live It: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
51,CivicMatch,https://civicmatch.app,34.7,40.3,-5.6,0.55,MEDIUM,LOW,c3,15,2,19,4,2,14,2,CivicMatch: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 19/30 pts is the criteria driver.
52,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,34.7,38.2,-3.5,0.55,MEDIUM,LOW,c1,16,2,13,4,2,14,4,COTSI (Cyber Operational Threat Situational Intelligence): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
53,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,34.7,40.3,-5.6,0.82,LOW,LOW,c6,12,11,10,4,3,14,4,DeepSeek-V3: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
54,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,34.7,40.3,-5.6,0.55,MEDIUM,LOW,c6,13,2,16,4,2,18,3,Violation Tracker UK: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
55,Dunadyne,https://dunadyne.org,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,10,9,10,4,2,18,4,Dunadyne: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
56,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,3,The Guide to Major Trusts 2025/26: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
57,Watch Duty,https://www.watchduty.org,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,3,Watch Duty: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
58,Charity Digital Skills Report,https://charitydigitalskills.co.uk,33.3,36.8,-3.5,0.55,MEDIUM,LOW,c1,16,2,13,4,2,14,2,Charity Digital Skills Report: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
