rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://bonfirenetworks.org,Bonfire,68.0,48.0,20,0.88,LOW,LOW,modifier,"Bonfire's governance model (cooperative) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M2:+10, M6:+4)."
2,https://alaveteli.org,Alaveteli,59.1,47.1,12,0.94,LOW,HIGH,criteria,"Alaveteli's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4). High popularity risk — Alaveteli is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
3,https://www.agenciesforgood.org,Agencies for Good,57.2,41.2,16,0.94,LOW,LOW,modifier,"Agencies for Good's governance model (cooperative) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M2:+8)."
4,https://openheartmind.org,Open Heart Mind (OHM),53.3,37.3,16,0.88,LOW,LOW,modifier,"Open Heart Mind (OHM)'s governance model (cooperative) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M4:+4, M6:+4)."
5,https://adhocracy.plus,adhocracy+,52.1,44.1,8,0.94,LOW,HIGH,criteria,adhocracy+'s governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8). High popularity risk — adhocracy+ is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
6,https://consulproject.org,CONSUL Democracy,52.1,44.1,8,1.0,LOW,HIGH,criteria,CONSUL Democracy's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8). High popularity risk — CONSUL Democracy is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
7,https://citizenos.com/platform,Citizen OS,51.2,39.2,12,0.94,LOW,LOW,modifier,"Citizen OS's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
8,https://cobudget.com,Cobudget,51.2,39.2,12,0.94,LOW,LOW,modifier,"Cobudget's governance model (cooperative) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
9,https://opencouncil.network,Open Council Network,51.2,39.2,12,0.94,LOW,LOW,modifier,"What matters about Open Council Network is its structural ambition — Open Council Network addresses gaps in democratic participation by providing tools or platforms that. Modifiers push this up (M1:+8, M6:+4)."
10,https://logos.co,Logos,50.4,30.4,20,0.88,LOW,LOW,modifier,"Logos scores well on technological sovereignty — the kind of self-hostable, open infrastructure that gives communities real control. Modifiers push this up (M1:+8, M2:+10, M6:+4)."
11,https://decidim.org,Decidim,50.2,42.2,8,0.94,LOW,HIGH,criteria,Decidim's governance model (cooperative) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8). High popularity risk — Decidim is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
12,https://okfn.org/en/projects/open-data-editor,Open Data Editor (ODE),50.2,41.2,9,1.0,LOW,HIGH,criteria,"Open Data Editor (ODE)'s governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+5, M6:+4). High popularity risk — Open Data Editor (ODE) is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
13,https://github.com/vbuterin/dao,The DAO (Standard DAO Framework),49.4,29.4,20,0.81,LOW,LOW,modifier,"The DAO (Standard DAO Framework)'s governance model (individual) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M2:+10, M6:+4)."
14,https://civicrm.org,CiviCRM,48.3,36.3,12,0.94,LOW,LOW,modifier,"CiviCRM's governance model (LLC) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
15,https://communityrule.info,CommunityRule,48.3,36.3,12,1.0,LOW,LOW,modifier,"CommunityRule's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
16,https://spacetu.be,Spacetube,47.5,27.5,20,0.81,LOW,LOW,modifier,"Spacetube scores well on technological sovereignty — the kind of self-hostable, open infrastructure that gives communities real control. Modifiers push this up (M1:+8, M2:+10, M6:+4)."
17,https://all-our-ideas.citizens.is,All Our Ideas,47.2,39.2,8,1.0,LOW,LOW,criteria,All Our Ideas's governance model (Democratic governance with citizen input) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
18,https://github.com/radicalxchange/rxc-voice,RxC Voice,45.5,27.5,18,0.81,LOW,LOW,modifier,"RxC Voice's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M2:+10)."
19,https://metagov.org/projects/interop,Interoperable Deliberative Tools,45.4,29.4,16,0.81,LOW,LOW,modifier,"Interoperable Deliberative Tools's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M2:+8)."
20,https://data.mysociety.org,mySociety Datasets and APIs,44.4,32.4,12,0.99,LOW,HIGH,modifier,"mySociety Datasets and APIs's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4). High popularity risk — mySociety Datasets and APIs is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
21,https://standards.theodi.org,Open Standards for Data Guidebook,44.3,34.3,10,0.94,LOW,LOW,criteria,Open Standards for Data Guidebook's governance model (ODI-maintained; community contributions via GitHub issues) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M2:+10).
22,https://creativecommons.org,Creative Commons,43.4,31.4,12,1.0,LOW,HIGH,modifier,"What matters about Creative Commons is its structural ambition — Addresses challenges in legal access and justice by serving educators, researchers, artists.. Modifiers push this up (M1:+8, M6:+4). High popularity risk — Creative Commons is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
23,https://github.com/populatetools,Populate Tools,43.4,31.4,12,0.88,LOW,LOW,modifier,"Populate Tools's governance model (open source community governance) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
24,https://murmurations.network,Murmurations Protocol,43.4,29.4,14,0.88,LOW,LOW,modifier,"Murmurations Protocol's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M2:+10, M6:+4)."
25,https://cortico.ai/platform,Cortico,43.3,35.3,8,0.88,LOW,LOW,criteria,Cortico's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
26,https://liquidfeedback.com,LiquidFeedback,43.3,35.3,8,0.94,LOW,LOW,criteria,LiquidFeedback's governance model (open-source published by Public Software Group e.V.; commercial services by FlexiGuided GmbH; research by Interaktive Demokratie e.V.) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
27,https://www.papertree.earth,Papertree,43.3,33.3,10,0.69,MEDIUM,NONE,modifier,"Papertree scores well on technological sovereignty — the kind of self-hostable, open infrastructure that gives communities real control. Modifiers push this up (M2:+10)."
28,https://github.com/mastodon/mastodon,Mastodon,42.4,28.4,14,0.94,LOW,HIGH,modifier,"Mastodon scores well on technological sovereignty — the kind of self-hostable, open infrastructure that gives communities real control. Modifiers push this up (M2:+10, M6:+4). High popularity risk — Mastodon is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
29,https://tech-coops.xyz,Tech Coops List,42.4,30.4,12,0.88,LOW,LOW,modifier,"Tech Coops List's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8, M6:+4)."
30,https://constituteproject.org,Constitute Project,42.3,34.3,8,0.94,LOW,LOW,criteria,Constitute Project's governance model (project_of_larger_org) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
31,https://ethelo.com,Ethelo,42.3,34.3,8,0.94,LOW,LOW,criteria,Ethelo's governance model (LLC) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
32,https://github.com/huridocs,HURIDOCS,42.3,33.3,9,0.94,LOW,LOW,criteria,"HURIDOCS scores well on technological sovereignty — the kind of self-hostable, open infrastructure that gives communities real control. Modifiers push this up (M1:+5, M6:+4)."
33,https://oneproject.org,One Project,42.3,34.3,8,0.88,LOW,LOW,criteria,One Project's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
34,https://web.archive.org,Internet Archive Wayback Machine,42.3,33.3,9,0.94,LOW,HIGH,criteria,"Internet Archive Wayback Machine's governance model (foundation) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+5, M6:+4). High popularity risk — Internet Archive Wayback Machine is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit."
