title,url,desc
OpenCRVS,https://www.opencrvs.org,Open source digital civil registration and vital statistics system for every person on the planet
Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,A no-code desktop app for error-free spreadsheets with guaranteed privacy and FAIR data
Contracts for Data Collaboration,https://contractsfordatacollaboration.org,"Strengthening trust, transparency, and accountability in cross-sector data collaboratives through legal frameworks and shared resources"
Decidim,https://decidim.org,"A free/libre, open and safe digital platform for citizen participation. Reprogramming democracy is now possible."
LiquidFeedback,https://liquidfeedback.com,Liquid democracy software for transparent proposal development and collective decision-making
Ethelo,https://ethelo.com,The world's leading group solutions technology — a multi-party scenario analysis engine that finds fair solutions with broad support.
Worker Info Exchange,https://www.workerinfoexchange.org,"Platform connecting workers with information about labor rights, workplace conditions, and employment resources"
Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,"Producing data, scholarship, and popular educational materials documenting how property technology increases landlord power while disempowering tenants"
Turkopticon,https://turkopticon.ucsd.edu,Worker-led platform organizing mutual aid and advocacy for Amazon Mechanical Turk workers
Ushahidi,https://www.ushahidi.com,Crowdsourcing Solutions to Empower Communities
Fundación Ciudadanía Inteligente,https://ciudadaniai.org,Latin American organization fighting for the transformation of democracies through civic technology and open tools
OpenCRVS,https://www.opencrvs.org,Open source digital civil registration and vital statistics system for every person on the planet
Open Heart Mind (OHM),https://openheartmind.org,"Participatory gatherings and regenerative systems for collective flourishing — developing Wisdom, an open-source peer evaluation platform"
Open Council Network,https://opencouncil.network,Makes local government decision-making accessible to everyone through council meeting tracking and weekly summaries
Mastodon,https://github.com/mastodon/mastodon,"Your self-hosted, globally interconnected microblogging community"
Humble Data Workshop,https://humbledata.org,Free data science and Python workshops for underrepresented groups in tech
Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,Open-access syllabus and training to equip public servants with digital-era skills
Mozilla Data Collective,https://datacollective.mozillafoundation.org,"Rebuilding the AI data ecosystem with communities at the centre — 470+ high-quality global datasets, built by and for the community in a transparent and ethical way."
LiquidFeedback,https://liquidfeedback.com,Liquid democracy software for transparent proposal development and collective decision-making
Open Supply Hub,https://opensupplyhub.org,"A global, open-source platform for supply chain transparency and worker rights"
Open Contracting Partnership,https://www.open-contracting.org,"Open, fair & efficient public contracting to improve US$2 trillion in annual public procurement spending"
Open Digital Planning,https://opendigitalplanning.org/,Planning services designed by councils for councils — a community of Local Planning Authorities transforming England's digital planning system
ODK (Open Data Kit),https://getodk.org,"Open-source tools for collecting, managing, and using data in resource-constrained environments"
mySociety Datasets and APIs,https://data.mysociety.org,"Open datasets and APIs for democracy, transparency, and community engagement"
Mastodon,https://github.com/mastodon/mastodon,"Your self-hosted, globally interconnected microblogging community"
CONSUL Democracy,https://consulproject.org,"The most complete citizen participation tool for an open, transparent and democratic government."
Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,A Wikimedia project to create a language-independent layer of structured knowledge that can be rendered into multiple natural languages
mySociety Datasets and APIs,https://data.mysociety.org,"Open datasets and APIs for democracy, transparency, and community engagement"
Open Council Network,https://opencouncil.network,Makes local government decision-making accessible to everyone through council meeting tracking and weekly summaries
Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,A no-code desktop app for error-free spreadsheets with guaranteed privacy and FAIR data
Bonfire,https://bonfirenetworks.org,"A federated social network for individuals and communities to design, operate and control their own digital lives."
Alaveteli,https://alaveteli.org,Run your own Freedom of Information website - An open-source platform for making public freedom of information requests to public bodies
Agencies for Good,https://www.agenciesforgood.org,"A community of tech for good agencies, consultancies and freelancers supporting socially impactful work"
Open Digital Planning,https://opendigitalplanning.org/,Planning services designed by councils for councils — a community of Local Planning Authorities transforming England's digital planning system
