project_url,project_name,criterion,evidence_field,evidence_value,interpretation,score,max_score,justification
https://turkopticon.ucsd.edu,Turkopticon,C1,political_relevance_summary,Worker-led platform organizing mutual aid and advocacy for Amazon Mechanical Turk workers,Named power asymmetry: platform labour removes workers from normal employment protections; advocacy mechanism directly addresses this,10,12,High: formal petition delivery and qualitative testimonies constitute structural contestability mechanism against platform power
https://turkopticon.ucsd.edu,Turkopticon,C2,communities_served,"Amazon Mechanical Turk workers, Platform workers, Gig economy workers",Specific named population (MTurk workers) excluded by specific named mechanism (platform employment classification stripping labour rights),15,20,High: worker-led cooperative centres the excluded population as both subjects and governors; intra-class dynamics of requesters vs workers documented
https://turkopticon.ucsd.edu,Turkopticon,C3,outcome_methodology,Qualitative worker testimonies and documented case studies,Worker testimonies and documented case studies evidence engagement at discovery and evaluation stages; cooperative governance implies ongoing community involvement,7,12,High-medium: worker-led cooperative governance and qualitative methodology demonstrate multi-stage engagement; formal evaluation evidence present
https://turkopticon.ucsd.edu,Turkopticon,C4,documented_limitations,"Dependent on Amazon's willingness to implement worker-requested changes, Limited enforcement mechanisms beyond advocacy",Honest documentation of structural limitations — enforcement dependency on Amazon — demonstrates critical self-examination of advocacy boundaries rather than overclaiming impact,7,20,Medium-high: limitations honestly document why formal advocacy cannot fully correct power asymmetry; does not frame awareness as equivalent to structural change
https://turkopticon.ucsd.edu,Turkopticon,C5,underdog_signal,true,Worker-led small nonprofit facing structural resistance from one of the world's largest corporations with minimal documentation infrastructure,5,6,High: grassroots worker cooperative with limited funding facing active institutional resistance from Amazon platform
https://turkopticon.ucsd.edu,Turkopticon,C6,governance_model,cooperative,Cooperative worker governance provides communities substantive decision rights over the platform's direction and advocacy strategy,9,12,High: cooperative governance places affected workers at the empowers end of IAP2 spectrum; petition delivery mechanism gives formal expression of collective worker demands
https://secfirst.org,Security First / Umbrella,C1,political_relevance_summary,Free open source digital and physical security handbook app for journalists activists NGO staff and people working in high-risk environments,Directly addresses surveillance and physical security power asymmetry facing activists and journalists in high-risk environments,9,12,High: structural protection against state and corporate surveillance for named at-risk groups; formal mechanism (security guidance + app) rather than informational awareness
https://secfirst.org,Security First / Umbrella,C2,communities_served,"journalists, activists, NGO staff, diplomats, human rights defenders","Specifically named excluded populations facing documented risks of targeted surveillance, detention, and violence",14,20,High: named populations with named exclusion mechanism (state/corporate surveillance targeting activist and journalist work); 40+ topics covering specific threat contexts
https://secfirst.org,Security First / Umbrella,C3,outcome_methodology,Security First training materials integrated into digital security curricula by international NGOs and press freedom organizations,Integration into NGO curricula documents adoption at implementation stage; community contributions to content document some co-production,6,12,Medium: documented integration into training programmes evidences multi-stakeholder adoption; less clear evidence of community co-design at discovery stage
https://secfirst.org,Security First / Umbrella,C4,documented_limitations,"guides cover 40+ topics but threat landscape evolves rapidly, app adoption metrics not publicly disclosed",Acknowledges evolving threat landscape as limitation; does not over-claim completeness — this is methodological humility about the tool's scope rather than structural power analysis,5,20,Medium: epistemic humility about coverage gaps is positive; less evidence of examination of whether security guidance reproduces professional norms that exclude grassroots communities
https://secfirst.org,Security First / Umbrella,C5,underdog_signal,true,Small nonprofit serving high-risk populations in contexts with active institutional resistance to their work,5,6,High: nonprofit with limited disclosed adoption metrics serving communities under active threat; thin measurement infrastructure consistent with structural disadvantage
https://secfirst.org,Security First / Umbrella,C6,governance_model,NGO with co-founders; open source content and code; community contributions welcomed,Open source content and community contributions suggest involves level; security guidance gives users tools to protect themselves rather than just informing them,8,12,High-medium: empowers end of spectrum through practical security tools; community contributions to content suggest involves/collaborates rather than purely informs
https://securedrop.org,SecureDrop,C1,political_relevance_summary,Addresses government transparency and press freedom by providing a secure anonymous whistleblower submission system used by major news organizations worldwide,Formal mechanism structurally changing power position of whistleblowers against institutional retaliation — contestability infrastructure for suppressed knowledge,10,12,High: anonymous secure submission system is formal structural correction of power asymmetry between institutions and those with evidence of wrongdoing
https://securedrop.org,SecureDrop,C2,communities_served,"journalists, media organizations, NGOs, whistleblowers","Whistleblowers named as specific population excluded by specific mechanism — institutional retaliation, legal exposure, power differential with their employers",14,20,High: whistleblowers are a specific excluded population facing named exclusion mechanism (institutional retaliation); tool specifically built for this population's protection
https://securedrop.org,SecureDrop,C3,outcome_methodology,observational,Observational methodology with adoption by major news organizations; limited evidence of community co-design with whistleblowers themselves,4,12,Low-medium: adoption evidence documents implementation stage; no evidence of co-design with the whistleblower population the tool serves
https://securedrop.org,SecureDrop,C4,documented_limitations,"Requires users to understand Tor Browser and anonymity practices, Dependent on individual organizations to maintain secure installations, No IP logging means limited ability to detect abuse",Technical limitations honestly documented; notes practical barriers that limit access for less technically sophisticated whistleblowers,6,20,Medium: honest documentation of technical barriers shows awareness of access gaps; some examination of how installation dependency limits structural reliability
https://securedrop.org,SecureDrop,C5,underdog_signal,true,Freedom of the Press Foundation nonprofit; established but mission-driven with genuine institutional risk,3,6,Medium: Freedom of the Press Foundation is established but serves politically sensitive functions facing ongoing legal and institutional pressures
https://securedrop.org,SecureDrop,C6,governance_model,project_of_larger_org,Gives whistleblowers anonymous channels to exercise their right to disclose wrongdoing — empowers level democratic mechanism for those previously unable to safely participate,10,12,High: empowers end of IAP2 spectrum — gives whistleblowers practical ability to exercise epistemic rights they previously could not safely access
https://parti.xyz,Parti,C1,policy_outcomes,Adoption by Incheon Metropolitan City for participatory budgeting process allocating 5 billion won through citizen voting,Formal redistribution of budget decision-making authority to citizens — contestability over allocation decisions that affect communities,10,12,"High: participatory budgeting is formal structural mechanism giving citizens decision authority over public resource allocation, not just input"
https://parti.xyz,Parti,C2,primary_users_or_beneficiaries,"citizens in South Korea, civic organizations, local governments",Citizens as primary beneficiaries of participatory budgeting; specific populations implied but not named with specific exclusion mechanism,9,20,Medium: genuine equity framing through democratic participation but limited specificity about which citizens are excluded from standard budget processes and why
https://parti.xyz,Parti,C3,outcome_methodology,observational,"Municipal integration into Seoul and Busan budgeting processes documents implementation-stage community involvement; 200,000+ registered users documents scale",6,12,Medium: deployment across 50+ municipalities documents implementation-stage engagement; limited evidence of co-design or feedback loops beyond usage metrics
https://parti.xyz,Parti,C4,documented_limitations,"Limited English-language documentation, Primarily focused on South Korean context, Sustainability dependent on continued government partnerships",Government partnership dependency as limitation shows some structural awareness; no examination of whether participatory budgeting mechanisms reach excluded communities within participating municipalities,5,20,Medium: limitations identified but no examination of whether participation tools reproduce existing participation inequalities within the communities they serve
https://parti.xyz,Parti,C5,underdog_signal,true,South Korean nonprofit with limited English documentation operating outside dominant English-language civic tech discourse,4,6,Medium: limited English documentation and non-Western context represents structural disadvantage in this awards process; operates outside dominant civic tech networks
https://parti.xyz,Parti,C6,policy_outcomes,Parti platform integrated into municipal budgeting processes in Seoul and Busan enabling direct citizen input on public spending priorities,Citizens exercise voting rights over budget allocation — empowers/collaborates level democratic mechanism with binding effect,10,12,"High: empowers end of IAP2 spectrum — citizens make substantive decisions over public fund allocation through voting, not merely consultative input"
https://riseup.net,Riseup,C1,political_relevance_summary,Secure online communication tools for people and groups working on liberatory social change,Structural protection against surveillance of activist communications directly corrects power asymmetry between states and social movements,9,12,High: infrastructure protecting activist communications against state surveillance is structural (not informational) power correction; liberatory social change framing names the asymmetry
https://riseup.net,Riseup,C2,communities_served,"activists, social movements, advocacy organizations, grassroots groups",Social movements and grassroots groups named as populations served; liberatory framing implies specific excluded populations rather than generic civic users,11,20,Medium-high: activists and social movements are populations facing state opposition as named exclusion mechanism; stronger specificity about which movements would raise score further
https://riseup.net,Riseup,C3,governance_model,project_of_larger_org,Volunteer-run collective with community governance suggests participatory organisational structure; no formal lifecycle engagement documentation,6,12,Medium: volunteer collective governance implies community involvement in organisational direction; limited documentation of how activist communities shape platform decisions
