rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,AlgorithmWatch,https://algorithmwatch.org,87.5,75.5,12,0.85,LOW,high,criteria,"The EU AI Act FRIA requirement is a directly cited policy outcome -- AlgorithmWatch claims to have led that advocacy. AI is their subject, not their tool, but their published guidelines on responsible generative AI use and detailed failure mode documentation score very high on C1 and C3. I flag high popularity risk: this is one of the best-documented projects in the list, and stripping out the documentation advantage I would estimate 8-10 points lower. Even so, the regulatory engagement record is genuinely strong."
2,Decidim,https://decidim.org,76.5,72.5,4,0.8,LOW,high,criteria,"Barcelona founding, European Commission deployment for Conference on Future of Europe, Brazilian federal adoption -- Decidim has the strongest multi-government deployment evidence of any participatory democracy platform in this batch. The documented failure modes are exceptional: political dependency after electoral change in Badalona, digital divide strengthening in top-down implementations, resistance from citizens' associations. C3 and C4 score at the top. I flag high popularity risk: this is extremely well-documented. Discounting for that, I would estimate 8-10 points lower, but the institutional evidence is independently verifiable."
3,CKAN,https://ckan.org,71.7,62.7,9,0.75,LOW,high,criteria,"CKAN powers the open data portals of Canada, Singapore, Australia, and dozens of other governments -- it is foundational public data infrastructure. Active since 2006, 5000 GitHub stars, maintained codebase. I have to flag high popularity risk: this is one of the most thoroughly documented data platform projects in civic tech, and my confidence partly reflects how well-known it is. Stripping the documentation advantage, I would estimate 8 points lower. Even so, the government adoption evidence is independently strong."
4,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,71.7,63.7,8,0.6,MEDIUM,low,criteria,NYU research center whose work is directly cited in the EU Digital Services Act -- that is one of the strongest policy impact signals in this batch. AI involvement is core to their platform transparency research. The documented failure mode of platform API changes disrupting data collection is honest and specific (C3). DSA researcher data access rules show continuing regulatory influence. M5 applies for genuine policymaker advisory function.
5,Cortico,https://cortico.ai/platform,70.9,56.9,14,0.6,MEDIUM,none,modifier,"AI-assisted sensemaking with human-led pattern identification -- this is exactly the human-in-the-loop design my constitution rewards most (M1). City government partnerships in Cambridge, Durham, Boston, and NYC for community engagement are genuine C2 policymaker adoption. The documented limitations about scalability and AI bias requiring human oversight directly instantiate my arXiv paper's findings. Deb Roy's MIT/Twitter background adds credibility. Net modifier boost is significant. US-only limits C7."
6,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,68.8,59.8,9,0.55,MEDIUM,none,modifier,Framework for engaging civil society in AI development with real pilots -- Discord's Safety ML team and Amsterdam's image recognition service. This directly instantiates the human-judgment-in-AI-governance principle that M1 rewards. City of Amsterdam adoption gives C2 institutional credibility. The focus on affected communities and marginalized groups shows disparity awareness. Guidance-based rather than prescriptive -- an honest documented limitation. M1 boost is the primary driver.
7,CONSUL Democracy,https://consulproject.org,68.7,64.7,4,0.7,LOW,medium,criteria,"Deployed in Madrid, Munich, Aarhus, by UNDP and the Inter-American Development Bank -- this is participatory democracy infrastructure with real multi-jurisdictional institutional adoption. The documented failure modes are sophisticated: political dependency (use ceased after mayor lost power), digital divide risk, institutional resistance. C3 scores high for that level of self-awareness. 12 country deployments justify strong C7. Popularity risk is moderate."
8,Creative Commons,https://creativecommons.org,67.7,63.7,4,0.8,LOW,high,criteria,"CC licenses adopted by Wikipedia, 14 countries with open education policies, ported to 75+ jurisdictions -- this is genuinely global legal infrastructure for knowledge sharing. The documented limitations are impressively specific: license incompatibility, noncommercial ambiguity, enforcement limitations. AI training data controversy shows active engagement with current policy questions. I flag high popularity risk: CC's documentation richness inflates confidence. Stripping that, I would score 8-10 points lower."
9,mySociety Datasets and APIs,https://data.mysociety.org,66.8,57.8,9,0.7,LOW,medium,criteria,"mySociety's partnership with UK Parliament, Cabinet Office, and European Commission represents deep institutional integration -- exactly what C2 rewards. Influencing UK FOI Act implementation and contributing to international open data standards are strong policy outcomes. Open source with 1200 stars and active maintenance. I flag moderate popularity risk: mySociety is very well-known in civic tech. The institutional evidence is independently strong."
10,Aleph (OCCRP),https://aleph.occrp.org,65.7,65.7,0,0.8,LOW,medium,criteria,"Panama Papers and Pandora Papers outcomes are directly cited in policy changes -- that is rare and concrete evidence under C2. The AI-assisted entity extraction earns C1 consideration, and the dossier's honesty about USAID funding dependency and platform access restrictions shows strong C3 complexity awareness. The USAID veto controversy triggers a mild M2 concern, balanced by the open-source M6 boost."
