slug,name,pr_number,pr_url,criterion_index,criterion_label,criterion_title,weight
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","1","Criterion 1","Accessibility for excluded or underserved populations","HIGH"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","2","Criterion 2","Government digital infrastructure quality and interoperability","HIGH"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","3","Criterion 3","Regulatory and policy clarity contribution","HIGH**"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","4","Criterion 4","Data ethics and epistemic integrity","MEDIUM"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","5","Criterion 5","Implementation maturity and evidence of use","MEDIUM"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","6","Criterion 6","Open standards and public knowledge orientation","MEDIUM"
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","7","Criterion 7","Cross-jurisdictional applicability","LOW"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","1","C1","Voice / participation architecture","HIGH confidence | 20 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","2","C2","Human adoption / facilitation design","HIGH confidence | 18 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","3","C3","Privacy-by-design / consent architecture","HIGH confidence | 16 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","4","C4","Theory of change depth","MEDIUM confidence | 14 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","5","C5","Peer learning / community emergence","MEDIUM confidence | 14 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","6","C6","Implementation maturity","MEDIUM confidence | 12 points max"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","7","C7","Structural interventions over informational ones","LOW confidence | 8 points max"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","1","Criterion 1","Accountability infrastructure for algorithmic and automated systems","HIGH (max 20 pts)"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","2","Criterion 2","Centring populations excluded by algorithmic or bureaucratic categorical systems","HIGH (max 20 pts)"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","3","Criterion 3","Qualitative or ethnographic grounding — does the project know how its users actually live?","MEDIUM (max 12 pts)"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","4","Criterion 4","Critical self-examination of power claims — does the project know what it is actually doing?","MEDIUM (max 12 pts)"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","5","Criterion 5","Human-centred design practice in public service contexts","MEDIUM (max 12 pts)"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","6","Criterion 6","Implementation maturity — is this real, working, and reaching people?","LOW (max 6 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","1","C1","Health equity and access impact","high (25 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","2","C2","Decolonial governance and power redistribution","high (20 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","3","C3","Patient/community-centred design","high (20 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","4","C4","Ethical infrastructure and accountability","medium (15 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","5","C5","Conflict/fragile-state applicability","medium (10 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","6","C6","Movement-building and collective action infrastructure","medium (5 pts)"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","7","C7","Epistemic humility and self-criticality","low (5 pts)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","1","Criterion 1","Empowerment of excluded/marginalised communities","20 points (HIGH)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","2","Criterion 2","Education and capability-building as core mechanism","18 points (HIGH)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","3","Criterion 3","Volunteer-driven, low-cost, resource-efficient models","15 points (HIGH)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","4","Criterion 4","Open-source code and replicable educational materials","15 points (MEDIUM-HIGH)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","5","Criterion 5","Practical deployment with real users","14 points (MEDIUM)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","6","Criterion 6","Political technology connecting to civic participation","10 points (MEDIUM-LOW)"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","7","Criterion 7","Scalability and cross-context replicability","8 points (LOW)"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","1","C1","Enforcement and verification infrastructure","20"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","2","C2","Participatory and deliberative governance","20"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","3","C3","Supply chain and lifecycle governance","20"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","4","C4","Institutional and democratic infrastructure","12"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","5","C5","International and cross-jurisdictional applicability","12"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","6","C6","Evidence quality and research rigour","12"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","7","C7","Compute governance and technical infrastructure","6"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","1","C1","Organisational structure and governance","20"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","2","C2","User-centred design for underserved populations","20"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","3","C3","Real-world adoption and use","18"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","4","C4","Genuine open source and open data","14"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","5","C5","Collaborative and cooperative technology","12"
