name,v3_rank,v5_rank,v3_score,v5_score,rank_swing,score_diff_v3_minus_v5
Open Access – Transparency International UK,75,189,61.8,47.9,114,13.899999999999999
deliberAIde,60,169,63.9,52.1,109,11.799999999999997
Polimorphic,221,321,44.4,26.4,100,18.0
Tracka,130,227,54.9,43.1,97,11.799999999999997
Open Data Communities,151,242,51.4,41.7,91,9.699999999999996
MP Watch,150,240,51.4,41.7,90,9.699999999999996
UrbanistAI,99,188,58.3,48.6,89,9.699999999999996
UK Housing Data Standards,93,181,59.0,50.7,88,8.299999999999997
Your Priorities,23,110,70.8,62.5,87,8.299999999999997
GOV Reuse Library,157,243,50.7,41.0,86,9.700000000000003
Talk to the City,31,115,70.1,61.8,84,8.299999999999997
AlgorithmWatch,33,117,69.4,61.1,84,8.300000000000004
Privacy Badger,274,190,38.2,47.9,84,-9.699999999999996
Granitt,138,219,53.5,43.8,81,9.700000000000003
Creative Commons,80,160,61.1,54.9,80,6.200000000000003
Entitledto,180,259,48.6,38.9,79,9.700000000000003
WriteToThem,85,157,60.4,56.2,72,4.199999999999996
Humanitarian OpenStreetMap Team (HOT),90,161,59.0,54.9,71,4.100000000000001
Members' Interests,203,274,46.5,36.8,71,9.700000000000003
Ethelo,73,143,61.8,57.6,70,4.199999999999996
Campaign Tracker,78,148,61.1,56.9,70,4.200000000000003
GovTrack.us,103,173,57.6,51.4,70,6.200000000000003
OpenBudgets.eu,106,176,57.6,51.4,70,6.200000000000003
Urbit,268,199,38.9,46.5,69,-7.600000000000001
Mastodon C,61,128,63.9,59.7,67,4.199999999999996
Pear by Holepunch,211,144,45.8,57.6,67,-11.800000000000004
soweego,233,167,43.1,52.8,66,-9.699999999999996
Give Food,55,120,65.3,61.1,65,4.199999999999996
Nym,205,140,46.5,58.3,65,-11.799999999999997
Ushahidi,52,116,66.0,61.8,64,4.200000000000003
TheyWorkForYou,65,129,63.9,59.7,64,4.199999999999996
Logos,111,48,56.9,68.8,63,-11.899999999999999
Civic Tech Field Guide,116,179,56.2,50.7,63,5.5
Radicle,194,132,47.2,59.0,62,-11.799999999999997
youtube-dl,196,135,47.2,59.0,61,-11.799999999999997
Principles for Public Participation in Procurement of AI,48,107,66.7,62.5,59,4.200000000000003
RxC Voice,92,33,59.0,70.8,59,-11.799999999999997
Membership,162,105,50.7,62.5,57,-11.799999999999997
In the news,220,163,44.4,54.2,57,-9.800000000000004
Sugartrail,222,165,44.4,54.2,57,-9.800000000000004
