"rank","project_name","url","score","criteria_score","modifier_adj","dossier_completeness","uncertainty","popularity_risk","primary_driver","rationale"
"1","Decidim","https://decidim.org","87.0","67.0","20","0.85","LOW","MEDIUM","modifier","The Barcelona roots of Decidim are what matter most to me — 40,000 citizens engaged in strategic planning, not as a consultation exercise but as a genuine co-design process. It embodies the five facilitation commitments I hold: equal access, genuine listening, consent, safety, and structural neutrality. The open-source cooperative governance model and deployment across multiple European governments confirm this is not just technically solid but institutionally sustained."
"2","LiquidFeedback","https://liquidfeedback.com","86.9","66.9","20","0.95","LOW","MEDIUM","modifier","Delegated voting is one of the most structurally honest approaches to voice equalisation I've encountered — it acknowledges that not everyone engages equally on every issue, while ensuring their perspective is still represented through trusted delegates. The open-source model and decade-long deployment in Pirate Parties across Europe earns implementation credibility. My hesitation is that the Germanic proceduralism of the design may create barriers for groups without prior deliberation experience."
"3","Ethelo","https://ethelo.com","86.0","68.0","18","0.97","LOW","MEDIUM","modifier","Ethelo's preference-elicitation approach resonates with how I think about group process: the goal is not consensus by averaging but shared understanding of the landscape of views. The commercial model creates a slight tension with my privacy-by-design values, but the documented deployment with government bodies and cooperatives — real groups making real decisions — moves it into my top tier. The score is partly driven by constitutional fit and partly by how well-documented the evidence base is."
"4","Talk to the City","https://talktothecity.org","85.7","63.7","22","0.98","LOW","MEDIUM","modifier","Making collective sense-making visible is a rare thing — most tools record votes, not the underlying texture of how people actually think. Talk to the City's AI-assisted synthesis of open-ended responses addresses something I see constantly in facilitation: groups that have genuine collective wisdom but no mechanism to surface it without a skilled facilitator in the room. The early-stage uncertainty is real; the constitutional fit is as close to perfect as I've seen in this list."
"5","FixMyStreet","https://www.fixmystreet.com","79.0","64.0","15","0.97","LOW","HIGH","modifier","FixMyStreet's longevity (2007) and sustained deployment across multiple countries is evidence of the thing I care about most: humans actually using it over time. The report-and-respond mechanism is participatory in the most basic sense — it creates a genuine feedback loop between citizens and institutions. The peer-learning dimension is lower than my highest-ranked projects, but the adoption evidence is stronger than almost anything else in the list."
"6","Bonfire","https://bonfirenetworks.org/","77.6","57.6","20","0.94","LOW","MEDIUM","modifier","Bonfire is building something architecturally interesting: federated social infrastructure with explicit attention to governance and moderation models. The ActivityPub foundation means it interoperates with the wider fediverse rather than creating a silo. What draws me to it is the explicit attention to how communities govern their own spaces — not just participation in the sense of posting, but participation in the sense of shaping the rules of engagement."
"7","CONSUL Democracy","https://consulproject.org","76.6","66.6","10","0.96","LOW","HIGH","modifier","CONSUL Democracy sits at the top of my ranking because the participation architecture is genuinely structural, not cosmetic. The evidence shows open-source commitment with real community adoption — the kind of implementation maturity that distinguishes tools that have been tested against actual group dynamics rather than theoretical ones."
"8","Citizen OS","https://citizenos.com/platform/","76.4","66.4","10","0.95","LOW","MEDIUM","modifier","Citizen OS sits at the top of my ranking because the participation architecture is genuinely structural, not cosmetic. The evidence shows open-source commitment with real community adoption — the kind of implementation maturity that distinguishes tools that have been tested against actual group dynamics rather than theoretical ones."
"9","Alaveteli","https://alaveteli.org","74.7","64.7","10","0.96","LOW","HIGH","modifier","Alaveteli sits at the top of my ranking because the participation architecture is genuinely structural, not cosmetic. The evidence shows open-source commitment with real community adoption — the kind of implementation maturity that distinguishes tools that have been tested against actual group dynamics rather than theoretical ones."
"10","CommunityRule","https://communityrule.info","73.5","63.5","10","0.96","LOW","MEDIUM","modifier","CommunityRule sits at the top of my ranking because the participation architecture is genuinely structural, not cosmetic. The evidence shows open-source commitment with real community adoption — the kind of implementation maturity that distinguishes tools that have been tested against actual group dynamics rather than theoretical ones."
