rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,88.5,57,+19,0.80,LOW,NONE,modifier,Specific named population (social housing tenants/tower block residents) with specific named mechanism (landlord proptech algorithmic systems); community-produced by AEMP; disparity tracking; M1+M3+M7 all triggered — strongest C2 in batch
2,Data Trusts Initiative,https://datatrusts.uk,72.5,48,+14,0.75,LOW,NONE,modifier,NHS patients/coastal communities/birth cohort participants = specific named populations with specific named mechanism (data rights holders without formal governance); formal pilot mechanisms; M1+M3 both triggered
3,Mozilla Data Collective,https://datacollective.mozillafoundation.org,71.6,53,+7,0.65,MEDIUM,NONE,modifier,Indigenous language communities/Global South as specifically named populations excluded from AI development by data extraction without consent; community data ownership as structural correction; M3 triggered; high C5 (very early stage)
4,Decidim,https://decidim.org,71.0,50,+10,0.85,LOW,MEDIUM,modifier,Binding citizen proposals; cooperative Free Software Association governance; documents failure modes including political capture and digital divide; M1 for formal redistribution of decision-making; pop_risk MEDIUM given scale
5,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20,69.5,48,+11,0.80,LOW,NONE,modifier,300+ stakeholders co-created including marginalized and vulnerable groups in AI governance; highest C3 in batch; M3+M5 both triggered; directly addresses AI accountability gap foregrounded in Alexandra's constitution
6,Consul Democracy,https://consulproject.org,68.5,48,+10,0.85,LOW,MEDIUM,modifier,Formal binding citizen proposals across 350+ governments; strong C6 democratic depth; M1 structural redistribution of decision-making authority; disparity tracking noted as ongoing challenge in dossier
7,FixMyBlock,https://fixmyblock.org,66.7,44,+13,0.70,LOW,NONE,modifier,Tower block residents/social housing tenants with named exclusion mechanism (landlord safety obligations not met); formal mechanism for contesting landlord obligations; Legal Education Foundation; M3+M1 both triggered
8,Bonfire,https://bonfirenetworks.org,62.7,44,+9,0.75,LOW,NONE,modifier,Cooperative federated platform for activist/mutual aid/digital-rights communities; honest limitations documentation; M1+M5 triggered; strong C5 (solo team NLnet/NGI grant-cycle dependent; underdog_signal=true)
9,Alaveteli,https://alaveteli.org,59.2,42,+8,0.85,LOW,NONE,modifier,Formal FOI rights mechanism across 25+ jurisdictions; documents dependence on FOI law quality and government responsiveness; M1 structural correction of information access asymmetry; decade-plus mySociety project
10,Cortico,https://cortico.ai,58.7,44,+5,0.80,LOW,NONE,modifier,Underheard voices as specifically named excluded communities; disparity_tracking=true; multi-city documented engagement model; M3 triggered; Reid Hoffman/Knight/Carnegie backing moderates C5
11,Ciudadanía Inteligente,https://ciudadaniai.org,58.7,44,+5,0.85,LOW,NONE,modifier,Documented policy outcomes across Latin America; disparity tracking for marginalized communities; honest causation assessment; M3 for communities excluded from civic processes; OSF/Omidyar/Google.org/Ford funding
12,Adhocracy,https://adhocracy.plus,56.8,40,+8,0.75,LOW,NONE,modifier,Formal participatory budgeting in Berlin (Kiezkasse); M1 structural redistribution of budgeting authority to municipal residents; documents German-language focus and outcome attribution limitations
13,Ethelo,https://ethelo.com,55.2,42,+4,0.70,LOW,NONE,modifier,Indigenous communities explicitly named among served populations in Metro Vancouver deployment; multi-party deliberation for collective decisions; M3 for indigenous population specificity; Telus/Deloitte/government backing moderates C5
14,FairBnb Coop,https://fairbnb.coop,55.0,41,+5,0.65,MEDIUM,NONE,modifier,Cooperative tourism platform redistributing value from extractive platforms to local communities; M1 for cooperative ownership model; currently offline due to security attack — operational status uncertain
15,CoBudget,https://cobudget.com,54.8,40,+6,0.75,LOW,NONE,modifier,Participatory budgeting with formal direct allocation of resources by groups; Cobudget Association cooperative governance; M1 for formal redistribution of financial decision-making authority; strong C6 democratic depth
16,Activist Handbook,https://activisthandbook.org,53.8,40,+5,0.75,LOW,NONE,modifier,Fully community-written wiki with iterative multi-stage contribution lifecycle; M5 for documented multi-stage engagement; Shuttleworth/Mozilla/OSF backing moderates C5
17,rsky,https://github.com/blacksky-algorithms/rsky,53.8,40,+5,0.60,MEDIUM,NONE,modifier,Community safety and self-governance as core design goals for AT Protocol; grassroots/indie; M1 for redistribution of platform governance to communities; strong C5 (volunteer-driven no institutional funding)
