rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://opensupplyhub.org,Open Supply Hub,54.2,54.0,0.2,0.92,LOW,LOW,criteria,"Open Supply Hub builds genuine governance infrastructure with enforcement mechanisms. The project describes itself as: A global, open-source platform for supply chain transparency and worker rights. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
2,https://participedia.net,Participedia,54.0,47.6,6.4,0.85,LOW,LOW,criteria,"Participedia takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A global crowdsourcing platform for researchers, activists, practitioners, and anyone interested in . Governance model: Academic co-governance led by McMaster University, Simon Fra. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+6. Operates international."
3,https://talktothecity.org,Talk to the City,49.7,49.5,0.2,0.92,LOW,LOW,criteria,Talk to the City has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Open-source LLM survey tool to improve collective discourse and decision-making by analyzing qualita. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 15.2). Operates international.
4,https://p4ai.net,Principles for Public Participation in Procurement of AI,46.6,46.4,0.2,0.92,LOW,LOW,criteria,"Principles for Public Participation in Procurement of AI serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Framework for public participation in AI procurement decisions. Governance model: collaborative multi-stakeholder. Strongest on institutional infrastructure (C4: 10.0). Operates international."
5,https://opendigitalplanning.org/,Open Digital Planning,44.0,43.8,0.2,1.0,LOW,LOW,criteria,"Open Digital Planning serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Planning services designed by councils for councils — a community of Local Planning Authorities tran. Governance model: Community of Local Planning Authorities co-owned by members;. Strongest on institutional infrastructure (C4: 12). Operates United Kingdom (England)."
6,https://standards.theodi.org,Open Standards for Data Guidebook,44.0,39.8,4.2,0.92,LOW,LOW,criteria,"Open Standards for Data Guidebook serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Helping people and organisations create, develop and adopt open standards for data. Governance model: ODI-maintained; community contributions via GitHub issues. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+4. Operates international."
7,https://openaccess.transparency.org.uk,Open Access – Transparency International UK,42.8,42.6,0.2,0.92,LOW,LOW,criteria,"Open Access – Transparency International UK serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Platform providing access to corporate transparency data and beneficial ownership information. Governance model: project_of_larger_org. Strongest on institutional infrastructure (C4: 11.0). Operates national. Dead link detected: score capped at 45."
8,https://parti.xyz,Parti,42.8,42.6,0.2,0.88,LOW,LOW,criteria,"Parti has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: 함께 만드는 워킹그룹, 빠띠 카누 (Together Making Working Groups, Parti Canu) - A platform for connecting people w. Governance model: foundation. Strongest on participatory governance (C2: 10.0). Operates national."
9,https://orcid.org,ORCID,41.3,41.1,0.2,0.92,LOW,LOW,criteria,"ORCID serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: A persistent digital identifier for researchers to distinguish themselves and connect with their pro. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates international."
10,https://okfn.org/en/projects/open-data-editor/,Open Data Editor (ODE),41.3,41.1,0.2,1.0,LOW,LOW,criteria,"Open Data Editor (ODE) serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: A no-code desktop app for error-free spreadsheets with guaranteed privacy and FAIR data. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Operates international."
11,https://openheartmind.org,Open Heart Mind (OHM),40.8,34.5,6.3,0.85,LOW,LOW,criteria,"Open Heart Mind (OHM) addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Participatory gatherings and regenerative systems for collective flourishing — developing Wisdom, an. Governance model: cooperative. Strongest on lifecycle governance (C3: 8.0). Modifiers: M4:+6. Operates Australia (global aspirations)."
12,https://snowdrift.coop,Snowdrift.coop,38.2,31.9,6.3,0.81,MEDIUM,LOW,criteria,Snowdrift.coop addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Crowdmatching for public goods. Governance model: cooperative. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+6. Operates international.
13,https://tech-coops.xyz,Tech Coops List,38.2,34.0,4.2,0.77,MEDIUM,LOW,criteria,Tech Coops List addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: A curated directory and resource hub for worker-owned technology cooperatives and related informatio. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Modifiers: M4:+4. Operates international.
