rank,project_name,url,avg_score,stdev,coverage
1,LiquidFeedback,https://liquidfeedback.com,63.6,15.3,17
2,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,61.81,13.97,17
3,mySociety Datasets and APIs,https://data.mysociety.org,61.39,12.94,17
4,Open Supply Hub,https://opensupplyhub.org,59.24,14.3,17
5,Alaveteli,https://alaveteli.org,59.04,13.37,17
6,Decidim,https://decidim.org,59.01,15.5,17
7,CONSUL Democracy,https://consulproject.org,58.4,16.22,17
8,Bonfire,https://bonfirenetworks.org/,57.11,13.8,17
9,ODK (Open Data Kit),https://getodk.org,56.5,13.26,17
10,HURIDOCS,https://github.com/huridocs,56.33,15.67,17
11,Polis,https://github.com/compdemocracy/polis,56.28,17.99,17
12,Open Council Network,https://opencouncil.network,56.09,12.76,17
13,Participedia,https://participedia.net,55.42,12.97,17
14,AlgorithmWatch,https://algorithmwatch.org,55.34,20.87,17
15,Guardian Project,https://guardianproject.info,55.28,16.27,17
16,Open Digital Planning,https://opendigitalplanning.org/,55.22,14.38,17
17,CommunityRule,https://communityrule.info,55.04,13.64,17
18,CiviCRM,https://civicrm.org,54.79,12.93,17
19,Mastodon,https://github.com/mastodon/mastodon,54.75,16.49,17
20,Open Contracting Partnership,https://www.open-contracting.org,54.71,14.69,17
21,Ushahidi,https://www.ushahidi.com,54.62,11.34,17
22,Citizen OS,https://citizenos.com/platform/,54.23,15.4,17
23,Creative Commons,https://creativecommons.org,54.22,12.39,17
24,OpenCRVS,https://www.opencrvs.org,54.11,16.16,17
25,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,54.07,14.6,17
26,Aleph (OCCRP),https://aleph.occrp.org,54.03,16.11,17
27,Loomio,https://www.loomio.org,54.01,13.31,17
28,Open Standards for Data Guidebook,https://standards.theodi.org,53.97,13.54,17
29,adhocracy+,https://adhocracy.plus,53.97,11.65,17
30,Constitute Project,https://constituteproject.org,53.94,13.53,17
31,Open Ownership,https://www.openownership.org,53.65,14.2,17
32,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,53.58,11.88,17
33,Matrix,https://matrix.org,53.57,17.13,17
34,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,53.15,13.18,17
35,Open Heart Mind (OHM),https://openheartmind.org,53.15,13.85,17
36,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,53.09,16.04,17
37,Cobudget,https://cobudget.com,52.87,15.03,17
38,Talk to the City,https://talktothecity.org,52.45,15.16,17
39,PolicyEngine,https://policyengine.org/uk,52.43,16.53,17
40,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,52.31,16.77,17
41,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,52.11,17.84,17
42,OpenSanctions,https://www.opensanctions.org,51.76,12.96,17
43,GOV.UK Service Manual,https://www.gov.uk/service-manual,51.0,0.0,1
44,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,50.9,17.6,17
45,Tech Coops List,https://tech-coops.xyz,50.84,13.93,17
