Rank,Project,URL,Score,Criteria Score,Modifier Adj,Dossier Completeness,Uncertainty,Popularity Risk,Primary Driver,Rationale
1,Martus,https://www.martus.org,70,54.9,15,0.94,LOW,LOW,criteria,What draws me to Martus is its campaign relevance — exactly what progressive campaigns need.
2,Journalist Studio,https://journaliststudio.google.com,69,50.0,19,0.94,LOW,LOW,modifier,Journalist Studio aligns well with my campaign-focused criteria.
3,Who Targets Me Trends,https://trends.whotargets.me,69,59.8,9,0.96,LOW,LOW,criteria,I see potential in Who Targets Me Trends — evidence supports this ranking.
4,Campaign Tracker,https://www.campaigntracker.nl/en,68,57.8,10,0.97,LOW,LOW,criteria,I see potential in Campaign Tracker — evidence supports this ranking.
5,Open Supply Hub,https://opensupplyhub.org,68,48.0,20,0.98,LOW,LOW,modifier,Open Supply Hub scores 68 through its constitutional fit. Modifiers boost further.
6,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,66,49.0,17,0.98,LOW,LOW,modifier,Open Data Editor (ODE) aligns well with my campaign-focused criteria.
7,Aleph (OCCRP),https://aleph.occrp.org,65,46.1,19,0.98,LOW,LOW,modifier,I see potential in Aleph (OCCRP) — evidence supports this ranking.
8,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,65,49.0,16,1.0,LOW,LOW,modifier,Bellingcat Online Investigation Toolkit scores 65 through its constitutional fit. Modifiers boost further.
9,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,63,48.0,15,0.95,LOW,LOW,modifier,Political Advertising Transparency Data Standard aligns well with my campaign-focused criteria.
10,ОПОРА (Opora),https://www.oporaua.org,60,51.0,9,0.95,LOW,LOW,criteria,What draws me to ОПОРА (Opora) is its campaign relevance — exactly what progressive campaigns need.
11,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,59,42.2,17,0.95,LOW,LOW,modifier,I see potential in Fundación Ciudadanía Inteligente — evidence supports this ranking.
12,mySociety Datasets and APIs,https://data.mysociety.org,59,39.2,20,0.95,LOW,LOW,modifier,What draws me to mySociety Datasets and APIs is its campaign relevance — exactly what progressive campaigns need.
