rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://openheartmind.org,Open Heart Mind (OHM),85.8,67.8,18,0.83,LOW,LOW,modifier,"I'm drawn to this because Open Heart Mind (OHM) is open-source and directly serves open science communities, arts and culture communities and activist and civic tech communities. The primary scoring driver is open-source bonus, underdog protection, pushing the total to 85.8."
2,https://opencouncil.network,Open Council Network,83.6,65.6,18,1.0,LOW,LOW,modifier,"A genuinely empowering tool. Open Council Network is open-source and directly serves citizens in United Kingdom, researchers and campaigners. The primary scoring driver is open-source bonus, underdog protection, pushing the total to 83.6. the underdog modifier cushions this against the thin evidence base."
3,https://github.com/mastodon/mastodon,Mastodon,81.1,71.1,10,1.0,LOW,HIGH,criteria,"This is exactly the kind of project I build for — Mastodon directly benefits journalists, activists and researchers. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 81.1. the documentation advantage here may inflate the score relative to underdocumented peers."
4,https://bonfirenetworks.org/,Bonfire,80.2,72.2,8,0.83,LOW,LOW,criteria,"This is the kind of thing I'd build myself. Bonfire takes a clear anti-extraction stance, keeping users independent of platforms. The primary driver is anti-extraction/platform independence (scoring 19/20), with a total of 80.2. underdog protection applies because the limited record shouldn't be held against grassroots work."
5,https://github.com/podemos-info/participa,Participa (Podemos),79.1,61.1,18,0.92,LOW,LOW,modifier,"This hits close to home. Participa (Podemos) is open-source and directly serves Podemos party members, Spanish citizens and political activists. The primary scoring driver is open-source bonus, underdog protection, pushing the total to 79.1. this gets underdog protection; I'd rather err on the side of supporting small projects."
6,https://okfn.org/en/projects/open-data-editor/,Open Data Editor (ODE),78.3,73.3,5,1.0,LOW,LOW,criteria,"The open-source commitment here matters. Open Data Editor (ODE) is open-source and freely accessible, which is foundational. The primary driver is free/open access (scoring 16/20), with a total of 78.3."
7,https://thegovernmentsays.com,The Government Says,75.8,67.8,8,1.0,LOW,LOW,criteria,"Exactly the right approach. The Government Says directly benefits journalists, researchers and citizens. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 75.8. protected as an underdog — the lack of documentation doesn't mean it lacks merit."
8,https://logos.co/,Logos,75.1,71.1,4,0.92,LOW,LOW,criteria,"This checks every box for me. Logos takes a clear anti-extraction stance, keeping users independent of platforms. The primary driver is anti-extraction/platform independence (scoring 19/20), with a total of 75.1."
9,https://participedia.net,Participedia,74.4,64.4,10,0.92,LOW,MEDIUM,criteria,"Open-source, practitioner-focused, and genuinely useful — Participedia directly benefits researchers, practitioners and policymakers. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 74.4."
10,https://github.com/geeksforsocialchange/placecal,PlaceCal,74.4,64.4,10,0.83,LOW,LOW,criteria,"Really strong alignment here. PlaceCal directly benefits community organizers, citizens in United Kingdom and local organizations. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 74.4."
11,https://bsky.app,Bluesky,72.9,68.9,4,0.83,LOW,HIGH,criteria,"This gets it right. Bluesky directly benefits investigative journalists, civic technology researchers and individuals concerned about digital rights and privacy. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 72.9. popularity risk is high here — the rich dossier may overstate true alignment."
12,https://alaveteli.org,Alaveteli,71.1,71.1,0,1.0,LOW,HIGH,criteria,"I've been hoping to see something like this. Alaveteli directly benefits citizens seeking to participate in local democratic processes, investigative journalists and civic technology researchers. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 71.1. I'm flagging a popularity risk — well-documented projects can score higher simply because there's more to evaluate."
13,https://oneproject.org/,One Project,71.1,61.1,10,0.83,LOW,LOW,criteria,"This removes a real barrier. One Project directly benefits economic democracy organisations, participatory funds and community-led organisations. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 71.1."
14,https://data.mysociety.org,mySociety Datasets and APIs,71.1,71.1,0,1.0,LOW,HIGH,criteria,"Practically useful and ethically grounded. mySociety Datasets and APIs directly benefits researchers, journalists and campaigners. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 71.1. the strong documentation may inflate this score somewhat relative to equally worthy but less visible projects."
15,https://datacollective.mozillafoundation.org/,Mozilla Data Collective,70.6,65.6,5,0.83,LOW,HIGH,criteria,"Projects like this are why I care about civic tech. Mozilla Data Collective is open-source and freely accessible, which is foundational. The primary driver is free/open access (scoring 16/20), with a total of 70.6. this benefits from good documentation, which could be a scoring artefact rather than genuine superiority. I'm giving this the benefit of the doubt via the underdog modifier."
16,https://opendigitalplanning.org/,Open Digital Planning,70.2,62.2,8,1.0,LOW,LOW,criteria,"Solid work that directly serves the people who need it. Open Digital Planning directly benefits local planning authorities, council planning officers and residents. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 70.2."
17,https://opencollective.com,Open Collective,69.1,51.1,18,0.83,LOW,LOW,modifier,"Not quite what I'd champion, but Open Collective is open-source and directly serves open source projects, mutual aid groups and climate initiatives. The primary scoring driver is open-source bonus, underdog protection, pushing the total to 69.1."
18,https://secfirst.org,Security First / Umbrella,69.1,61.1,8,0.92,LOW,LOW,criteria,"There's substance here, Security First / Umbrella is open-source and freely accessible, which is foundational. The primary driver is free/open access (scoring 16/20), with a total of 69.1. I've applied underdog protection — the evidence gap shouldn't sink a project that may well deserve better."
19,https://tech-coops.xyz,Tech Coops List,69.1,61.1,8,0.83,LOW,LOW,criteria,"I appreciate parts of this, Tech Coops List directly benefits technology workers, freelancers and cooperative enterprises. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 69.1. protected as an underdog — the lack of documentation doesn't mean it lacks merit."
20,https://channel.org,Channel.org,68.4,64.4,4,0.83,LOW,LOW,criteria,"I wouldn't dismiss this. Channel.org directly benefits organizations, content creators and communities. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 68.4."
21,https://web.archive.org,Internet Archive Wayback Machine,68.3,63.3,5,1.0,LOW,HIGH,criteria,"I have reservations but also respect for Internet Archive Wayback Machine is open-source and freely accessible, which is foundational. The primary driver is free/open access (scoring 16/20), with a total of 68.3. worth noting that the thorough documentation gives this an advantage that less visible projects lack."
22,https://github.com/openpolitics/groupthink,Groupthink (OpenPolitics Votebot),68.0,60.0,8,0.92,LOW,LOW,criteria,"Fair enough. Groupthink (OpenPolitics Votebot) directly benefits political activists, open source contributors and Something New party members. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 68.0. this gets underdog protection; I'd rather err on the side of supporting small projects."
23,https://bellingcat.gitbook.io/toolkit,Bellingcat Online Investigation Toolkit,67.8,67.8,0,0.83,LOW,HIGH,criteria,"I can respect this, Bellingcat Online Investigation Toolkit directly benefits investigative journalists, fact-checkers and human rights researchers. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 67.8. the documentation advantage here may inflate the score relative to underdocumented peers."
24,https://www.martus.org,Martus,67.8,67.8,0,0.83,LOW,MEDIUM,criteria,"This occupies a middle ground for me. Martus is open-source and freely accessible, which is foundational. The primary driver is free/open access (scoring 16/20), with a total of 67.8."
25,https://pursuanceproject.org,Pursuance Project,67.8,67.8,0,0.83,LOW,LOW,criteria,"There's alignment, but it's partial. Pursuance Project directly benefits activists, nonprofits and charities. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 67.8."
26,https://relationaltechproject.org,Relational Tech Project,67.8,67.8,0,0.67,MEDIUM,LOW,criteria,"Not a perfect fit but still contributing. Relational Tech Project directly benefits grassroots organizers, civic technologists and digital rights advocates. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 67.8."
27,https://murmurations.network,Murmurations Protocol,66.9,58.9,8,0.83,LOW,LOW,criteria,"Neither fully aligned nor misaligned. Murmurations Protocol takes a clear anti-extraction stance, keeping users independent of platforms. The primary driver is anti-extraction/platform independence (scoring 16/20), with a total of 66.9. I'm giving this the benefit of the doubt via the underdog modifier."
28,https://www.globaleaks.org,GlobaLeaks,66.2,62.2,4,1.0,LOW,MEDIUM,criteria,"Interesting approach, GlobaLeaks directly benefits journalists, activists and public agencies. The primary driver is direct practitioner benefit (scoring 18/20), with a total of 66.2."
29,https://github.com/kazad/pastecal,Pastecal,66.2,62.2,4,0.83,LOW,LOW,criteria,"I can see the intention, Pastecal directly benefits citizens in Multiple countries via open-source deployment, organizers and collaborative groups. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 66.2."
30,https://guardianproject.info,Guardian Project,65.8,57.8,8,0.92,LOW,MEDIUM,criteria,"The concept resonates, Guardian Project directly benefits journalists, activists and human rights defenders. The primary driver is direct practitioner benefit (scoring 15/20), with a total of 65.8. I've applied underdog protection — the evidence gap shouldn't sink a project that may well deserve better."
