rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,AlgorithmWatch,https://algorithmwatch.org,87.5,75.5,12,0.85,LOW,high,criteria,"The EU AI Act FRIA requirement is a directly cited policy outcome -- AlgorithmWatch claims to have led that advocacy. AI is their subject, not their tool, but their published guidelines on responsible generative AI use and detailed failure mode documentation score very high on C1 and C3. I flag high popularity risk: this is one of the best-documented projects in the list, and stripping out the documentation advantage I would estimate 8-10 points lower. Even so, the regulatory engagement record is genuinely strong."
2,Polis,https://github.com/compdemocracy/polis,87.4,79.4,8,0.85,LOW,high,criteria,"Polis is one of the most substantive deliberative democracy platforms in this list -- the vTaiwan deployment directly informed Uber and Airbnb regulation, which is exactly the kind of policymaker advisory and institutional decision-support I value most. The AI involvement (clustering, opinion mapping) is real but the dossier lacks detailed safety methodology documentation, preventing a top C1 score. I need to flag that my confidence here is partly a product of how well-documented Polis is; strip out the documentation advantage and I would estimate 8-10 points lower. Modifier boosts for policymaker advisory tools and open-source civic infrastructure both apply."
3,Matrix,https://matrix.org,86.4,80.4,6,0.9,LOW,high,criteria,"Matrix's adoption by the French government (Tchap), German Bundeswehr, and NATO as secure communications infrastructure is the strongest institutional deployment evidence for a decentralized protocol in this entire batch. The documented limitations -- federation complexity, metadata leakage, key management challenges -- are genuine complexity acknowledgments earning maximum C3 marks. C5 scores near-maximum for protecting autonomy through E2E encryption and federated design. I must flag high popularity risk: Matrix is exceptionally well-documented, and stripping the documentation advantage I would estimate 10-12 points lower. Open-source civic infrastructure and policymaker advisory modifiers both apply."
4,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,84.5,76.5,8,0.8,LOW,high,criteria,"vTaiwan's documented influence on Uber, Airbnb, and alcohol sales regulation in Taiwan represents the strongest evidence of policymaker adoption in deliberative democracy that I have seen in this batch. The government partnerships with Taiwan's Executive Yuan and National Development Council give top C2 marks for institutional infrastructure. The limitation to Taiwan and Chinese language constrains C7. I flag high popularity risk -- vTaiwan is among the most cited civic tech projects globally, and my confidence is partly a documentation artifact. Modifier boost for policymaker advisory tools."
5,HURIDOCS,https://github.com/huridocs,78.5,72.5,6,0.85,LOW,medium,criteria,"HURIDOCS has been equipping human rights defenders with documentation tools since 1993, and the Uwazi platform using ML for PDF analysis and named entity recognition serves exactly the accountability infrastructure I value in C2. The AI involvement is purposeful and embedded in a human-rights workflow where human judgment is preserved -- earning Modifier 1. The dossier shows European Commission and Swiss Embassy partnerships. Decade-plus track record and active 2026 commits demonstrate strong C6 maturity."
6,OpenProcurement,https://openprocurement.io,76.6,68.6,+8,0.75,LOW,none,criteria,162 million dollars in direct state budget revenue and an estimated 6 billion in savings 2017-2021 -- these are the strongest quantified policy outcomes in this batch. Ukrainian and Moldovan government adoption for procurement transparency is exactly the institutional infrastructure C2 rewards. The 30% reduction in drone purchase prices shows wartime utility. C2 is overwhelmingly the driver. M5 applies strongly for decision-support infrastructure. Open-source and decade-plus track record solidify C6.
7,Decidim,https://decidim.org,76.5,72.5,4,0.8,LOW,high,criteria,"Barcelona founding, European Commission deployment for Conference on Future of Europe, Brazilian federal adoption -- Decidim has the strongest multi-government deployment evidence of any participatory democracy platform in this batch. The documented failure modes are exceptional: political dependency after electoral change in Badalona, digital divide strengthening in top-down implementations, resistance from citizens' associations. C3 and C4 score at the top. I flag high popularity risk: this is extremely well-documented. Discounting for that, I would estimate 8-10 points lower, but the institutional evidence is independently verifiable."
8,PolicyEngine,https://policyengine.org/uk,75.7,65.7,+10,0.80,LOW,medium,modifier,"PolicyEngine is the closest thing in this batch to my constitutional ideal of policymaker advisory infrastructure. Open-source microsimulation of tax and benefit policy changes, trusted by NIESR, Citizens' Economic Council, and multiple think tanks across the political spectrum. The accuracy validation against official calculations published on GitHub is strong C3 evidence. C2 and M5 are co-drivers -- this is decision-support infrastructure actually used by policy organisations. Moderately well-known; discount about 5 points for documentation advantage."
9,Mastodon,https://github.com/mastodon/mastodon,74.6,71.6,3,0.85,LOW,high,criteria,"Mastodon's federated architecture is the strongest case in this batch for protecting attention, autonomy, and community simultaneously -- no algorithmic feed, no engagement optimization, community-governed moderation. The EU and Japanese government pilots give C2 institutional traction. The documented limitations about instance fragmentation and discoverability challenges are honest complexity acknowledgment. I flag high popularity risk: Mastodon is among the most thoroughly documented projects here, and stripping out the documentation advantage I would estimate 10 points lower. Open-source civic infrastructure boost applies."
10,Open Digital Planning,https://opendigitalplanning.org/,73.7,65.7,+8,0.80,LOW,none,criteria,"One hundred local planning authorities deploying PlanX and BOPS with a documented 30% processing time reduction -- that is unusually strong C6 evidence for this list. The MHCLG partnership and i.AI collaboration show serious institutional backing. C2 is the primary driver: this is government infrastructure that actually improves regulatory processes. The self-reported methodology is a C3 limitation I note, but the scale of deployment compensates. M5 applies for policymaker advisory infrastructure."
11,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,73.6,67.6,6,0.75,LOW,none,criteria,DISARM's disinformation TTP framework being tested by NATO and EU units and integrated with MISP is exactly the kind of institutional infrastructure for understanding complex threats that maps to my C2 and C3 criteria. The documented limitation about Blue Framework TTPs from authoritarian contexts -- advising users to assess ethical appropriateness independently -- is genuine complexity acknowledgment earning Modifier 3. No AI involvement means C1 at midpoint. Last commit 2022 hurts C6.
12,Principles for Public Participation in Procurement of AI,https://p4ai.net,73.6,67.6,+6,0.60,MEDIUM,none,criteria,This framework directly addresses how governments should involve the public when procuring AI -- sitting squarely at the intersection of C1 (AI safety in institutional decisions) and C2 (regulatory infrastructure). EU Commission and US federal agency engagement are strong institutional signals. C1 scores above midpoint because this explicitly concerns AI governance in public procurement. The documented limitations about developing-country implementation are C3-positive. M5 applies for policy advisory function.
13,CKAN,https://ckan.org,71.7,62.7,9,0.75,LOW,high,criteria,"CKAN powers the open data portals of Canada, Singapore, Australia, and dozens of other governments -- it is foundational public data infrastructure. Active since 2006, 5000 GitHub stars, maintained codebase. I have to flag high popularity risk: this is one of the most thoroughly documented data platform projects in civic tech, and my confidence partly reflects how well-known it is. Stripping the documentation advantage, I would estimate 8 points lower. Even so, the government adoption evidence is independently strong."
14,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,71.7,63.7,8,0.6,MEDIUM,low,criteria,NYU research center whose work is directly cited in the EU Digital Services Act -- that is one of the strongest policy impact signals in this batch. AI involvement is core to their platform transparency research. The documented failure mode of platform API changes disrupting data collection is honest and specific (C3). DSA researcher data access rules show continuing regulatory influence. M5 applies for genuine policymaker advisory function.
15,LiquidFeedback,https://liquidfeedback.com,71.6,68.6,3,0.8,LOW,medium,criteria,"LiquidFeedback's use by the German Pirate Party for binding resolutions and by Friesland County for civic participation, plus EU Horizon 2020 funding, gives it the strongest liquid democracy deployment evidence in this batch. The documented limitations about complexity barriers, vocal minority risks, and delegation mechanism education needs are exactly the kind of complexity acknowledgment I reward in C3. The open-source civic infrastructure boost applies. The decade-plus track record and EU partnerships give strong institutional credibility."
16,Cortico,https://cortico.ai/platform,70.9,56.9,14,0.6,MEDIUM,none,modifier,"AI-assisted sensemaking with human-led pattern identification -- this is exactly the human-in-the-loop design my constitution rewards most (M1). City government partnerships in Cambridge, Durham, Boston, and NYC for community engagement are genuine C2 policymaker adoption. The documented limitations about scalability and AI bias requiring human oversight directly instantiate my arXiv paper's findings. Deb Roy's MIT/Twitter background adds credibility. Net modifier boost is significant. US-only limits C7."
17,Open Contracting Partnership,https://www.open-contracting.org,70,64,6,0.85,LOW,medium,criteria,"17 billion dollars better spent and 19 million people served through open procurement data -- OCP is institutional transparency infrastructure at global scale. The UK Procurement Act influenced by open contracting principles, Brazil's $75 billion medicine market adopting AI-based guidance with OCP input, and cross-jurisdictional deployment across dozens of countries. C2 and C7 score near-maximum. Modifier 5 for policymaker advisory tools and Modifier 3 for acknowledged attribution challenges. The AI use in Brazil's procurement triggers C1 at moderate rather than midpoint. Strong project; discounting documentation richness would lower it about 8 points."
18,Guardian Project,https://guardianproject.info,69.7,66.7,3,0.75,LOW,medium,criteria,"Guardian Project has been building secure, privacy-enhancing tools for journalists, activists, and people at risk for over a decade, with published security audits and documented adoption by press freedom organizations globally. This maps directly to my C5 maximum -- protecting autonomy and community in adversarial environments. The decade-plus track record, active 2026 commits, and security audit publications give strong C6 marks. The honest acknowledgment of retired apps shows institutional maturity. Open-source civic infrastructure boost applies."
19,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,68.8,59.8,9,0.55,MEDIUM,none,modifier,Framework for engaging civil society in AI development with real pilots -- Discord's Safety ML team and Amsterdam's image recognition service. This directly instantiates the human-judgment-in-AI-governance principle that M1 rewards. City of Amsterdam adoption gives C2 institutional credibility. The focus on affected communities and marginalized groups shows disparity awareness. Guidance-based rather than prescriptive -- an honest documented limitation. M1 boost is the primary driver.
20,OA.Works,https://oa.works/,68.8,61.8,+7,0.75,LOW,none,criteria,"The IFLA partnership for RSCVD and the Plan S Journal Checker Tool built on OA.Works permissions data show real institutional uptake, not just aspiration. The documented sunsetting of older tools signals honest lifecycle management. C2 and C3 drive the score: this is infrastructure that helps institutions (funders, libraries) govern research access, with explicit acknowledgment of limitations. Open-source and cross-jurisdictional boosts apply."
21,CONSUL Democracy,https://consulproject.org,68.7,64.7,4,0.7,LOW,medium,criteria,"Deployed in Madrid, Munich, Aarhus, by UNDP and the Inter-American Development Bank -- this is participatory democracy infrastructure with real multi-jurisdictional institutional adoption. The documented failure modes are sophisticated: political dependency (use ceased after mayor lost power), digital divide risk, institutional resistance. C3 scores high for that level of self-awareness. 12 country deployments justify strong C7. Popularity risk is moderate."
22,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,68.7,62.7,6,0.7,MEDIUM,none,criteria,"The planner-evaluator LLM architecture that verifies evidence before generating responses shows AI safety awareness -- consolidating existing fact-checks rather than generating new ones is a deliberately cautious design choice. The 78% accuracy rate in pilot testing is honest about current limitations, and the multi-organizational governance structure addresses my Modifier 2 concerns about concentrated AI power. But the project is in early implementation with closed membership, limiting C6. Modifier boost for policymaker decision-support."
23,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,68.7,63.7,5,0.65,MEDIUM,none,criteria,A schema standard for political advertising data interoperability across platforms is exactly the kind of shared institutional infrastructure that I value most in C2. The documented influence on EU Digital Services Act transparency requirements is a real policy outcome. The honest acknowledgment of limited platform adoption and voluntary implementation creating inconsistency earns C3 marks. Modifier boost for policymaker advisory infrastructure. Not open-source per se but a public standard.
24,Metaculus,https://metaculus.com,67.8,61.8,6,0.7,LOW,medium,criteria,"Metaculus publishes calibration reports and accuracy statistics -- the methodological transparency about forecast quality is exactly the kind of epistemic honesty I value most in C3. The documented use by research organizations for AI governance, biosecurity, and climate policy planning gives genuine policymaker advisory relevance. The AI involvement (question recommendation, forecast optimization) is modest and purposeful. Modifier boost for policymaker decision-support and complexity acknowledgment both apply. I flag moderate popularity risk in forecasting circles."
25,Creative Commons,https://creativecommons.org,67.7,63.7,4,0.8,LOW,high,criteria,"CC licenses adopted by Wikipedia, 14 countries with open education policies, ported to 75+ jurisdictions -- this is genuinely global legal infrastructure for knowledge sharing. The documented limitations are impressively specific: license incompatibility, noncommercial ambiguity, enforcement limitations. AI training data controversy shows active engagement with current policy questions. I flag high popularity risk: CC's documentation richness inflates confidence. Stripping that, I would score 8-10 points lower."
26,Open Collective,https://opencollective.com,67.7,62.7,+5,0.65,LOW,medium,criteria,"Open Collective is genuine civic financial infrastructure -- transparent budgets for mutual aid groups, open source projects, and grassroots organisations. C4 (cooperation-building) is the primary driver: the fiscal sponsorship model explicitly creates cooperative financial structures. Active development, global scope, and open-source status all contribute. My confidence is partly informed by how well-known this platform is; with less documentation, I would estimate 5-7 points lower."
27,SecureDrop,https://securedrop.org,67.7,63.7,+4,0.70,LOW,high,criteria,"SecureDrop's documented limitation about requiring Tor understanding and the inability to detect abuse due to no IP logging demonstrates real C3 quality -- acknowledging fundamental design tradeoffs. Adopted by major news organisations globally for source protection, with decade-plus operation and active development. C5 and C3 are co-drivers: this protects whistleblower autonomy while being honest about its constraints. High popularity risk -- well-known FPF project; discount about 6 points for documentation advantage."
28,Internet Archive Wayback Machine,https://web.archive.org,67,62,5,0.85,LOW,high,criteria,"The Wayback Machine is foundational digital preservation infrastructure -- Library of Congress and National Archives partnerships, legal proceedings citing it as authoritative, 25+ years of operation. It scores strongly on C2 (institutional infrastructure), C6 (maturity), and C7 (global). Modifier 6 applies for open-source civic infrastructure. But I need to flag: this is one of the best-documented projects in the list, and my confidence is partly a product of that. Stripping the documentation advantage, I would estimate 10 points lower. C1 at midpoint for non-AI."
29,mySociety Datasets and APIs,https://data.mysociety.org,66.8,57.8,9,0.7,LOW,medium,criteria,"mySociety's partnership with UK Parliament, Cabinet Office, and European Commission represents deep institutional integration -- exactly what C2 rewards. Influencing UK FOI Act implementation and contributing to international open data standards are strong policy outcomes. Open source with 1200 stars and active maintenance. I flag moderate popularity risk: mySociety is very well-known in civic tech. The institutional evidence is independently strong."
30,Public AI Inference Utility,https://publicai.co/,66.8,60.8,+6,0.55,MEDIUM,none,criteria,"A public inference utility for open-source language models with partnerships including Swiss AI, AI Singapore, and National Computational Infrastructure Australia -- this is genuinely novel public AI infrastructure. C1 scores above midpoint because providing public access to sovereign AI models is an AI governance intervention. The September 2025 launch means deployment evidence is thin but real (Hugging Face integration). C1 and C2 are co-drivers. M6 open-source boost applies."
31,Talk to the City,https://talktothecity.org,66.7,62.7,+4,0.65,MEDIUM,none,criteria,"The Taiwan AI Assembly deployment analysing 2,000+ opinions from 400 participants and the municipal government adoption for participatory budgeting show real institutional use of AI-powered collective discourse tools. C1 scores above midpoint because this is AI applied to democratic deliberation with documented bias concerns. The documented limitations about AI summarisation bias are C3-positive. C4 drives the score: this builds cooperation through structured collective intelligence. Partial open-source limits the full boost."
32,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,65.8,60.8,5,0.7,LOW,none,criteria,"DOT does something I care about deeply: it monitors data integrity in public health systems, which is the kind of complexity-aware, failure-detecting methodology that scores well on C3. The Uganda deployment with documented data quality improvements gives real C6 evidence. The tool explicitly tracks data quality disparities across facilities, which is honest about where gaps exist. Modifier boost for policymaker decision-support infrastructure."
33,Open Science Framework,https://osf.io,65.8,60.8,+5,0.70,LOW,high,criteria,"OSF's core mission -- addressing the reproducibility crisis -- is a direct instantiation of C3 (epistemic honesty). Making research open and replicable strengthens the evidence base for policy decisions, which connects to C2. NIH and NSF collaborations show institutional uptake. C3 is the primary driver. But like ORCID, this is a very well-known platform; my confidence is partly a product of documentation richness. Discount for familiarity: approximately 7 points."
34,Aleph (OCCRP),https://aleph.occrp.org,65.7,65.7,0,0.8,LOW,medium,criteria,"Panama Papers and Pandora Papers outcomes are directly cited in policy changes -- that is rare and concrete evidence under C2. The AI-assisted entity extraction earns C1 consideration, and the dossier's honesty about USAID funding dependency and platform access restrictions shows strong C3 complexity awareness. The USAID veto controversy triggers a mild M2 concern, balanced by the open-source M6 boost."
35,Open Ownership,https://www.openownership.org,65,60,5,0.8,LOW,low,criteria,"Beneficial ownership transparency reform across multiple countries -- Zambia, Senegal, Philippines, Armenia -- with documented policy outcomes. This is anti-corruption infrastructure that directly serves regulatory transparency (C2 at near-maximum). The mixed-methods evaluation with acknowledged attribution challenges shows C3 maturity. Cross-jurisdictional design with monitoring of implementation disparities across governance contexts earns full C7 credit. Modifier 5 for policymaker advisory tools. Partial open-source with active codebase."
