rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,Open Digital Planning,https://opendigitalplanning.org/,78.1,65.1,13,1.0,LOW,MEDIUM,criteria,"Open Digital Planning describes itself as ""Planning services designed by councils for councils — a community of Local Planning"" — the documented government partnership with Ministry of Housing, Communities and Local Government (MHCLG) is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +13-point modifier lift above the criteria score."
2,ODK (Open Data Kit),https://getodk.org,77.8,61.8,16,0.93,LOW,HIGH,criteria,"ODK (Open Data Kit) describes itself as ""Open-source tools for collecting, managing, and using data in resource-constrained"" — documented deployment within government or public services drives the score — Criterion 1 carries 20 points and this project has the operational evidence to earn them. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +16-point modifier lift above the criteria score. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
3,mySociety Datasets and APIs,https://data.mysociety.org,77.7,66.7,11,0.93,LOW,HIGH,criteria,"mySociety Datasets and APIs describes itself as ""Open datasets and APIs for democracy, transparency, and community engagement"" — documented deployment within government or public services drives the score — Criterion 1 carries 20 points and this project has the operational evidence to earn them. A +11-point modifier lift comes primarily from M1 — bridging government and civil society is something I value distinctly from pure-government or pure-civil-society work. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
4,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,76.8,60.8,16,1.0,LOW,HIGH,criteria,"Open Data Editor (ODE) describes itself as ""A no-code desktop app for error-free spreadsheets with guaranteed privacy and FAIR data"" — the documented government partnership with Zagreb city government is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +16-point modifier lift above the criteria score. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
5,OpenCRVS,https://www.opencrvs.org,75.8,59.8,16,0.93,LOW,HIGH,criteria,"OpenCRVS describes itself as ""Open source digital civil registration and vital statistics system for every person on"" — the documented government partnership with Multiple national governments is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +16-point modifier lift above the criteria score. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
6,AlgorithmWatch,https://algorithmwatch.org,73.9,65.9,8,1.0,LOW,LOW,criteria,"AlgorithmWatch describes itself as ""A non-governmental, non-profit organization based in Berlin and Zurich that fights for a"" — the documented government partnership with Federal Ministry of Education and Research (BMBF) is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. A +8-point modifier lift comes primarily from M1 — bridging government and civil society is something I value distinctly from pure-government or pure-civil-society work."
7,OSINT Framework,https://osintframework.com,73.3,57.3,16,0.93,LOW,HIGH,criteria,"OSINT Framework describes itself as ""A curated collection of free OSINT tools and resources for information gathering"" — its open-source architecture and cross-institutional interoperability are what earns the modifier lift here — Criterion 4 (open infrastructure) rewards exactly this kind of boundary-crossing design. The +16-point modifier adjustment reflects strong alignment across multiple value modifiers — primarily open infrastructure and cross-sector bridging. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
8,Nym,https://nymtech.net,72.9,56.9,16,0.93,LOW,MEDIUM,criteria,"Nym describes itself as ""The World's Most Private Decentralized VPN"" — its open-source architecture and cross-institutional interoperability are what earns the modifier lift here — Criterion 4 (open infrastructure) rewards exactly this kind of boundary-crossing design. The +16-point modifier adjustment reflects strong alignment across multiple value modifiers — primarily open infrastructure and cross-sector bridging."
9,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,72.8,61.8,11,0.93,LOW,LOW,criteria,"Bellingcat Online Investigation Toolkit describes itself as ""A toolkit for open source researchers - your place to discover tools for online"" — its open-source architecture and cross-institutional interoperability are what earns the modifier lift here — Criterion 4 (open infrastructure) rewards exactly this kind of boundary-crossing design. A +11-point modifier reflects open-infrastructure and cross-sector bridging alignment, even without a dominant single modifier."
10,SecureDrop,https://securedrop.org,71.4,60.4,11,0.93,LOW,HIGH,criteria,"SecureDrop describes itself as ""Open source whistleblower submission system for secure anonymous document sharing"" — its open-source architecture and cross-institutional interoperability are what earns the modifier lift here — Criterion 4 (open infrastructure) rewards exactly this kind of boundary-crossing design. A +11-point modifier reflects open-infrastructure and cross-sector bridging alignment, even without a dominant single modifier. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
11,LiquidFeedback,https://liquidfeedback.com,70.9,54.9,16,0.93,LOW,LOW,criteria,"LiquidFeedback describes itself as ""Liquid democracy software for transparent proposal development and collective"" — documented deployment within government or public services drives the score — Criterion 1 carries 20 points and this project has the operational evidence to earn them. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +16-point modifier lift above the criteria score."
12,oTree,https://www.otree.org,70.5,54.5,16,0.93,LOW,MEDIUM,criteria,"oTree describes itself as ""Open-source platform for web-based behavioral research and interactive experiments"" — the documented government partnership with World Bank is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +16-point modifier lift above the criteria score."
13,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,69.9,56.9,13,0.93,LOW,LOW,criteria,"Frankenstein Bill describes itself as ""A dummy parliamentary bill collecting and explaining potential speedbumps for government"" — documented deployment within government or public services drives the score — Criterion 1 carries 20 points and this project has the operational evidence to earn them. The M1 government–civil society bridging boost and M6 plain-language communication bonus combine for a +13-point modifier lift above the criteria score."
14,OpenSanctions,https://www.opensanctions.org,69.9,56.9,13,0.93,LOW,MEDIUM,criteria,"OpenSanctions describes itself as ""Supreme Data on Supreme Leaders - open source sanctions and politically exposed persons"" — the documented government partnership with UN Security Council is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. The M1 modifier for bridging government and civil society accounts for most of the +13-point adjustment above criteria."
15,Unpaywall Browser Extension,https://unpaywall.org/products/extension,69.8,58.8,11,0.93,LOW,MEDIUM,criteria,"Unpaywall Browser Extension describes itself as ""Browser extension to find legal, open access versions of academic papers"" — its open-source architecture and cross-institutional interoperability are what earns the modifier lift here — Criterion 4 (open infrastructure) rewards exactly this kind of boundary-crossing design. A +11-point modifier reflects open-infrastructure and cross-sector bridging alignment, even without a dominant single modifier."
16,Aleph (OCCRP),https://aleph.occrp.org,69.4,61.4,8,1.0,LOW,MEDIUM,criteria,"Aleph (OCCRP) describes itself as ""The global archive of research material for investigative reporting. Follow the money"" — documented deployment within government or public services drives the score — Criterion 1 carries 20 points and this project has the operational evidence to earn them. A +8-point modifier lift comes primarily from M1 — bridging government and civil society is something I value distinctly from pure-government or pure-civil-society work."
17,Creative Commons,https://creativecommons.org,68.9,52.9,16,1.0,LOW,HIGH,criteria,"Creative Commons describes itself as ""CC empowers individuals and communities around the world through technical, legal, and"" — its copyright dimension is the primary driver here — Criterion 3 (creative industries and cultural value) carries 20 points and this project addresses the technology–creativity relationship I'm most focused on at DCMS. The M2 boost for creative workers and cultural practitioners adds 16 points above the criteria baseline. This is a HIGH popularity-risk flag: it's a well-known project, so I want to be explicit that the score reflects my criteria, not recognition — visibility neither inflated nor deflated it."
18,WhatDoTheyKnow,https://www.whatdotheyknow.com,68.8,57.8,11,0.93,LOW,MEDIUM,criteria,"WhatDoTheyKnow describes itself as ""Make freedom of information requests and see responses from UK public authorities"" — the documented government partnership with UK Public Authorities is what pushes this high — Criterion 1 (practical deployment in government or public services) is my top-weighted criterion at 20 points, and this project earns a strong score on it. A +11-point modifier lift comes primarily from M1 — bridging government and civil society is something I value distinctly from pure-government or pure-civil-society work."
