rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://liquidfeedback.com,LiquidFeedback,94.4,79.4,15,1.0,LOW,LOW,modifier,"LiquidFeedback's liquid democracy model was adopted by the Pirate Party Germany for binding resolutions, and the dossier shows deployment in Georgia and Myanmar -- two of the backsliding contexts I care most about. C1 (democratic resilience) is the strongest criterion here: a participatory governance tool actually used by political parties to make real decisions. The M1 backsliding-context boost (+12) elevates it further. I note the Friesland County adoption as evidence of real municipal deployment, not just party-internal use."
2,https://opensupplyhub.org,Open Supply Hub,93.2,78.2,15,1.0,LOW,LOW,modifier,"Open Supply Hub maps global supply chains with documented presence in Bangladesh, China, India, Brazil, and Turkey. Supply chain transparency is not my core focus, but the anti-corruption and worker-rights dimensions connect to C1, and the non-Western deployment geography (C2) is strong. The M1 boost (+12) applies for Turkey. What pushes it to the top is the combination: open-source, foundation-governed, deployed in contested contexts, with named advocacy organisations as users."
3,https://www.open-contracting.org,Open Contracting Partnership,89.2,77.2,12,1.0,LOW,MEDIUM,modifier,"Open Contracting Partnership targets USD 2 trillion in annual public procurement -- a concrete theory of change (C4). Deployed in Ukraine, Brazil, Mexico, and across Africa and Asia. The dossier cites Brazil's medicine procurement system saving USD 75 billion as a policy outcome, which is the most specific evidence of impact in my entire ranking. M1 boost for Ukraine deployment. I discount slightly for the MEDIUM popularity risk -- OCP is well-documented and some of my scoring confidence may reflect that."
4,https://guardianproject.info,Guardian Project,87.7,72.7,15,0.95,LOW,MEDIUM,modifier,"Guardian Project provides secure communications tools to journalists, activists, and human rights defenders in Egypt, Turkey, Russia, Iran, Syria, Myanmar, Belarus, and Venezuela -- the most comprehensive list of authoritarian deployments in my dataset. Every one of those countries is Freedom House 'Partly Free' or 'Not Free.' C1 and C2 both score near maximum. The M1 boost (+12) is clearly earned. I flag moderate popularity risk -- Guardian Project is well-known in digital security circles."
5,https://www.hotosm.org,Humanitarian OpenStreetMap Team (HOT),86.2,74.2,12,1.0,LOW,MEDIUM,modifier,"HOT has mapped crisis-affected areas across Afghanistan, Bangladesh, DRC, Ethiopia, and 20+ other countries. The humanitarian framing (C7) is stronger here than almost anywhere else in the list. C2 (non-Western context) scores maximum. What limits it slightly: the connection to democratic resilience (C1) is indirect -- mapping is infrastructure, not a direct power-shifting tool. Still, in crisis contexts, maps are power. M1 boost for Myanmar and Philippines deployments."
6,https://github.com/huridocs,HURIDOCS,86.1,71.1,15,1.0,LOW,MEDIUM,modifier,"HURIDOCS equips human rights defenders with tools to mobilise information for justice and accountability -- deployed in Ukraine, Turkey, and Mexico, all countries with documented threats to civic space. This maps directly to my C1 (democratic resilience) and C2 (non-Western context). The grassroots organiser tool classification earns an M6 boost. I appreciate the specificity: the tagline names justice and accountability as goals, not vague 'awareness.' Some confidence may reflect moderate documentation richness."
7,https://www.martus.org,Martus,81.6,66.6,15,0.95,LOW,LOW,modifier,"Martus is a secure information collection tool for human rights activists, deployed in Afghanistan, Belarus, Burma, Colombia, and over 20 other countries. The dossier describes environments where 'capturing evidence and conveying it outside their borders may be a person's only recourse.' That framing hits C1, C2, and C7 simultaneously. Open-source with grassroots deployment capability (M6 boost). One of the few projects where the stated mission, the deployment geography, and the beneficiary population all align perfectly with my constitution."
8,https://yrpri.org,Your Priorities,80.9,68.9,12,1.0,LOW,LOW,modifier,"Your Priorities has been running since 2008 -- an idea generation and deliberation platform for governments, deployed in Iceland, Portugal, Bulgaria, Serbia, and Thailand. Thailand triggers M1 (backsliding context). The deliberation focus gives it modest C3 (psychological depth) credit, rare in my ranking. C4 is supported by documented government adoption, not just theoretical impact claims."
9,https://civicrm.org,CiviCRM,79.8,76.8,3,1.0,LOW,HIGH,criteria,"CiviCRM is open-source constituent relationship management used by nonprofits, NGOs, and advocacy organisations worldwide, deployed in India, South Africa, and Brazil. The criteria score (76.8) is driven primarily by strong C4 (strategic clarity) and C5 (implementation maturity) -- this is a well-established tool with a decade-plus track record. I have to acknowledge that CiviCRM is one of the most thoroughly documented projects on this list, and my confidence is partly a product of that. Strip the documentation advantage and I would estimate 8-12 points lower."
10,https://vframe.io,VFRAME,79.8,67.8,12,1.0,LOW,LOW,modifier,"VFRAME uses computer vision to detect illegal munitions and document war crimes, deployed in Syria and Ukraine. The dossier says human rights researchers rely on videos shared online to document war crimes -- and VFRAME automates the identification of cluster munitions and other prohibited weapons. This is strategic leverage (M3 potential) in service of accountability. C1, C2, and C7 all score well. The M1 backsliding-context boost applies for both Syria and Ukraine."
