"rank","url","project_name","score","criteria_score","modifier_adj","dossier_completeness","uncertainty","popularity_risk","primary_driver","rationale"
"1","https://www.opencrvs.org","OpenCRVS","85.7","66.7","19","1.0","LOW","LOW","modifier","The deployment across five countries (Bangladesh, Zambia, Senegal, Kenya, Ghana) for civil registration systems directly serves populations who often lack any digital alternative for establishing legal identity—a fundamental prerequisite for accessing government services. This scores exceptionally well on accessibility for excluded populations (C1) and earns the maximum modifier boost (M1) for serving communities with no existing digital alternative, making it one of the highest-scoring projects despite being a specialized infrastructure tool."
"2","https://okfn.org/en/projects/open-data-editor/","Open Data Editor (ODE)","82.7","63.7","19","1.0","LOW","LOW","modifier","What strikes me most is the explicit focus on ""nonprofits, data journalists, activists, and public servants who don't know how to code""—this directly addresses the technical barriers that exclude many civic actors from data work. The combination of strong accessibility scores (C1) and the modifier boost for serving underserved communities (M1) drives the high rating, though I'd want to see more evidence of actual adoption beyond the Zagreb government partnership."
"3","https://contractsfordatacollaboration.org","Contracts for Data Collaboration","81.7","62.7","19","1.0","LOW","LOW","modifier","The focus on legal frameworks for cross-sector data collaboratives hits directly at my experience with regulatory clarity challenges at Coinbase—this kind of standardization work is unglamorous but essential for scaling civic data initiatives. Strong performance on regulatory clarity contribution (C3) and data ethics (C4) drives the score, plus modifiers for making complex legal frameworks more accessible to practitioners."
"4","https://citizenos.com/platform/","Citizen OS","79.8","60.8","19","1.0","LOW","LOW","modifier","Estonia's integration with national e-governance infrastructure, including digital signature capabilities for binding votes, represents exactly the kind of interoperable government digital infrastructure (C2) that I've seen work effectively in my regulatory work. The foundation governance model and open-source approach earn solid modifier points (M5, M6), though the geographic concentration in Estonia limits broader applicability."
"5","https://ckan.org","CKAN","78.7","65.7","13","1.0","LOW","HIGH","criteria","While this scores well on core criteria given its massive government adoption (Canada, Singapore, Australia, EU), I suspect the high documentation completeness may be inflating the score relative to newer, less-established projects. The breadth of government partnerships demonstrates strong infrastructure quality (C2) and implementation maturity (C5), but the established nature means it's not breaking new ground on accessibility for excluded populations. ODK: Deployment across Africa, Asia, and Latin America for health surveillance and election monitoring serves exactly the communities I care about through Polici—those with limited technical resources but critical data needs. Strong accessibility (C1) and implementation evidence (C5) drive the score, though like CKAN, its established status may benefit from better documentation compared to newer projects."
"6","https://getodk.org","ODK (Open Data Kit)","78.7","65.7","13","1.0","LOW","MEDIUM","criteria","ODK's deployment across health ministries in Africa and Asia, election commissions, and USAID-backed government programs reflects exactly the kind of infrastructure I care about most under C1 and C2 — tools that work in resource-constrained environments where no digital alternative previously existed (M1). The foundation governance model, decade-plus track record, and open-source licensing give me high confidence here, though I note its MEDIUM popularity_risk means some of this score may reflect ODK's unusually thorough documentation compared to less visible peers."
"7","https://www.mastodonc.com","Mastodon C","78.7","62.7","16","1.0","LOW","HIGH","modifier","The UK government partnership on data analytics represents solid civic infrastructure work, but I'm concerned about the for-profit model potentially limiting accessibility for the underserved populations that drive my evaluation priorities. Decent scores on government digital infrastructure (C2) and some modifier benefits, but the commercial aspect prevents it from reaching the highest tier."
"8","https://constituteproject.org","Constitute Project","77.8","60.8","17","1.0","LOW","LOW","modifier","Making constitutional text searchable and comparable serves a real need for legal accessibility (M3), and the use by constitutional commissions in The Gambia and Colombia shows genuine impact on democratic processes. Strong performance on accessibility (C1) and regulatory clarity (C3), with good modifier boosts for making legal text legible to non-specialists."
"9","https://matrix.org","Matrix","77.7","64.7","13","1.0","LOW","MEDIUM","criteria","The French government's Tchap deployment and German federal adoption demonstrate serious government digital infrastructure impact (C2), but this feels more like general communications infrastructure than targeted civic technology. Solid technical scores but doesn't specifically address the excluded populations that are central to my evaluation framework."
"10","https://web.archive.org","Internet Archive Wayback Machine","77.6","68.6","9","1.0","LOW","MEDIUM","criteria","This is foundational digital infrastructure that enables government accountability and historical research, scoring well on accessibility (C1) and knowledge preservation. The recent Google collaboration shows continued policy relevance, though as established infrastructure it doesn't earn the same modifier boosts as tools serving previously unserved communities."
"11","https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md","Political Advertising Transparency Data Standard","76.7","64.7","12","1.0","LOW","LOW","criteria","Creating interoperable standards for ad transparency data directly addresses the regulatory clarity challenges (C3) I work on daily, and the EU Digital Services Act influence shows real policy impact. Strong on regulatory contribution and data ethics (C4), plus modifiers for making complex advertising data more comprehensible to researchers and journalists."
"12","https://www.openownership.org","Open Ownership","76.7","66.7","10","1.0","LOW","LOW","criteria","The beneficial ownership transparency work across Zambia, Senegal, and Philippines tackles exactly the kind of government accountability challenge that requires both technical infrastructure and policy change. Strong government partnership evidence and clear policy outcomes drive solid scores across multiple criteria, particularly government transparency."
"13","https://standards.theodi.org","Open Standards for Data Guidebook","76.6","67.6","9","1.0","LOW","LOW","criteria","While this addresses important data governance needs and shows good technical approach, it feels more like documentation than active civic infrastructure. Decent scores on standards and knowledge orientation (C6) but limited evidence of direct community impact or serving excluded populations."
"14","https://consulproject.org","CONSUL Democracy","75.9","56.9","19","1.0","LOW","MEDIUM","modifier","The Madrid implementation enabling binding citizen proposals represents genuine democratic participation infrastructure, earning strong modifier points (M1, M6) for serving communities with limited participation alternatives. However, the concentration in European cities limits the accessibility impact I prioritize for underserved global populations."
"15","https://guardianproject.info","Guardian Project","75.8","60.8","15","0.92","LOW","MEDIUM","criteria","Tools for journalists and activists in repressive environments directly serve populations with no digital security alternatives, which aligns perfectly with my accessibility priorities (C1). Strong modifier boosts (M1, M3) for serving critical communities, though the 92% completeness creates some uncertainty about the full scope of impact."
"16","https://github.com/compdemocracy/polis","Polis","74.9","55.9","19","1.0","LOW","LOW","modifier","The platform's deployment across diverse jurisdictions from Taiwan's Executive Yuan to EU institutions demonstrates exceptional cross-jurisdictional applicability, while its foundation governance model with open-source codebase exemplifies accountable civic data stewardship. My score reflects strong performance on accessibility for excluded populations and the significant modifier boost for making democratic deliberation accessible to communities with no existing digital alternative."
"17","https://github.com/huridocs","HURIDOCS","74.7","63.7","11","1.0","LOW","MEDIUM","criteria","Their 30+ year track record developing the global methodology standard for human rights violation documentation (Events Standard Formats, 1993) shows remarkable implementation maturity, now digitized through tools like Uwazi serving defenders worldwide. The strong criteria performance stems from excellent accessibility for excluded populations and government digital infrastructure quality, with modest open-source community governance bonuses."
"18","https://osf.io","Open Science Framework","74.7","65.7","9","0.92","LOW","MEDIUM","criteria","NIH and NSF policy integration demonstrates exceptional regulatory clarity contribution, while the platform's role in addressing the reproducibility crisis directly strengthens evidence-based policymaking infrastructure. Though this likely benefits from documentation advantages given its academic institutional backing, the criteria-driven score reflects strong performance across government digital infrastructure and data ethics dimensions."
"19","https://cybersecurityfordemocracy.org","Cybersecurity for Democracy","73.8","57.8","16","1.0","LOW","LOW","modifier","Being directly cited in EU Digital Services Act legislation represents the gold standard for regulatory policy contribution, while their multi-university governance model ensures epistemic integrity in platform transparency research. The modifier boost reflects their work making complex algorithmic accountability legible to non-specialist policymakers and serving communities with limited existing alternatives for platform oversight."
