rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
163,UrbanistAI,https://site.urbanistai.com,50.5,46.5,4,0.87,LOW,HIGH,criteria,
164,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127,50.2,38.2,12,0.87,LOW,LOW,modifier,
165,OA.Report,https://oa.report,50.2,50.2,0,0.87,LOW,LOW,criteria,
166,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,50.2,41.2,9,1.0,LOW,LOW,modifier,
167,django-collaborative,https://github.com/propublica/django-collaborative,50.2,42.2,8,0.93,LOW,LOW,modifier,
168,OSINT Framework,https://osintframework.com,50.2,42.2,8,0.93,LOW,LOW,modifier,
169,Local Intelligence Hub,https://www.localintelligencehub.com,50.2,38.2,12,0.93,LOW,LOW,modifier,
170,Parallel Parliament,https://www.parallelparliament.co.uk,50.1,46.1,4,0.87,LOW,LOW,criteria,
171,Objector.ai,https://objector.ai,50.1,46.1,4,0.93,LOW,HIGH,criteria,
172,Objector.ai,https://www.objector.ai,50.1,46.1,4,0.93,LOW,HIGH,criteria,
173,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,50.1,46.1,4,0.87,LOW,LOW,criteria,
174,NumFOCUS,https://numfocus.org,50.1,45.1,5,1.0,LOW,LOW,criteria,
175,Open Data Communities,https://opendatacommunities.org,50.0,50.0,0,0.87,LOW,LOW,criteria,
176,OA.Works,https://oa.works,50.0,48.0,2,0.93,LOW,LOW,criteria,
177,River Sentiment Dashboard,https://riversentiment.app,49.8,41.8,8,0.93,LOW,LOW,modifier,
178,Martus,https://www.martus.org,49.7,44.7,5,0.93,LOW,LOW,criteria,
179,Mapped,https://mapped.commonknowledge.coop,49.3,37.3,12,0.93,LOW,LOW,modifier,
180,Journalist Studio,https://journaliststudio.google.com,49.2,41.2,8,1.0,LOW,LOW,modifier,
181,Plausible Analytics,https://plausible.io,49.2,41.2,8,1.0,LOW,HIGH,modifier,
182,Urbit,https://urbit.org,48.7,43.7,5,0.93,LOW,LOW,criteria,
183,VFRAME,https://vframe.io,48.7,43.7,5,1.0,LOW,LOW,criteria,
