rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
163,https://nestr.io,Nestr,25.7,13.7,12,0.81,LOW,LOW,modifier,"My constitution struggles to see what Nestr does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8, M4:+4)."
164,https://voteforpolicies.org.uk,Vote for Policies,25.7,13.7,12,0.81,LOW,LOW,modifier,"My constitution struggles to see what Vote for Policies does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8, M6:+4)."
165,https://cybersecurityfordemocracy.org,Cybersecurity for Democracy,25.6,20.6,5,0.94,LOW,LOW,criteria,My constitution struggles to see what Cybersecurity for Democracy does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5).
166,https://objector.ai,Objector.ai,25.6,17.6,8,0.81,LOW,HIGH,modifier,My constitution struggles to see what Objector.ai does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8). High popularity risk — Objector.ai is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
167,https://right-to-know.org,Right To Know,25.6,17.6,8,0.88,LOW,LOW,modifier,"My constitution struggles to see what Right To Know does — the criteria don't map well onto this kind of work. Modifiers push this up (M4:+4, M6:+4)."
168,https://www.objector.ai,Objector.ai,25.6,17.6,8,0.81,LOW,HIGH,modifier,My constitution struggles to see what Objector.ai does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8). High popularity risk — Objector.ai is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
169,https://osf.io,Open Science Framework,25.5,25.5,0,0.94,LOW,LOW,criteria,My constitution struggles to see what Open Science Framework does — the criteria don't map well onto this kind of work.
170,https://upgrader.gapminder.org,Gapminder Worldview Upgrader,25.5,25.5,0,1.0,LOW,LOW,criteria,Gapminder Worldview Upgrader's governance model (foundation) speaks directly to what I care about — community ownership over corporate control.
171,https://charitydigitalskills.co.uk,Charity Digital Skills Report,24.7,15.7,9,0.81,LOW,LOW,modifier,"My constitution struggles to see what Charity Digital Skills Report does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5, M6:+4)."
172,https://github.com/cavi-au/consent-o-matic,Consent-O-Matic,24.7,15.7,9,0.81,LOW,LOW,modifier,"My constitution struggles to see what Consent-O-Matic does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5, M6:+4)."
173,https://site.urbanistai.com,UrbanistAI,24.7,16.7,8,0.88,LOW,LOW,modifier,UrbanistAI's governance model (LLC) speaks directly to what I care about — community ownership over corporate control. Modifiers push this up (M1:+8).
174,https://openbudgets.eu,OpenBudgets.eu,24.6,19.6,5,0.88,LOW,LOW,criteria,My constitution struggles to see what OpenBudgets.eu does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5).
175,https://ckan.org,CKAN,24.5,24.5,0,0.94,LOW,HIGH,criteria,My constitution struggles to see what CKAN does — the criteria don't map well onto this kind of work. High popularity risk — CKAN is well-known and well-documented; some of this score likely reflects documentation advantage rather than pure constitutional fit.
176,https://github.com/ideal-postcodes/postcodes.io,postcodes.io,24.5,24.5,0,0.81,LOW,LOW,criteria,My constitution struggles to see what postcodes.io does — the criteria don't map well onto this kind of work.
177,https://arxiv.org/abs/2005.13701,Modular Politics,23.7,15.7,8,0.81,LOW,LOW,modifier,My constitution struggles to see what Modular Politics does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
178,https://planit.org.uk,PlanIT,23.7,15.7,8,0.94,LOW,LOW,modifier,My constitution struggles to see what PlanIT does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
179,https://talktothecity.org,Talk to the City,23.7,15.7,8,0.94,LOW,LOW,modifier,My constitution struggles to see what Talk to the City does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
180,https://www.campaigntracker.nl/en,Campaign Tracker,23.7,14.7,9,1.0,LOW,LOW,modifier,"My constitution struggles to see what Campaign Tracker does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5, M6:+4)."
181,https://www.marksoutoftenancy.com,Marks Out Of Tenancy,23.7,15.7,8,0.88,LOW,LOW,modifier,My constitution struggles to see what Marks Out Of Tenancy does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
182,https://datatrusts.uk,The Data Trusts Initiative,23.6,18.6,5,0.94,LOW,LOW,criteria,My constitution struggles to see what The Data Trusts Initiative does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5).
183,https://library.theengineroom.org,The Engine Room Library,23.6,18.6,5,0.86,LOW,LOW,criteria,My constitution struggles to see what The Engine Room Library does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5).
184,https://aragon.org,Aragon,23.5,22.5,1,0.88,LOW,LOW,criteria,"My constitution struggles to see what Aragon does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5, M2:+8, M3:-12)."
185,https://github.com/i-dot-ai/awesome-gov-datasets,Awesome UK Government Datasets,23.5,23.5,0,0.88,LOW,LOW,criteria,My constitution struggles to see what Awesome UK Government Datasets does — the criteria don't map well onto this kind of work.
186,https://secfirst.org,Security First / Umbrella,23.5,23.5,0,0.94,LOW,LOW,criteria,My constitution struggles to see what Security First / Umbrella does — the criteria don't map well onto this kind of work.
187,https://farmerchat.digitalgreen.org,FarmerChat,22.7,14.7,8,0.81,LOW,LOW,modifier,My constitution struggles to see what FarmerChat does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
188,https://github.com/tulir/whatsmeow,whatsmeow,22.7,13.7,9,0.69,MEDIUM,NONE,modifier,"My constitution struggles to see what whatsmeow does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5, M6:+4)."
189,https://idealist.org,Idealist,22.7,14.7,8,0.81,LOW,LOW,modifier,My constitution struggles to see what Idealist does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
190,https://timecounts.org,Timecounts,22.7,14.7,8,0.81,LOW,LOW,modifier,My constitution struggles to see what Timecounts does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
191,https://www.parallelparliament.co.uk,Parallel Parliament,22.7,14.7,8,0.88,LOW,LOW,modifier,My constitution struggles to see what Parallel Parliament does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+8).
192,https://github.com/ytdl-org/youtube-dl,youtube-dl,22.6,18.6,4,0.88,LOW,LOW,criteria,My constitution struggles to see what youtube-dl does — the criteria don't map well onto this kind of work. Modifiers push this up (M6:+4).
193,https://joss.theoj.org,Journal of Open Source Software,22.6,17.6,5,0.94,LOW,LOW,criteria,My constitution struggles to see what Journal of Open Source Software does — the criteria don't map well onto this kind of work. Modifiers push this up (M1:+5).
