rank,name,url,v3_score,v5_score,synthesis_score,score_diff
1,CONSUL Democracy,https://consulproject.org,84.7,82.6,83.7,2.1
2,LiquidFeedback,https://liquidfeedback.com,84.0,81.9,83.0,2.1
3,Polis,https://github.com/compdemocracy/polis,84.7,80.6,82.7,4.1
4,Decidim,https://decidim.org,81.9,79.9,80.9,2.0
5,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,80.6,80.6,80.6,0.0
6,mySociety Datasets and APIs,https://data.mysociety.org,78.5,76.4,77.5,2.1
7,Bonfire,https://bonfirenetworks.org/,71.5,83.3,77.4,-11.8
8,Alaveteli,https://alaveteli.org,75.0,79.2,77.1,-4.2
9,Open Digital Planning,https://opendigitalplanning.org/,76.4,76.4,76.4,0.0
10,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,77.8,73.6,75.7,4.2
11,Cobudget,https://cobudget.com,73.6,77.8,75.7,-4.2
12,adhocracy+,https://adhocracy.plus,72.9,77.1,75.0,-4.2
13,Open Standards for Data Guidebook,https://standards.theodi.org,71.5,77.8,74.7,-6.3
14,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,72.9,72.9,72.9,0.0
15,Aleph (OCCRP),https://aleph.occrp.org,69.4,75.7,72.6,-6.3
16,Citizen OS,https://citizenos.com/platform/,70.1,74.3,72.2,-4.2
17,CommunityRule,https://communityrule.info,70.1,74.3,72.2,-4.2
18,Constitute Project,https://constituteproject.org,70.1,74.3,72.2,-4.2
19,Loomio,https://www.loomio.org,70.1,74.3,72.2,-4.2
20,ClimateAction.Tech,https://climateaction.tech,67.4,77.1,72.2,-9.7
21,HURIDOCS,https://github.com/huridocs,70.8,72.9,71.8,-2.1
22,Open Supply Hub,https://opensupplyhub.org,71.5,71.5,71.5,0.0
23,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,70.8,72.2,71.5,-1.4
24,All Our Ideas,https://all-our-ideas.citizens.is,69.4,73.6,71.5,-4.2
25,Populate Tools,https://github.com/populatetools,70.1,72.2,71.2,-2.1
26,CiviCRM,https://civicrm.org,68.1,74.3,71.2,-6.2
27,Guardian Project,https://guardianproject.info,72.9,68.8,70.8,4.1
