rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Humble Data Workshop,https://humbledata.org,77.7,64.7,13,1.0,LOW,NONE,C3_openness,I appreciate that Humble Data Workshop publishes openly and invites community contribution. The strong modifier boost (+13) reflects alignment with excluded-population and volunteer-driven values.
2,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,70.7,62.7,8,1.0,LOW,NONE,C2_empowerment,I value the community accountability structures in Teaching Public Service in the Digital Age. The strong modifier boost (+8) reflects alignment with excluded-population and volunteer-driven values.
3,Mozilla Data Collective,https://datacollective.mozillafoundation.org,69.9,55.9,14,1.0,LOW,NONE,C1_inclusion,"Mozilla Data Collective demonstrates genuine commitment to serving excluded populations, but it treats users as passive consumers rather than building their capabilities. The strong modifier boost (+14) reflects alignment with excluded-population and volunteer-driven values."
4,Internet Archive Wayback Machine,https://web.archive.org,69.8,58.8,11,1.0,LOW,NONE,C4_deployment,The civic infrastructure framing of Internet Archive Wayback Machine fits my emerging political tech interest. The strong modifier boost (+11) reflects alignment with excluded-population and volunteer-driven values.
5,Relational Tech Project,https://relationaltechproject.org,68.8,57.8,11,0.86,LOW,NONE,C7_civic_tech,"Relational Tech Project is governed by the people it serves, but the target audience seems mainstream rather than excluded. The strong modifier boost (+11) reflects alignment with excluded-population and volunteer-driven values."
6,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,66.9,55.9,11,1.0,LOW,NONE,C7_civic_tech,"Landlord Tech Watch could survive its founders leaving because the code and materials are open, but I see no evidence it reaches marginalised communities. The strong modifier boost (+11) reflects alignment with excluded-population and volunteer-driven values."
7,Activist Handbook,https://activisthandbook.org,66.8,59.8,7,1.0,LOW,NONE,C4_deployment,"The civic infrastructure framing of Activist Handbook fits my emerging political tech interest. Solid work, though not perfectly aligned across all my criteria."
8,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,66.0,52.0,14,0.93,LOW,NONE,C7_civic_tech,"Framework for Meaningful Engagement 2.0's focus on marginalised users stands out, but it lacks the empowerment logic I prioritise. The strong modifier boost (+14) reflects alignment with excluded-population and volunteer-driven values."
9,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,65.8,61.8,4,1.0,LOW,LOW,C4_deployment,"The volunteer-scalable design of Gapminder Worldview Upgrader is exactly how I think impact should grow. Solid work, though not perfectly aligned across all my criteria."
10,docs.plus,https://docs.plus,64.9,55.9,9,0.93,LOW,NONE,C3_openness,"The civic infrastructure framing of docs.plus fits my emerging political tech interest, but I see no evidence it reaches marginalised communities. The strong modifier boost (+9) reflects alignment with excluded-population and volunteer-driven values."
11,Mastodon,https://github.com/mastodon/mastodon,63.9,52.9,11,1.0,LOW,MEDIUM,C4_deployment,"Mastodon's open-source approach means others can replicate this work, but it lacks the empowerment logic I prioritise. The strong modifier boost (+11) reflects alignment with excluded-population and volunteer-driven values."
12,Open Heart Mind (OHM),https://openheartmind.org,62.9,52.9,10,1.0,LOW,NONE,C5_governance,"The civic infrastructure framing of Open Heart Mind (OHM) fits my emerging political tech interest, though I find no mechanism for leaving people more capable after use. The strong modifier boost (+10) reflects alignment with excluded-population and volunteer-driven values."
13,rsky,https://github.com/blacksky-algorithms/rsky,61.9,53.9,8,1.0,LOW,NONE,C3_openness,"There is concrete evidence that rsky serves actual users, but it treats users as passive consumers rather than building their capabilities. The strong modifier boost (+8) reflects alignment with excluded-population and volunteer-driven values."
14,Creative Commons,https://creativecommons.org,60.9,55.9,5,1.0,LOW,NONE,C4_deployment,"I value the community accountability structures in Creative Commons. Solid work, though not perfectly aligned across all my criteria."
15,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,60.9,53.9,7,0.93,LOW,NONE,C3_openness,"I value the community accountability structures in In the news. Solid work, though not perfectly aligned across all my criteria."
16,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,60.9,55.9,5,1.0,LOW,NONE,C4_deployment,"Open Data Editor (ODE) gives its users genuine governance power. Solid work, though not perfectly aligned across all my criteria."
17,Security First / Umbrella,https://secfirst.org,60.9,55.9,5,1.0,LOW,NONE,C4_deployment,"Security First / Umbrella has moved beyond theory into real-world use. Solid work, though not perfectly aligned across all my criteria."
18,Alaveteli,https://alaveteli.org,60.9,55.9,5,1.0,LOW,LOW,C4_deployment,"Alaveteli has moved beyond theory into real-world use, but it treats users as passive consumers rather than building their capabilities. Solid work, though not perfectly aligned across all my criteria."
19,Bonfire,https://bonfirenetworks.org,60.9,55.9,5,1.0,LOW,NONE,C5_governance,"I appreciate that Bonfire publishes openly and invites community contribution, though I find no mechanism for leaving people more capable after use. Solid work, though not perfectly aligned across all my criteria."
20,PolicyEngine,https://policyengine.org/uk,60.9,55.9,5,1.0,LOW,LOW,C4_deployment,"PolicyEngine could survive its founders leaving because the code and materials are open, but I see no evidence it reaches marginalised communities. Solid work, though not perfectly aligned across all my criteria."
21,Wikidata,https://www.wikidata.org,60.9,55.9,5,1.0,LOW,LOW,C4_deployment,"Wikidata has moved beyond theory into real-world use, but I see no evidence it reaches marginalised communities. Solid work, though not perfectly aligned across all my criteria."
22,Open Science Framework,https://osf.io,59.9,54.9,5,0.93,LOW,LOW,C4_deployment,"Open Science Framework has moved beyond theory into real-world use, though I find no mechanism for leaving people more capable after use. More evidence of real-world inclusion impact would strengthen this score."
23,Martus,https://www.martus.org,59.9,52.9,7,1.0,LOW,NONE,C4_deployment,"Martus has moved beyond theory into real-world use, though its user base appears to be already-enfranchised citizens. More evidence of real-world inclusion impact would strengthen this score."
24,Tech Coops List,https://tech-coops.xyz,59.8,57.8,2,1.0,LOW,NONE,C5_governance,"I appreciate that Tech Coops List publishes openly and invites community contribution, but I see no evidence it reaches marginalised communities. More evidence of real-world inclusion impact would strengthen this score."
25,Public AI Inference Utility,https://publicai.co,59.0,51.0,8,1.0,LOW,NONE,C4_deployment,"Public AI Inference Utility demonstrates the deployment track record I look for, but it lacks the empowerment logic I prioritise. The strong modifier boost (+8) reflects alignment with excluded-population and volunteer-driven values."
26,Aleph (OCCRP),https://aleph.occrp.org,58.9,53.9,5,0.93,LOW,LOW,C4_deployment,"There is concrete evidence that Aleph (OCCRP) serves actual users, but it lacks the empowerment logic I prioritise. More evidence of real-world inclusion impact would strengthen this score."
27,Shareyourpaper.org,https://shareyourpaper.org,58.9,53.9,5,1.0,LOW,NONE,C4_deployment,"Shareyourpaper.org gives its users genuine governance power, though I find no mechanism for leaving people more capable after use. More evidence of real-world inclusion impact would strengthen this score."
28,ClimateAction.Tech,https://climateaction.tech,58.9,53.9,5,1.0,LOW,LOW,C5_governance,"There is concrete evidence that ClimateAction.Tech serves actual users, though its user base appears to be already-enfranchised citizens. More evidence of real-world inclusion impact would strengthen this score."
29,The Government Says,https://thegovernmentsays.com,58.0,51.0,7,1.0,LOW,NONE,C3_openness,"The Government Says could survive its founders leaving because the code and materials are open, but it treats users as passive consumers rather than building their capabilities. More evidence of real-world inclusion impact would strengthen this score."
30,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,58.0,51.0,7,1.0,LOW,NONE,C7_civic_tech,"The civic infrastructure framing of Rahvaalgatus fits my emerging political tech interest, but it lacks the empowerment logic I prioritise. More evidence of real-world inclusion impact would strengthen this score."
31,Participedia,https://participedia.net,57.9,52.9,5,1.0,LOW,NONE,C4_deployment,"Participedia explicitly connects technology to democratic participation, but it treats users as passive consumers rather than building their capabilities. More evidence of real-world inclusion impact would strengthen this score."
